Vending Machine Name,Product,Qty Sold,Sales
AKULAKU,YOU C1000 orange water 500ML,22,IDR 261000.00
AKULAKU,NESCAFE ICE BLACK,13,IDR 166000.00
AKULAKU,MILO ORIGINAL 220ML,4,IDR 56000.00
AKULAKU,TWISTKO,1,IDR 8000.00
AKULAKU,AW 250ML,8,IDR 78000.00
AKULAKU,Hydro Coco 250ML,10,IDR 117000.00
AKULAKU,Tik Tak Sapi Panggang 90 GRAM,1,IDR 8000.00
AKULAKU,LARUTAN CAP KAKI TIGA LECI,8,IDR 78000.00
AKULAKU,potato q rasa sosis meksiko,4,IDR 20000.00
AKULAKU,POCARI SWEAT 350ML,5,IDR 46000.00
AKULAKU,Le Mineral 600ML,60,IDR 415000.00
AKULAKU,MIE SEDAAP SELECTION KOREAN SPICY,10,IDR 100000.00
AKULAKU,Mie Sedaap Soto,10,IDR 100000.00
AKULAKU,yoritos,4,IDR 24000.00
AKULAKU,CIMORY COKLAT 250ML,14,IDR 152000.00
AKULAKU,MONDE EGG ROLL CHOCOLATE,10,IDR 60000.00
AKULAKU,french fries 2000,6,IDR 40000.00
AKULAKU,WALENS BLUEBERRY SOES,4,IDR 60000.00
AKULAKU,Nescafe Latte 240 ML,3,IDR 36000.00
AKULAKU,MONDE SERENA SNACK 25 GRAM,10,IDR 58000.00
AKULAKU,GENJI ORIGINAL PIE,1,IDR 15000.00
AKULAKU,LASEGAR LEMON,5,IDR 49000.00
AKULAKU,Lasegar leci lemon,4,IDR 39000.00
AKULAKU,MIE SEDAP CUP RAWIT BINGIT,20,IDR 200000.00
AKULAKU,SUNKIST LEMON C,1,IDR 8500.00
AKULAKU,Nescafe CappuccIno 240 ML,4,IDR 48000.00
AKULAKU,CIMORY STRAWBERY 250ML,9,IDR 90000.00
AKULAKU,INACO MINI PUDDING,2,IDR 10000.00
AKULAKU,POKKA LYCHEE TEA,3,IDR 30000.00
AKULAKU,WALLENS CHOCOSHOES,7,IDR 105000.00
AKULAKU,POTAKREZ sapi panggang,1,IDR 6000.00
AKULAKU,Kacang Mayasi,3,IDR 15000.00
AKULAKU,Spix mi goreng,10,IDR 70000.00
AKULAKU,MONDE PIE MINI,2,IDR 20000.00
AKULAKU,Teh Pucuk 350ML,3,IDR 20000.00
AKULAKU,POKKA LEMON TEA,5,IDR 45000.00
AKULAKU,KUSUKA AYAM MADU,7,IDR 46000.00
AKULAKU,potato q rasa rumput laut,4,IDR 21000.00
AKULAKU,CIMORY MARIE REGAL,2,IDR 20000.00
AKULAKU,Beng Beng Maxx,1,IDR 7000.00
AKULAKU,FANTA KALENG 250ML,2,IDR 18000.00
AKULAKU,Astor Double Coklat Kecil 40 GRAM,1,IDR 10000.00
AKULAKU,TEH SEJUK,2,IDR 14000.00
AKULAKU,SUKRO OVEN 25 GRAM,4,IDR 24000.00
