Vending Machine Name,Product,Qty Sold,Sales
ALL SEDAYU,Teh Pucuk 350ML,2,IDR 13000.00
ALL SEDAYU,LARUTAN CAP KAKI TIGA LECI,2,IDR 18000.00
ALL SEDAYU,MONDE SERENA SNACK 25 GRAM,1,IDR 5000.00
ALL SEDAYU,Pop Mie Goreng Spesial,1,IDR 8000.00
ALL SEDAYU,Kopiko Lucky Day 180 ML,2,IDR 16000.00
ALL SEDAYU,Nescafe Latte 240 ML,2,IDR 19200.00
ALL SEDAYU,POKKA LEMON TEA,1,IDR 8000.00
ALL SEDAYU,POKKA LYCHEE TEA,2,IDR 18000.00
ALL SEDAYU,SUNKIST LEMON C,1,IDR 7000.00
ALL SEDAYU,Nescafe CappuccIno 240 ML,3,IDR 28800.00
ALL SEDAYU,Panda Grass Jely dan Selasih 350ML,1,IDR 9000.00
ALL SEDAYU,YOU C1000 orange water 500ML,2,IDR 24000.00
ALL SEDAYU,SUKRO OVEN 25 GRAM,4,IDR 24000.00
ALL SEDAYU,MONDE EGG ROLL CHOCOLATE,1,IDR 6000.00
