Vending Machine Name,Product,Qty Sold,Sales
ARGAPURA,Kacang Mayasi,2,IDR 10000.00
ARGAPURA,POCARI SWEAT 350ML,6,IDR 58000.00
ARGAPURA,Hydro Coco 250ML,10,IDR 100000.00
ARGAPURA,potato q rasa rumput laut,7,IDR 36000.00
ARGAPURA,yoritos,3,IDR 18000.00
ARGAPURA,EGG ROLL STRAWBERRY,3,IDR 21000.00
ARGAPURA,CIMORY MARIE REGAL,1,IDR 9000.00
ARGAPURA,french fries 2000,3,IDR 15000.00
ARGAPURA,Nescafe Latte 240 ML,4,IDR 48000.00
ARGAPURA,CIMORY STRAWBERY 250ML,3,IDR 30000.00
ARGAPURA,LARUTAN CAP KAKI TIGA LECI,6,IDR 54000.00
ARGAPURA,SUNKIST LEMON C,5,IDR 42500.00
ARGAPURA,POKKA LYCHEE TEA,4,IDR 36000.00
ARGAPURA,Astor Double Coklat Kecil 40 GRAM,1,IDR 10000.00
ARGAPURA,MILKU COKLAT 200ML,1,IDR 5000.00
ARGAPURA,Nescafe CappuccIno 240 ML,3,IDR 36000.00
ARGAPURA,WALENS BLUEBERRY SOES,2,IDR 30000.00
ARGAPURA,MONDE PIE MINI,2,IDR 20000.00
ARGAPURA,Tik Tak Original 90 GRAM,3,IDR 24000.00
ARGAPURA,KUSUKA AYAM MADU,1,IDR 4000.00
ARGAPURA,CIMORY MATCHA,3,IDR 30000.00
ARGAPURA,CIMORY COKLAT 250ML,1,IDR 9000.00
ARGAPURA,INACO MINI PUDDING,1,IDR 5000.00
ARGAPURA,GO POTATO,2,IDR 16000.00
ARGAPURA,CHIKI TWIST,1,IDR 11000.00
ARGAPURA,MIE SEDAAP SELECTION KOREAN SPICY,2,IDR 18500.00
ARGAPURA,Spix mi goreng,5,IDR 30000.00
ARGAPURA,MIE SEDAP CUP KARI AYAM SPESIAL,4,IDR 40000.00
ARGAPURA,Mie Sedaap Soto,2,IDR 20000.00
ARGAPURA,NESCAFE ICE BLACK,2,IDR 26000.00
ARGAPURA,POKKA LEMON TEA,3,IDR 27000.00
ARGAPURA,MONDE SERENA SNACK 25 GRAM,7,IDR 42000.00
ARGAPURA,Teh Pucuk 350ML,1,IDR 6500.00
ARGAPURA,MIE SEDAP CUP GORENG,1,IDR 10000.00
ARGAPURA,TEH SEJUK,3,IDR 21000.00
ARGAPURA,TWISTKO,4,IDR 36000.00
ARGAPURA,TARO potato barbecue,1,IDR 9000.00
