Vending Machine Name,Product,Qty Sold,Sales
ARWANA CITRA,MIE SEDAP CUP KARI AYAM SPESIAL,2,IDR 16000.00
ARWANA CITRA,CIMORY MATCHA,6,IDR 48000.00
ARWANA CITRA,YOU C1000 orange water 500ML,15,IDR 180000.00
ARWANA CITRA,SPRITE BOTOL 390ML,5,IDR 40000.00
ARWANA CITRA,Le Mineral 600ML,23,IDR 146500.00
ARWANA CITRA,Nescafe CappuccIno 240 ML,10,IDR 109600.00
ARWANA CITRA,Beng Beng Maxx,15,IDR 90000.00
ARWANA CITRA,MIE SEDAAP SELECTION KOREAN SPICY,6,IDR 48000.00
ARWANA CITRA,MILO ORIGINAL 220ML,4,IDR 44800.00
ARWANA CITRA,CROISANT 60 GRAM,14,IDR 126000.00
ARWANA CITRA,INACO MINI PUDDING,2,IDR 9000.00
ARWANA CITRA,AW 250ML,7,IDR 66000.00
ARWANA CITRA,CIMORY COKLAT 250ML,10,IDR 92000.00
ARWANA CITRA,potato q rasa sosis meksiko,6,IDR 30000.00
ARWANA CITRA,fire crackers,5,IDR 30000.00
ARWANA CITRA,WALLENS CHOCOSHOES,3,IDR 39000.00
ARWANA CITRA,yoritos,2,IDR 12000.00
ARWANA CITRA,POTAKREZ sapi panggang,4,IDR 20000.00
ARWANA CITRA,Mie Sedaap Soto,3,IDR 29000.00
ARWANA CITRA,mayasi paw,5,IDR 30000.00
ARWANA CITRA,Teh Pucuk 350ML,8,IDR 42500.00
ARWANA CITRA,CIMORY HAZELNUT,6,IDR 48000.00
ARWANA CITRA,TEH SEJUK,9,IDR 55000.00
ARWANA CITRA,CIMORY MARIE REGAL,4,IDR 36000.00
ARWANA CITRA,KUSUKA AYAM MADU,10,IDR 63000.00
ARWANA CITRA,Nescafe Latte 240 ML,4,IDR 46800.00
ARWANA CITRA,POKKA LEMON TEA,4,IDR 36000.00
ARWANA CITRA,Lasegar leci lemon,2,IDR 16000.00
ARWANA CITRA,MIE SEDAP CUP GORENG,3,IDR 24000.00
ARWANA CITRA,Kacang Mayasi,2,IDR 10000.00
ARWANA CITRA,FANTA KALENG 250ML,7,IDR 56000.00
ARWANA CITRA,POCARI SWEAT 350ML,4,IDR 40000.00
ARWANA CITRA,INACO MINI JELLY AND PUDDING,2,IDR 18000.00
ARWANA CITRA,POKKA LYCHEE TEA,4,IDR 30000.00
ARWANA CITRA,fire crackers sambal mangga,7,IDR 35000.00
ARWANA CITRA,Hydro Coco 250ML,5,IDR 50000.00
ARWANA CITRA,WALENS BLUEBERRY SOES,3,IDR 45000.00
ARWANA CITRA,Coca cola kaleng 250ml,4,IDR 36000.00
ARWANA CITRA,potato q rasa rumput laut,3,IDR 18000.00
ARWANA CITRA,Spix mi goreng,2,IDR 13000.00
