Vending Machine Name,Product,Qty Sold,Sales
ASURANSI JIWA AL AMIN,CIMORY STRAWBERY 250ML,2,IDR 18000.00
ASURANSI JIWA AL AMIN,potato q rasa rumput laut,1,IDR 5000.00
ASURANSI JIWA AL AMIN,MILKU COKLAT 200ML,2,IDR 12000.00
ASURANSI JIWA AL AMIN,INACO MINI JELLY AND PUDDING,1,IDR 9000.00
ASURANSI JIWA AL AMIN,yoritos,4,IDR 24000.00
ASURANSI JIWA AL AMIN,Kopiko Lucky Day 180 ML,4,IDR 40000.00
ASURANSI JIWA AL AMIN,bro tatoz rendang sapi,1,IDR 7000.00
ASURANSI JIWA AL AMIN,GENJI ORIGINAL PIE,1,IDR 15000.00
ASURANSI JIWA AL AMIN,CIMORY MARIE REGAL,1,IDR 8000.00
ASURANSI JIWA AL AMIN,Mie Sedaap Soto,7,IDR 64000.00
ASURANSI JIWA AL AMIN,KUSUKA AYAM MADU,6,IDR 34000.00
ASURANSI JIWA AL AMIN,Kacang Mayasi,4,IDR 20000.00
ASURANSI JIWA AL AMIN,MONDE EGG ROLL CHOCOLATE,5,IDR 35000.00
ASURANSI JIWA AL AMIN,MONDE PIE MINI,7,IDR 70000.00
ASURANSI JIWA AL AMIN,MIE SEDAAP SELECTION KOREAN SPICY,7,IDR 64000.00
ASURANSI JIWA AL AMIN,CIMORY COKLAT 250ML,6,IDR 51000.00
ASURANSI JIWA AL AMIN,POCARI SWEAT 350ML,7,IDR 64000.00
ASURANSI JIWA AL AMIN,MIE SEDAP CUP GORENG,7,IDR 64000.00
ASURANSI JIWA AL AMIN,MIE SEDAP CUP RAWIT BINGIT,3,IDR 24000.00
ASURANSI JIWA AL AMIN,Hydro Coco 250ML,8,IDR 64000.00
ASURANSI JIWA AL AMIN,INACO MINI PUDDING,1,IDR 5000.00
ASURANSI JIWA AL AMIN,Oi Ocha Green Tea 300 ml,4,IDR 32000.00
ASURANSI JIWA AL AMIN,SUKRO OVEN 25 GRAM,8,IDR 45000.00
ASURANSI JIWA AL AMIN,MILKU STRAWBERRY,3,IDR 18000.00
ASURANSI JIWA AL AMIN,KRIZZI,2,IDR 16000.00
ASURANSI JIWA AL AMIN,mayasi paw,1,IDR 6000.00
ASURANSI JIWA AL AMIN,french fries 2000,3,IDR 18500.00
ASURANSI JIWA AL AMIN,INACO IM COCO LECI,2,IDR 16000.00
ASURANSI JIWA AL AMIN,Le Mineral 600ML,11,IDR 73500.00
ASURANSI JIWA AL AMIN,YOU C1000 orange water 500ML,2,IDR 25000.00
ASURANSI JIWA AL AMIN,Lasegar leci lemon,6,IDR 60000.00
ASURANSI JIWA AL AMIN,potato q rasa sosis meksiko,4,IDR 22000.00
ASURANSI JIWA AL AMIN,POCARI SWEAT KALENG/CAN 330ML,1,IDR 10000.00
ASURANSI JIWA AL AMIN,TEH SEJUK,2,IDR 12000.00
ASURANSI JIWA AL AMIN,MILO ORIGINAL 220ML,1,IDR 14000.00
ASURANSI JIWA AL AMIN,caffino,5,IDR 50000.00
ASURANSI JIWA AL AMIN,CROISANT 60 GRAM,8,IDR 80000.00
ASURANSI JIWA AL AMIN,Beng Beng Maxx,5,IDR 35000.00
ASURANSI JIWA AL AMIN,MONDE SERENA SNACK 25 GRAM,8,IDR 48000.00
ASURANSI JIWA AL AMIN,LASEGAR LEMON,2,IDR 20000.00
ASURANSI JIWA AL AMIN,CIMORY MATCHA,4,IDR 40000.00
ASURANSI JIWA AL AMIN,Teh Pucuk 350ML,2,IDR 13500.00
ASURANSI JIWA AL AMIN,fire crackers sambal mangga,2,IDR 10000.00
ASURANSI JIWA AL AMIN,BARLEY TEA,1,IDR 9600.00
ASURANSI JIWA AL AMIN,MIE SEDAP CUP KARI AYAM SPESIAL,4,IDR 40000.00
ASURANSI JIWA AL AMIN,sunkist water orange,1,IDR 9000.00
