Vending Machine Name,Product,Qty Sold,Sales
AXA 4,MASKER KN95,8,IDR 76000.00
AXA 4,FRESHCARE,2,IDR 26000.00
AXA 4,SIKAT GIGI DAN ODOL,1,IDR 7000.00
AXA 4,CDR SACHET,4,IDR 40000.00
AXA 4,TOLAK ANGIN,7,IDR 49000.00
AXA 4,SOFTEX ISI 8,6,IDR 51000.00
AXA 4,HANSAPLAST BETADINE,3,IDR 42000.00
AXA 4,VITAMIN C,3,IDR 24000.00
AXA 4,SALONPAS ISI 10,4,IDR 44000.00
AXA 4,golden sparkling,5,IDR 70000.00
AXA 4,MINYAK KAYU PUTIH,2,IDR 38000.00
AXA 4,LAURIER ISI 8,2,IDR 18000.00
AXA 4,DEGIROL,3,IDR 61500.00
AXA 4,PROMAG,1,IDR 15500.00
