Vending Machine Name,Product,Qty Sold,Sales
AXA KUNINGAN 1,MIE SEDAP CUP GORENG,6,IDR 50000.00
AXA KUNINGAN 1,Mie Sedaap Soto,7,IDR 56000.00
AXA KUNINGAN 1,QTELA TEMPE ORIGINAL,3,IDR 33000.00
AXA KUNINGAN 1,LARUTAN CAP KAKI TIGA LECI,4,IDR 32000.00
AXA KUNINGAN 1,Beng Beng Maxx,4,IDR 20000.00
AXA KUNINGAN 1,AW 250ML,1,IDR 8000.00
AXA KUNINGAN 1,Nescafe CappuccIno 240 ML,2,IDR 23400.00
AXA KUNINGAN 1,SUKRO OVEN 25 GRAM,10,IDR 50000.00
AXA KUNINGAN 1,WALENS BLUEBERRY SOES,4,IDR 60000.00
AXA KUNINGAN 1,Piattos rasa sapi panggang,2,IDR 18000.00
AXA KUNINGAN 1,CIMORY MATCHA,3,IDR 21000.00
AXA KUNINGAN 1,TARO potato barbecue,1,IDR 8000.00
AXA KUNINGAN 1,Pulpy Orange 300ML,4,IDR 28000.00
AXA KUNINGAN 1,CIMORY COKLAT 250ML,5,IDR 53000.00
AXA KUNINGAN 1,WALLENS CHOCOSHOES,7,IDR 93000.00
AXA KUNINGAN 1,OATSIDE COFFEE,6,IDR 66000.00
AXA KUNINGAN 1,potato q rasa sosis meksiko,3,IDR 16000.00
AXA KUNINGAN 1,MILKU STRAWBERRY,1,IDR 5000.00
AXA KUNINGAN 1,Chitato Lite Nori 35 gram,1,IDR 8000.00
AXA KUNINGAN 1,french fries 2000,3,IDR 19000.00
AXA KUNINGAN 1,CROISANT 60 GRAM,12,IDR 72000.00
AXA KUNINGAN 1,MILO ORIGINAL 220ML,2,IDR 20800.00
AXA KUNINGAN 1,yoritos,5,IDR 30000.00
AXA KUNINGAN 1,iyes mix,2,IDR 12000.00
AXA KUNINGAN 1,PANDA CINCAU JELLY,3,IDR 21000.00
AXA KUNINGAN 1,MIE SEDAAP SELECTION KOREAN SPICY,6,IDR 48000.00
AXA KUNINGAN 1,MIE SEDAP CUP RAWIT BINGIT,2,IDR 16000.00
AXA KUNINGAN 1,bro tatoz rasa rumput laut,1,IDR 7000.00
AXA KUNINGAN 1,Tik Tak Sapi Panggang 90 GRAM,5,IDR 35000.00
AXA KUNINGAN 1,YOU C1000 orange water 500ML,1,IDR 10000.00
AXA KUNINGAN 1,POCARI SWEAT KALENG/CAN 330ML,2,IDR 19000.00
AXA KUNINGAN 1,POCARI SWEAT 350ML,1,IDR 10000.00
AXA KUNINGAN 1,EGG ROLL STRAWBERRY,4,IDR 28000.00
AXA KUNINGAN 1,Spix mi goreng,8,IDR 50000.00
AXA KUNINGAN 1,Nescafe Latte 240 ML,1,IDR 13000.00
AXA KUNINGAN 1,SPRITE KALENG 250ML,1,IDR 8000.00
AXA KUNINGAN 1,Oi Ocha Green Tea 300 ml,1,IDR 10000.00
AXA KUNINGAN 1,MONDE SERENA SNACK 25 GRAM,2,IDR 12000.00
AXA KUNINGAN 1,TWISTKO,4,IDR 40000.00
AXA KUNINGAN 1,ITO EN OLONG,2,IDR 26000.00
AXA KUNINGAN 1,Astor Double Coklat Kecil 40 GRAM,3,IDR 21000.00
AXA KUNINGAN 1,MILKIS ORIGINAL,1,IDR 12000.00
AXA KUNINGAN 1,KRIZZI COKLAT,5,IDR 40000.00
AXA KUNINGAN 1,POTAKREZ sapi panggang,3,IDR 15000.00
AXA KUNINGAN 1,CIMORY MARIE REGAL,1,IDR 8000.00
AXA KUNINGAN 1,Teh Pucuk 350ML,1,IDR 6500.00
AXA KUNINGAN 1,black thunder,3,IDR 18000.00
