Product,Qty Sold,Sales
Tic tic rasa bawang asli,3,IDR 24000.00
Tik Tak Sapi Panggang 90 GRAM,3,IDR 21000.00
MIE SEDAP CUP RAWIT BINGIT,7,IDR 56000.00
CIMORY MATCHA,2,IDR 20000.00
CROISANT 60 GRAM,6,IDR 36000.00
MIE SEDAAP SELECTION KOREAN SPICY,1,IDR 10000.00
MIE SEDAP CUP GORENG,9,IDR 82000.00
KUSUKA AYAM MADU,1,IDR 4000.00
QTELA TEMPE ORIGINAL,3,IDR 33000.00
CIMORY ALMOND,2,IDR 20000.00
WALENS BLUEBERRY SOES,2,IDR 30000.00
EGG ROLL STRAWBERRY,2,IDR 12000.00
Nescafe CappuccIno 240 ML,2,IDR 26000.00
EGG ROLL CHEESE,2,IDR 12000.00
Beng Beng Maxx,3,IDR 15000.00
KRIZZI COKLAT,1,IDR 8000.00
AW 250ML,1,IDR 8000.00
SUKRO OVEN 25 GRAM,1,IDR 6000.00
Nescafe Latte 240 ML,2,IDR 26000.00
OATSIDE COFFEE,1,IDR 13000.00
MILO ORIGINAL 220ML,1,IDR 13000.00
NESCAFE ICE BLACK,1,IDR 13000.00
potato q rasa rumput laut,2,IDR 10000.00
YOU C1000 orange water 500ML,1,IDR 10000.00
