Vending Machine Name,Product,Qty Sold,Sales
BAKRIE AND BROTHER LT 27,SUKRO OVEN 25 GRAM,6,IDR 30000.00
BAKRIE AND BROTHER LT 27,INACO MINI JELLY AND PUDDING,3,IDR 27000.00
BAKRIE AND BROTHER LT 27,CIMORY MATCHA,3,IDR 24000.00
BAKRIE AND BROTHER LT 27,NESCAFE ICE BLACK,2,IDR 24000.00
BAKRIE AND BROTHER LT 27,KRIZZI COKLAT,4,IDR 36000.00
BAKRIE AND BROTHER LT 27,AW 250ML,4,IDR 32000.00
BAKRIE AND BROTHER LT 27,MILO ORIGINAL 220ML,8,IDR 120000.00
BAKRIE AND BROTHER LT 27,MIE SEDAP CUP GORENG,6,IDR 56000.00
BAKRIE AND BROTHER LT 27,Beng Beng Maxx,11,IDR 73000.00
BAKRIE AND BROTHER LT 27,Mie Sedaap Soto,8,IDR 74000.00
BAKRIE AND BROTHER LT 27,fire crackers,1,IDR 6000.00
BAKRIE AND BROTHER LT 27,CIMORY COKLAT 250ML,12,IDR 122000.00
BAKRIE AND BROTHER LT 27,CROISANT 60 GRAM,3,IDR 30000.00
BAKRIE AND BROTHER LT 27,Go potato cheese,7,IDR 63000.00
BAKRIE AND BROTHER LT 27,POCARI SWEAT 350ML,1,IDR 8000.00
BAKRIE AND BROTHER LT 27,potato q rasa sosis meksiko,3,IDR 15000.00
BAKRIE AND BROTHER LT 27,CIMORY MARIE REGAL,9,IDR 88000.00
BAKRIE AND BROTHER LT 27,mayasi paw,5,IDR 30000.00
BAKRIE AND BROTHER LT 27,MONDE PIE MINI,2,IDR 20000.00
BAKRIE AND BROTHER LT 27,bro tatoz rasa rumput laut,3,IDR 21000.00
BAKRIE AND BROTHER LT 27,bro tatoz rendang sapi,2,IDR 14000.00
BAKRIE AND BROTHER LT 27,MIE SEDAP CUP KARI AYAM SPESIAL,5,IDR 42000.00
BAKRIE AND BROTHER LT 27,INACO MINI PUDDING,5,IDR 29000.00
BAKRIE AND BROTHER LT 27,POTAKREZ sapi panggang,1,IDR 6000.00
BAKRIE AND BROTHER LT 27,Piattos rasa sapi panggang,4,IDR 36000.00
BAKRIE AND BROTHER LT 27,Tik Tak Original 90 GRAM,5,IDR 43000.00
BAKRIE AND BROTHER LT 27,CIMORY STRAWBERY 250ML,2,IDR 16000.00
BAKRIE AND BROTHER LT 27,Nescafe CappuccIno 240 ML,3,IDR 36000.00
BAKRIE AND BROTHER LT 27,POCARI SWEAT KALENG 330ML,3,IDR 0.00
BAKRIE AND BROTHER LT 27,KUSUKA AYAM MADU,1,IDR 5000.00
BAKRIE AND BROTHER LT 27,Kacang Mayasi,2,IDR 12000.00
BAKRIE AND BROTHER LT 27,Teh Pucuk 350ML,5,IDR 33000.00
BAKRIE AND BROTHER LT 27,WALLENS CHOCOSHOES,11,IDR 153000.00
BAKRIE AND BROTHER LT 27,MONDE SERENA SNACK 25 GRAM,4,IDR 24000.00
BAKRIE AND BROTHER LT 27,Spix mi goreng,7,IDR 49000.00
BAKRIE AND BROTHER LT 27,Nescafe Latte 240 ML,6,IDR 72000.00
BAKRIE AND BROTHER LT 27,Le Mineral 600ML,12,IDR 80500.00
BAKRIE AND BROTHER LT 27,Hydro Coco 250ML,6,IDR 60000.00
BAKRIE AND BROTHER LT 27,iyes mix,2,IDR 12000.00
BAKRIE AND BROTHER LT 27,Astor Double Coklat Kecil 40 GRAM,2,IDR 20000.00
BAKRIE AND BROTHER LT 27,potato q rasa rumput laut,2,IDR 12000.00
