Vending Machine Name,Product,Qty Sold,Sales
BNI RAWAMANGUN,CIMORY ALMOND,9,IDR 90000.00
BNI RAWAMANGUN,KRIZZI COKLAT,1,IDR 10000.10
BNI RAWAMANGUN,bro tatoz rasa rumput laut,5,IDR 35000.00
BNI RAWAMANGUN,potato q rasa sosis meksiko,1,IDR 5000.00
BNI RAWAMANGUN,YOU C1000 orange water 500ML,8,IDR 100000.00
BNI RAWAMANGUN,Nescafe CappuccIno 240 ML,1,IDR 12000.00
BNI RAWAMANGUN,MIE SEDAP CUP GORENG,5,IDR 50000.00
BNI RAWAMANGUN,NESCAFE ICE BLACK,3,IDR 37000.00
BNI RAWAMANGUN,AW 250ML,5,IDR 50000.00
BNI RAWAMANGUN,Teh Pucuk 350ML,15,IDR 97500.00
BNI RAWAMANGUN,Pulpy Orange 300ML,3,IDR 27000.00
BNI RAWAMANGUN,POTABEE BARBEQUE 35gr,3,IDR 27000.00
BNI RAWAMANGUN,TARO potato barbecue,2,IDR 20000.00
BNI RAWAMANGUN,french fries 2000,5,IDR 30500.00
BNI RAWAMANGUN,MILO ORIGINAL 220ML,6,IDR 84000.00
BNI RAWAMANGUN,Hydro Coco 250ML,10,IDR 114000.00
BNI RAWAMANGUN,TEH SEJUK,3,IDR 18000.00
BNI RAWAMANGUN,MILKU STRAWBERRY,4,IDR 24000.00
BNI RAWAMANGUN,CIMORY MARIE REGAL,9,IDR 90000.00
BNI RAWAMANGUN,CIMORY STRAWBERY 250ML,4,IDR 40000.00
BNI RAWAMANGUN,KUSUKA AYAM MADU,5,IDR 27000.00
BNI RAWAMANGUN,Tik Tak Original 90 GRAM,1,IDR 10000.00
BNI RAWAMANGUN,Kopiko Lucky Day 180 ML,3,IDR 30000.00
BNI RAWAMANGUN,Nescafe Latte 240 ML,5,IDR 60000.00
BNI RAWAMANGUN,EGG ROLL STRAWBERRY,5,IDR 35000.00
BNI RAWAMANGUN,MONDE SERENA SNACK 25 GRAM,3,IDR 18000.00
BNI RAWAMANGUN,CIMORY COKLAT 250ML,6,IDR 64000.00
BNI RAWAMANGUN,Beng Beng Maxx,16,IDR 112000.00
BNI RAWAMANGUN,Sedap selection cup,7,IDR 70000.00
BNI RAWAMANGUN,MIE SEDAP CUP RAWIT BINGIT,7,IDR 70000.00
BNI RAWAMANGUN,Mie Sedaap Soto,7,IDR 70000.00
BNI RAWAMANGUN,Spix mi goreng,4,IDR 24000.00
BNI RAWAMANGUN,POKKA LYCHEE TEA,3,IDR 30000.00
BNI RAWAMANGUN,Kacang Mayasi,4,IDR 20000.00
BNI RAWAMANGUN,mayasi paw,3,IDR 18000.00
BNI RAWAMANGUN,FANTA KALENG 250ML,1,IDR 9000.00
BNI RAWAMANGUN,luwak white koffie,2,IDR 20000.00
BNI RAWAMANGUN,MONDE EGG ROLL CHOCOLATE,4,IDR 28000.00
BNI RAWAMANGUN,POCARI SWEAT 350ML,3,IDR 30000.00
BNI RAWAMANGUN,Coca cola kaleng 250ml,1,IDR 9000.00
BNI RAWAMANGUN,POKKA LEMON TEA,1,IDR 10000.00
