"#","Vendor Part No","Product","Vendor Part No","Qty Sold","Sales"
"","","Total","","33820","IDR 310,756,626.50"
"1","SK-001","COCA COLA 230mL","SK-001","1","IDR 5000.00"
"2","AXA-014","MASKER KN95","AXA-014","8","IDR 76000.00"
"3","K-01","NASI KECOMBRANG CAKALANG WOKU","K-01","16","IDR 464000.00"
"4","AXA-07","FRESHCARE","AXA-07","2","IDR 26000.00"
"5","K-04","NASI KECOMBRANG CAKALANG WOKU POUCH","K-04","14","IDR 406000.00"
"6","SK-019","SOSRO TEH BOTOL ORIGINAL BTL 350mL","SK-019","30","IDR 180000.00"
"7","K-10","JUICE KURMA","K-10","4","IDR 34000.00"
"8","SK-007","PANDA LIANG TEH  KLG 310mL","SK-007","11","IDR 110000.00"
"9","SK 380","SIKAT GIGI DAN ODOL","SK 380","1","IDR 7000.00"
"10","AXA-018","CDR SACHET","AXA-018","4","IDR 40000.00"
"11","K-03","NASI PUTIH DAGING RENDANG","K-03","9","IDR 306000.00"
"12","SK-025","SPRITE SOFT DRINK SLIM  KLG 250mL","SK-025","14","IDR 140000.00"
"13","SK 013","ultra coklat","SK 013","3","IDR 30000.00"
"14","SK-003","PUCUK HARUM MINUMAN TEH MELATI BTL 350mL","SK-003","43","IDR 215000.00"
"15","K-02","NASI HIJAU PANDAN AYAM SUIR PEDAS","K-02","7","IDR 203000.00"
"16","SK-017","POCARI SWEAT MINUMAN ISOTONIK  KLG 330mL","SK-017","15","IDR 105000.00"
"17","SK 542","TOLAK ANGIN","SK 542","7","IDR 49000.00"
"18","SK 012","Milo","SK 012","2","IDR 20000.00"
"19","K-06","NASI PUTIH DAGING RENDANG POUCH","K-06","7","IDR 238000.00"
"20","SK-034","POCARI SWEAT MINUMAN ISOTONIK  BTL 500mL","SK-034","12","IDR 120000.00"
"21","AXA-10","SOFTEX ISI 8","AXA-10","6","IDR 51000.00"
"22","AXA-017","HANSAPLAST BETADINE","AXA-017","3","IDR 42000.00"
"23","SK 011","NU greentea honey","SK 011","2","IDR 14000.00"
"24","SK-013","NU MINUMAN MILK TEA  BTL 330mL","SK-013","11","IDR 99000.00"
"25","K-09","DAGING RENDANG POUCH","K-09","8","IDR 232000.00"
"26","SK 006","Teh Botol","SK 006","9","IDR 63000.00"
"27","AXA-09","VITAMIN C","AXA-09","3","IDR 24000.00"
"28","SK-035","BEAR BRAND SUSU ENCER STERIL  KLG 189mL","SK-035","17","IDR 221000.00"
"29","K-07","CAKALANG WOKU POUCH","K-07","7","IDR 174300.00"
"30","K-12","NASI BIRYANI INSTANT","K-12","4","IDR 56000.00"
"31","SK 004","Popmie Goreng","SK 004","2","IDR 20000.00"
"32","AXA-016","SALONPAS ISI 10","AXA-016","4","IDR 44000.00"
"33","K-05","NASI HIJAU PANDAN AYAM SUIR PEDAS POUCH","K-05","4","IDR 116000.00"
"34","SK 008","Ron 88","SK 008","6","IDR 30000.00"
"35","AXA-015","MINYAK KAYU PUTIH","AXA-015","2","IDR 38000.00"
"36","SK 026","Kenji Matcha Milk tea Cookie","SK 026","2","IDR 30000.00"
"37","SK 029","Cororo","SK 029","4","IDR 80000.00"
"38","SK 021","chacha warna","SK 021","2","IDR 38000.00"
"39","SK 016","Pocari Sweet","SK 016","1","IDR 11000.00"
"40","SK 024","Nipis Madu Lime Soda 330ml","SK 024","5","IDR 32000.00"
"41","SK 022","chacha coklat","SK 022","5","IDR 92000.00"
"42","SK-031","SOSRO FRUIT TEA MARKISA BTL 350mL","SK-031","17","IDR 102000.00"
"43","SK 003","Popmie Baso","SK 003","9","IDR 90000.00"
