Vending Machine Name,Product,Qty Sold,Sales
CBC GALLERY,Hydro Coco 250ML,1,IDR 9000.00
CBC GALLERY,Astor Double Coklat Kecil 40 GRAM,3,IDR 26000.00
CBC GALLERY,Tik Tak Original 90 GRAM,1,IDR 8000.00
CBC GALLERY,Beng Beng Maxx,3,IDR 20000.00
CBC GALLERY,POCARI SWEAT 350ML,5,IDR 42000.00
CBC GALLERY,INACO MINI JELLY AND PUDDING,1,IDR 7000.00
CBC GALLERY,Teh Pucuk 350ML,5,IDR 31500.00
CBC GALLERY,MILO ORIGINAL 220ML,1,IDR 12000.00
CBC GALLERY,NESCAFE ICE BLACK,1,IDR 12000.00
CBC GALLERY,YOU C1000 orange water 500ML,2,IDR 24000.00
CBC GALLERY,MIE SEDAP CUP KARI AYAM SPESIAL,1,IDR 10000.00
CBC GALLERY,KUSUKA AYAM MADU,2,IDR 13000.00
CBC GALLERY,SPRITE KALENG 250ML,1,IDR 8000.00
CBC GALLERY,LARUTAN CAP KAKI TIGA LECI,2,IDR 18000.00
CBC GALLERY,MONDE EGG ROLL CHOCOLATE,1,IDR 6000.00
CBC GALLERY,Kopiko Lucky Day 180 ML,1,IDR 8000.00
CBC GALLERY,TARO potato barbecue,2,IDR 20000.00
CBC GALLERY,MIE SEDAAP SELECTION KOREAN SPICY,1,IDR 10000.00
CBC GALLERY,TWISTKO,2,IDR 18000.00
CBC GALLERY,french fries 2000,2,IDR 14000.00
