Vending Machine Name,Product,Qty Sold,Sales
CLUSTER ATHALIA 1,Nescafe CappuccIno 240 ML,6,IDR 72000.00
CLUSTER ATHALIA 1,LE MINERALE 2,15,IDR 90000.00
CLUSTER ATHALIA 1,SPRITE KALENG 250ML,6,IDR 48000.00
CLUSTER ATHALIA 1,TEH SEJUK,5,IDR 35000.00
CLUSTER ATHALIA 1,EGG ROLL STRAWBERRY,1,IDR 7000.00
CLUSTER ATHALIA 1,SUKRO OVEN 25 GRAM,3,IDR 16000.00
CLUSTER ATHALIA 1,KUSUKA AYAM MADU,1,IDR 5000.00
CLUSTER ATHALIA 1,POCARI SWEAT 350ML,8,IDR 65000.00
CLUSTER ATHALIA 1,Tik Tak Sapi Panggang 90 GRAM,4,IDR 40000.00
CLUSTER ATHALIA 1,YOU C1000 orange water 500ML,8,IDR 100000.00
CLUSTER ATHALIA 1,QTELA TEMPE CABAI RAWIT,1,IDR 11000.00
CLUSTER ATHALIA 1,Coca cola kaleng 250ml,5,IDR 45000.00
CLUSTER ATHALIA 1,NESCAFE ICE BLACK,5,IDR 62000.00
CLUSTER ATHALIA 1,MILKU STRAWBERRY,4,IDR 24000.00
CLUSTER ATHALIA 1,TARO COWBOY STEAK,2,IDR 20000.00
CLUSTER ATHALIA 1,Hydro Coco 250ML,6,IDR 60000.00
CLUSTER ATHALIA 1,MILKU COKLAT 200ML,5,IDR 29000.00
CLUSTER ATHALIA 1,LARUTAN CAP KAKI TIGA LECI,4,IDR 40000.00
CLUSTER ATHALIA 1,MILO ORIGINAL 220ML,6,IDR 84000.00
CLUSTER ATHALIA 1,POKKA LYCHEE TEA,2,IDR 20000.00
CLUSTER ATHALIA 1,Pulpy Orange 300ML,5,IDR 45000.00
CLUSTER ATHALIA 1,Kopiko Lucky Day 180 ML,1,IDR 10000.00
CLUSTER ATHALIA 1,CIMORY MARIE REGAL,6,IDR 60000.00
CLUSTER ATHALIA 1,MONDE SERENA SNACK 25 GRAM,1,IDR 6000.00
CLUSTER ATHALIA 1,INACO IM COCO LECI,4,IDR 40000.00
CLUSTER ATHALIA 1,POKKA LEMON TEA,4,IDR 40000.00
CLUSTER ATHALIA 1,Spix mi goreng,1,IDR 6000.00
CLUSTER ATHALIA 1,CIMORY COKLAT 250ML,1,IDR 11000.00
CLUSTER ATHALIA 1,yoritos,1,IDR 6000.00
CLUSTER ATHALIA 1,Beng Beng Maxx,1,IDR 7000.00
CLUSTER ATHALIA 1,MONDE PIE MINI,1,IDR 10000.00
