Vending Machine Name,Product,Qty Sold,Sales
CLUSTER BLUERIVER 2,french fries 2000,2,IDR 10000.00
CLUSTER BLUERIVER 2,KUSUKA AYAM MADU,1,IDR 5000.00
CLUSTER BLUERIVER 2,Tik Tak Sapi Panggang 90 GRAM,1,IDR 6000.00
CLUSTER BLUERIVER 2,SPRITE KALENG 250ML,1,IDR 8000.00
CLUSTER BLUERIVER 2,Hydro Coco 250ML,5,IDR 50000.00
CLUSTER BLUERIVER 2,AQUA 600ml,7,IDR 49000.00
CLUSTER BLUERIVER 2,LASEGAR LEMON,3,IDR 27000.00
CLUSTER BLUERIVER 2,Pulpy Orange 300ML,5,IDR 30000.00
CLUSTER BLUERIVER 2,Kopiko Lucky Day 180 ML,3,IDR 24000.00
CLUSTER BLUERIVER 2,INACO MINI JELLY AND PUDDING,1,IDR 9000.00
CLUSTER BLUERIVER 2,LARUTAN CAP KAKI TIGA LECI,4,IDR 36000.00
CLUSTER BLUERIVER 2,NESCAFE ICE BLACK,1,IDR 12000.00
CLUSTER BLUERIVER 2,MILKU STRAWBERRY,1,IDR 5000.00
CLUSTER BLUERIVER 2,Coca cola kaleng 250ml,1,IDR 7000.00
CLUSTER BLUERIVER 2,Nescafe CappuccIno 240 ML,4,IDR 48000.00
CLUSTER BLUERIVER 2,POCARI SWEAT 350ML,8,IDR 80000.00
CLUSTER BLUERIVER 2,Lasegar leci lemon,3,IDR 24000.00
CLUSTER BLUERIVER 2,CIMORY COKLAT 250ML,2,IDR 22000.00
CLUSTER BLUERIVER 2,CIMORY MATCHA,3,IDR 30000.00
CLUSTER BLUERIVER 2,CIMORY MARIE REGAL,1,IDR 8000.00
CLUSTER BLUERIVER 2,ITO EN OLONG,2,IDR 26000.00
CLUSTER BLUERIVER 2,EGG ROLL STRAWBERRY,3,IDR 21000.00
CLUSTER BLUERIVER 2,TEH SEJUK,1,IDR 6000.00
CLUSTER BLUERIVER 2,mayasi paw,1,IDR 6000.00
CLUSTER BLUERIVER 2,POTAKREZ sapi panggang,1,IDR 5000.00
CLUSTER BLUERIVER 2,MONDE PIE MINI,1,IDR 10000.00
CLUSTER BLUERIVER 2,sunkist water orange,1,IDR 9000.00
