Vending Machine Name,Product,Qty Sold,Sales
CV JAYA ABADI 3,TEH SEJUK,11,IDR 66000.00
CV JAYA ABADI 3,french fries 2000,3,IDR 18500.00
CV JAYA ABADI 3,SUKRO OVEN 25 GRAM,5,IDR 27000.00
CV JAYA ABADI 3,Spix mi goreng,7,IDR 43500.00
CV JAYA ABADI 3,AQUA 600ml,21,IDR 147000.00
CV JAYA ABADI 3,INACO IM COCO LECI,2,IDR 24000.00
CV JAYA ABADI 3,LARUTAN CAP KAKI TIGA LECI,5,IDR 45000.00
CV JAYA ABADI 3,INACO MINI PUDDING,2,IDR 8000.00
CV JAYA ABADI 3,MIE SEDAP CUP RAWIT BINGIT,7,IDR 66000.00
CV JAYA ABADI 3,MIE SEDAP CUP GORENG,6,IDR 56000.00
CV JAYA ABADI 3,Tik Tak Sapi Panggang 90 GRAM,2,IDR 16000.00
CV JAYA ABADI 3,YOU C1000 orange water 500ML,11,IDR 132000.00
CV JAYA ABADI 3,CIMORY COKLAT 250ML,6,IDR 60000.00
CV JAYA ABADI 3,Hydro Coco 250ML,12,IDR 120000.00
CV JAYA ABADI 3,CIMORY MARIE REGAL,7,IDR 67000.00
CV JAYA ABADI 3,Kopiko Lucky Day 180 ML,4,IDR 28000.00
CV JAYA ABADI 3,Beng Beng Maxx,8,IDR 45000.00
CV JAYA ABADI 3,POKKA LEMON TEA,7,IDR 63000.00
CV JAYA ABADI 3,MILO ORIGINAL 220ML,5,IDR 65000.00
CV JAYA ABADI 3,Tik Tak Original 90 GRAM,3,IDR 24000.00
CV JAYA ABADI 3,MILKU COKLAT 200ML,2,IDR 9000.00
CV JAYA ABADI 3,KUSUKA AYAM MADU,2,IDR 12000.00
CV JAYA ABADI 3,FANTA KALENG 250ML,5,IDR 40000.00
CV JAYA ABADI 3,POKKA LYCHEE TEA,4,IDR 36000.00
CV JAYA ABADI 3,Coca cola kaleng 250ml,5,IDR 35000.00
CV JAYA ABADI 3,Nescafe CappuccIno 240 ML,2,IDR 24000.00
CV JAYA ABADI 3,MIE SEDAAP SELECTION KOREAN SPICY,2,IDR 20000.00
CV JAYA ABADI 3,WALENS BLUEBERRY SOES,1,IDR 15000.00
CV JAYA ABADI 3,POCARI SWEAT 350ML,9,IDR 89000.00
CV JAYA ABADI 3,Nescafe Latte 240 ML,3,IDR 39000.00
CV JAYA ABADI 3,EGG ROLL STRAWBERRY,2,IDR 14000.00
CV JAYA ABADI 3,NESCAFE ICE BLACK,2,IDR 25000.00
CV JAYA ABADI 3,potato q rasa sosis meksiko,2,IDR 11000.00
CV JAYA ABADI 3,CIMORY STRAWBERY 250ML,2,IDR 20000.00
CV JAYA ABADI 3,TWISTKO,5,IDR 50000.00
CV JAYA ABADI 3,Le Mineral 600ML,20,IDR 135500.00
CV JAYA ABADI 3,POTAKREZ sapi panggang,2,IDR 10000.00
CV JAYA ABADI 3,AW 250ML,3,IDR 30000.00
CV JAYA ABADI 3,mayasi paw,2,IDR 12000.00
