Vending Machine Name,Product,Qty Sold,Sales
DIGNITAS ACADEMY,CROISANT 60 GRAM,14,IDR 112000.00
DIGNITAS ACADEMY,CIMORY COKLAT 250ML,6,IDR 61000.00
DIGNITAS ACADEMY,CIMORY MATCHA,4,IDR 38000.00
DIGNITAS ACADEMY,potato q rasa rumput laut,3,IDR 15000.00
DIGNITAS ACADEMY,MIE SEDAP CUP KARI AYAM SPESIAL,9,IDR 84000.00
DIGNITAS ACADEMY,french fries 2000,9,IDR 44000.00
DIGNITAS ACADEMY,Beng Beng Maxx,17,IDR 114000.00
DIGNITAS ACADEMY,Tik Tak Sapi Panggang 90 GRAM,2,IDR 16000.00
DIGNITAS ACADEMY,MIE SEDAAP SELECTION KOREAN SPICY,4,IDR 37000.00
DIGNITAS ACADEMY,Hydro Coco 250ML,2,IDR 18000.00
DIGNITAS ACADEMY,Teh Pucuk 350ML,17,IDR 106000.00
DIGNITAS ACADEMY,yoritos,5,IDR 30000.00
DIGNITAS ACADEMY,fire crackers,2,IDR 12000.00
DIGNITAS ACADEMY,FANTA KALENG 330ML,1,IDR 10000.00
DIGNITAS ACADEMY,MILKU STRAWBERRY,9,IDR 54000.00
DIGNITAS ACADEMY,MONDE SERENA SNACK 25 GRAM,5,IDR 25000.00
DIGNITAS ACADEMY,GEMEZ CHILY SPICY 30GRAM,3,IDR 12000.00
DIGNITAS ACADEMY,fire crackers sambal mangga,4,IDR 20000.00
DIGNITAS ACADEMY,AW 250ML,2,IDR 20000.00
DIGNITAS ACADEMY,sunkist water orange,2,IDR 17000.00
DIGNITAS ACADEMY,WALLENS CHOCOSHOES,8,IDR 108000.00
DIGNITAS ACADEMY,TWISTKO,2,IDR 20000.00
DIGNITAS ACADEMY,bro tatoz rendang sapi,2,IDR 14000.00
DIGNITAS ACADEMY,Mie Sedaap Soto,7,IDR 70000.00
DIGNITAS ACADEMY,mayasi paw,3,IDR 21000.00
DIGNITAS ACADEMY,Coca Cola Botol 390ML,1,IDR 7000.00
DIGNITAS ACADEMY,KUSUKA AYAM MADU,3,IDR 18000.00
DIGNITAS ACADEMY,POTAKREZ sapi panggang,1,IDR 5000.00
DIGNITAS ACADEMY,Spix mi goreng,4,IDR 24000.00
DIGNITAS ACADEMY,YOUVIT KAFE G,1,IDR 10000.00
DIGNITAS ACADEMY,Coca cola kaleng 250ml,1,IDR 7000.00
DIGNITAS ACADEMY,Astor Double Coklat Kecil 40 GRAM,4,IDR 36000.00
DIGNITAS ACADEMY,JAVACOFFE MOCHA,1,IDR 13000.00
DIGNITAS ACADEMY,POCARI SWEAT 350ML,1,IDR 10000.00
DIGNITAS ACADEMY,Nescafe Latte 240 ML,1,IDR 12000.00
DIGNITAS ACADEMY,CIMORY STRAWBERY 250ML,2,IDR 20000.00
DIGNITAS ACADEMY,Kopiko Lucky Day 180 ML,3,IDR 27000.00
