Vending Machine Name,Product,Qty Sold,Sales
GRAHA ELNUSA,Hydro Coco 250ML,18,IDR 180000.00
GRAHA ELNUSA,Le Mineral 600ML,69,IDR 428000.00
GRAHA ELNUSA,Teh Pucuk 350ML,17,IDR 106000.00
GRAHA ELNUSA,POCARI SWEAT 350ML,26,IDR 252000.00
GRAHA ELNUSA,Pulpy Orange 300ML,14,IDR 98000.00
GRAHA ELNUSA,golden sparkling,4,IDR 53000.00
GRAHA ELNUSA,MILKU COKLAT 200ML,3,IDR 18000.00
GRAHA ELNUSA,potato q rasa sosis meksiko,1,IDR 5000.00
GRAHA ELNUSA,YOU C1000 orange water 500ML,5,IDR 63000.00
GRAHA ELNUSA,MIE SEDAP CUP RAWIT BINGIT,1,IDR 8000.00
GRAHA ELNUSA,MIE SEDAP CUP GORENG,4,IDR 38000.00
GRAHA ELNUSA,Groovy coffee beer,6,IDR 66000.00
GRAHA ELNUSA,LARUTAN CAP KAKI TIGA LECI,9,IDR 81000.00
GRAHA ELNUSA,CIMORY MARIE REGAL,2,IDR 18000.00
GRAHA ELNUSA,INACO COCO MELON,5,IDR 60000.00
GRAHA ELNUSA,TEH SEJUK,4,IDR 25000.00
GRAHA ELNUSA,CIMORY COKLAT 250ML,4,IDR 42000.00
GRAHA ELNUSA,Oi Ocha Green Tea 300 ml,9,IDR 90000.00
GRAHA ELNUSA,iyes mix,1,IDR 5000.00
GRAHA ELNUSA,MILKU STRAWBERRY,2,IDR 12000.00
GRAHA ELNUSA,SPRITE KALENG 250ML,5,IDR 40000.00
GRAHA ELNUSA,Lasegar leci lemon,3,IDR 27000.00
GRAHA ELNUSA,Beng Beng Maxx,3,IDR 21000.00
GRAHA ELNUSA,POKKA LYCHEE TEA,5,IDR 45000.00
GRAHA ELNUSA,KUSUKA AYAM MADU,4,IDR 24000.00
GRAHA ELNUSA,sunkist water orange,8,IDR 72000.00
GRAHA ELNUSA,FANTA STRAWBERRY 250ML CAN,3,IDR 27000.00
GRAHA ELNUSA,MIE SEDAP CUP KARI AYAM SPESIAL,1,IDR 8000.00
GRAHA ELNUSA,INACO MINI PUDDING,2,IDR 10500.00
GRAHA ELNUSA,Nescafe Latte 240 ML,5,IDR 65000.00
GRAHA ELNUSA,TWISTKO,1,IDR 10000.00
GRAHA ELNUSA,french fries 2000,1,IDR 7000.00
GRAHA ELNUSA,POKKA LEMON TEA,5,IDR 45000.00
GRAHA ELNUSA,Coca cola kaleng 250ml,1,IDR 9000.00
GRAHA ELNUSA,CROISANT 60 GRAM,2,IDR 20000.00
GRAHA ELNUSA,AQUA 600ml,5,IDR 32500.00
GRAHA ELNUSA,yoritos,1,IDR 6000.00
GRAHA ELNUSA,WALLENS CHOCOSHOES,1,IDR 15000.00
GRAHA ELNUSA,SUKRO OVEN 25 GRAM,1,IDR 6000.00
GRAHA ELNUSA,Spix mi goreng,1,IDR 6500.00
