Vending Machine Name,Product,Qty Sold,Sales
HALIM,CROISANT 60 GRAM,13,IDR 91000.00
HALIM,fire crackers sambal mangga,8,IDR 40000.00
HALIM,Teh Pucuk 350ML,14,IDR 78000.00
HALIM,CIMORY MARIE REGAL,5,IDR 29500.00
HALIM,KRIZZI COKLAT,4,IDR 36000.00
HALIM,Beng Beng Maxx,38,IDR 231000.00
HALIM,Groovy coffee beer,6,IDR 66000.00
HALIM,FANTA KALENG 250ML,7,IDR 56000.00
HALIM,iyes mix,17,IDR 85000.00
HALIM,WALENS BLUEBERRY SOES,9,IDR 109000.00
HALIM,INACO MINI PUDDING,4,IDR 22500.00
HALIM,Piattos 35GRAM,4,IDR 28000.00
HALIM,KUSUKA KRIPIK EMPING,8,IDR 92000.00
HALIM,CIMORY COKLAT 250ML,11,IDR 79000.00
HALIM,KUSUKA AYAM MADU,29,IDR 171000.00
HALIM,POKKA LEMON TEA,6,IDR 48000.00
HALIM,SUKRO OVEN 25 GRAM,10,IDR 50000.00
HALIM,MIE SEDAP CUP GORENG,10,IDR 85000.00
HALIM,TEH SEJUK,8,IDR 50000.00
HALIM,POTABEE RUMPUT LAUT,5,IDR 30000.00
HALIM,Tik Tak Sapi Panggang 90 GRAM,4,IDR 28000.00
HALIM,Hydro Coco 250ML,10,IDR 94000.00
HALIM,YOU C1000 orange water 500ML,14,IDR 138000.00
HALIM,MIE SEDAP CUP KARI AYAM SPESIAL,7,IDR 49000.00
HALIM,MONDE SERENA SNACK 25 GRAM,4,IDR 21000.00
HALIM,POCARI SWEAT 350ML,9,IDR 87000.00
HALIM,TWISTKO,9,IDR 90000.00
HALIM,french fries 2000,7,IDR 47000.00
HALIM,Kacang Mayasi,4,IDR 20000.00
HALIM,Garuda kacang telur,7,IDR 77000.00
HALIM,mayasi paw,4,IDR 24000.00
HALIM,Spix mi goreng,25,IDR 155000.00
HALIM,MONDE EGG ROLL CHOCOLATE,16,IDR 96000.00
HALIM,Astor Double Coklat Kecil 40 GRAM,13,IDR 122000.00
HALIM,WALLENS CHOCOSHOES,2,IDR 26000.00
