Vending Machine Name,Product,Qty Sold,Sales
HONDA MT HARYONO,LE MINERALE 2,19,IDR 119500.00
HONDA MT HARYONO,CROISANT 60 GRAM,4,IDR 34000.00
HONDA MT HARYONO,Nescafe CappuccIno 240 ML,4,IDR 38400.00
HONDA MT HARYONO,LARUTAN CAP KAKI TIGA LECI,3,IDR 27000.00
HONDA MT HARYONO,GO POTATO,7,IDR 49000.00
HONDA MT HARYONO,KUSUKA AYAM MADU,6,IDR 27000.00
HONDA MT HARYONO,MIE SEDAP CUP GORENG,6,IDR 52000.00
HONDA MT HARYONO,YOU C1000 orange water 500ML,8,IDR 96000.00
HONDA MT HARYONO,POCARI SWEAT 350ML,5,IDR 44000.00
HONDA MT HARYONO,potato q rasa sosis meksiko,1,IDR 5000.00
HONDA MT HARYONO,CIMORY COKLAT 250ML,8,IDR 80000.00
HONDA MT HARYONO,MILO ORIGINAL 220ML,7,IDR 72800.00
HONDA MT HARYONO,SUKRO OVEN 25 GRAM,5,IDR 22000.00
HONDA MT HARYONO,CIMORY MARIE REGAL,2,IDR 18000.00
HONDA MT HARYONO,Mie Sedaap Soto,4,IDR 32000.00
HONDA MT HARYONO,Beng Beng Maxx,8,IDR 54000.00
HONDA MT HARYONO,Panda Grass Jely dan Selasih 350ML,3,IDR 27000.00
HONDA MT HARYONO,Teh Pucuk 350ML,10,IDR 59000.00
HONDA MT HARYONO,MILKU STRAWBERRY,1,IDR 5000.00
HONDA MT HARYONO,Hydro Coco 250ML,8,IDR 80000.00
HONDA MT HARYONO,POTAKREZ sapi panggang,3,IDR 15000.00
HONDA MT HARYONO,yoritos,5,IDR 30000.00
HONDA MT HARYONO,MIE SEDAAP SELECTION KOREAN SPICY,4,IDR 32000.00
HONDA MT HARYONO,MIE SEDAP CUP RAWIT BINGIT,4,IDR 32000.00
HONDA MT HARYONO,Pulpy Orange 300ML,8,IDR 56000.00
HONDA MT HARYONO,Kopiko Lucky Day 180 ML,4,IDR 36000.00
HONDA MT HARYONO,EGG ROLL STRAWBERRY,5,IDR 30000.00
HONDA MT HARYONO,CIMORY MATCHA,2,IDR 18000.00
HONDA MT HARYONO,CIMORY STRAWBERY 250ML,1,IDR 9000.00
HONDA MT HARYONO,FANTA KALENG 250ML,4,IDR 32000.00
HONDA MT HARYONO,MILKU COKLAT 200ML,1,IDR 5000.00
HONDA MT HARYONO,TEH SEJUK,2,IDR 14000.00
HONDA MT HARYONO,Spix mi goreng,1,IDR 6500.00
HONDA MT HARYONO,Nescafe Latte 240 ML,2,IDR 19200.00
HONDA MT HARYONO,MONDE SERENA SNACK 25 GRAM,1,IDR 6000.00
