Vending Machine Name,Product,Qty Sold,Sales
HOTEL 101,POCARI SWEAT KALENG/CAN 330ML,18,IDR 175000.00
HOTEL 101,KRIZZI COKLAT,5,IDR 45000.00
HOTEL 101,TEH SEJUK,8,IDR 48000.00
HOTEL 101,Hydro Coco 250ML,12,IDR 132000.00
HOTEL 101,KUSUKA AYAM MADU,10,IDR 55000.00
HOTEL 101,bro tatoz bbq korea,2,IDR 14000.00
HOTEL 101,CIMORY COKLAT 250ML,5,IDR 50000.00
HOTEL 101,french fries 2000,10,IDR 60000.00
HOTEL 101,Lasegar leci lemon,3,IDR 30000.00
HOTEL 101,CIMORY MARIE REGAL,6,IDR 54000.00
HOTEL 101,Go potato cheese,5,IDR 45000.00
HOTEL 101,QTELA TEMPE ORIGINAL,2,IDR 22000.00
HOTEL 101,MIE SEDAP CUP KARI AYAM SPESIAL,12,IDR 112000.00
HOTEL 101,Tik Tak Sapi Panggang 90 GRAM,2,IDR 16000.00
HOTEL 101,Beng Beng Maxx,19,IDR 110500.00
HOTEL 101,Kopiko Lucky Day 180 ML,7,IDR 64000.00
HOTEL 101,SUKRO OVEN 25 GRAM,6,IDR 28000.00
HOTEL 101,INACO MINI PUDDING,5,IDR 22500.00
HOTEL 101,MIE SEDAP CUP RAWIT BINGIT,12,IDR 114000.00
HOTEL 101,Kacang Mayasi,1,IDR 5000.00
HOTEL 101,CIMORY STRAWBERY 250ML,7,IDR 64000.00
HOTEL 101,Nescafe CappuccIno 240 ML,12,IDR 144000.00
HOTEL 101,MIE SEDAAP SELECTION KOREAN SPICY,12,IDR 115500.00
HOTEL 101,MIE SEDAP CUP GORENG,12,IDR 114000.00
HOTEL 101,Pulpy Orange 300ML,11,IDR 76000.00
HOTEL 101,MILKU COKLAT 200ML,1,IDR 6000.00
HOTEL 101,MILO ORIGINAL 220ML,11,IDR 143000.00
HOTEL 101,yoritos,4,IDR 24000.00
HOTEL 101,potato q rasa sosis meksiko,4,IDR 20000.00
HOTEL 101,YOU C1000 orange water 500ML,6,IDR 66000.00
HOTEL 101,Nescafe Latte 240 ML,7,IDR 84000.00
HOTEL 101,iyes mix,4,IDR 24000.00
HOTEL 101,Spix mi goreng,9,IDR 57000.00
HOTEL 101,MONDE SERENA SNACK 25 GRAM,8,IDR 48000.00
HOTEL 101,SUNKIST LEMON C,5,IDR 35000.00
HOTEL 101,Tic tic rasa bawang asli,1,IDR 10000.00
HOTEL 101,CROISANT 60 GRAM,7,IDR 63000.00
HOTEL 101,Teh Pucuk 350ML,3,IDR 21000.00
HOTEL 101,Tik Tak Original 90 GRAM,1,IDR 10000.00
HOTEL 101,TWISTKO,2,IDR 20000.00
HOTEL 101,WALENS BLUEBERRY SOES,1,IDR 15000.00
HOTEL 101,PANDA CINCAU JELLY,3,IDR 30000.00
