Vending Machine Name,Product,Qty Sold,Sales
HOTEL HERMITAGE,EGG ROLL CHEESE,3,IDR 21000.00
HOTEL HERMITAGE,POKKA LYCHEE TEA,19,IDR 154000.00
HOTEL HERMITAGE,INACO COCO MELON,4,IDR 48000.00
HOTEL HERMITAGE,Pulpy Orange 300ML,5,IDR 35000.00
HOTEL HERMITAGE,Go potato cheese,1,IDR 9000.00
HOTEL HERMITAGE,Hydro Coco 250ML,6,IDR 48000.00
HOTEL HERMITAGE,Teh Pucuk 350ML,26,IDR 166000.00
HOTEL HERMITAGE,POKKA LEMON TEA,11,IDR 88000.00
HOTEL HERMITAGE,Piattos rasa sapi panggang,3,IDR 27000.00
HOTEL HERMITAGE,WALLENS CHOCOSHOES,6,IDR 80000.00
HOTEL HERMITAGE,MIE SEDAP CUP KARI AYAM SPESIAL,8,IDR 80000.00
HOTEL HERMITAGE,CROISANT 60 GRAM,9,IDR 85000.00
HOTEL HERMITAGE,TEH SEJUK,9,IDR 54000.00
HOTEL HERMITAGE,MILO ORIGINAL 220ML,13,IDR 195000.00
HOTEL HERMITAGE,Kopiko Lucky Day 180 ML,10,IDR 100000.00
HOTEL HERMITAGE,yeos minuman sari kedelai,11,IDR 121000.00
HOTEL HERMITAGE,CIMORY COKLAT 250ML,9,IDR 95000.00
HOTEL HERMITAGE,INACO MINI PUDDING,1,IDR 5000.00
HOTEL HERMITAGE,Lasegar leci lemon,2,IDR 20000.00
HOTEL HERMITAGE,Beng Beng Maxx,18,IDR 126000.00
HOTEL HERMITAGE,POTATO CHIP  50G,3,IDR 50000.00
HOTEL HERMITAGE,WALENS BLUEBERRY SOES,2,IDR 30000.00
HOTEL HERMITAGE,MONDE EGG ROLL CHOCOLATE,5,IDR 29000.00
HOTEL HERMITAGE,Nescafe Latte 240 ML,9,IDR 117000.00
HOTEL HERMITAGE,MIE SEDAAP SELECTION KOREAN SPICY,7,IDR 70000.00
HOTEL HERMITAGE,AW 250ML,10,IDR 100000.00
HOTEL HERMITAGE,EGG ROLL STRAWBERRY,5,IDR 35000.00
HOTEL HERMITAGE,MONDE SERENA SNACK 25 GRAM,5,IDR 30000.00
HOTEL HERMITAGE,PRINGLES ORIGINAL,1,IDR 20000.00
HOTEL HERMITAGE,PANDA CINCAU JELLY,1,IDR 10000.00
