Vending Machine Name,Product,Qty Sold,Sales
HOTEL HILTON,MIE SEDAP CUP RAWIT BINGIT,12,IDR 112000.00
HOTEL HILTON,Kopiko Lucky Day 180 ML,34,IDR 306000.00
HOTEL HILTON,CROISANT 60 GRAM,8,IDR 75000.00
HOTEL HILTON,Hydro Coco 250ML,12,IDR 130000.00
HOTEL HILTON,Coca cola kaleng 250ml,2,IDR 17000.00
HOTEL HILTON,INACO IM COCO LECI,4,IDR 40000.00
HOTEL HILTON,POKKA LYCHEE TEA,7,IDR 63000.00
HOTEL HILTON,Sedap selection cup,9,IDR 86000.00
HOTEL HILTON,Mie Sedaap Soto,11,IDR 104000.00
HOTEL HILTON,Nescafe CappuccIno 240 ML,3,IDR 36000.00
HOTEL HILTON,MIE SEDAP CUP GORENG,11,IDR 110000.00
HOTEL HILTON,Beng Beng Maxx,10,IDR 64000.00
HOTEL HILTON,KRIZZI COKLAT,2,IDR 18000.00
HOTEL HILTON,TEH SEJUK,14,IDR 92500.00
HOTEL HILTON,Spix mi goreng,8,IDR 48500.00
HOTEL HILTON,potato q rasa sosis meksiko,2,IDR 12000.00
HOTEL HILTON,POKKA LEMON TEA,4,IDR 36000.00
HOTEL HILTON,mayasi paw,1,IDR 6000.00
HOTEL HILTON,TWISTKO,2,IDR 20000.00
HOTEL HILTON,Pulpy Orange 300ML,6,IDR 44000.00
HOTEL HILTON,Lasegar leci lemon,2,IDR 20000.00
HOTEL HILTON,Nescafe Latte 240 ML,10,IDR 120000.00
HOTEL HILTON,LASEGAR LEMON,2,IDR 18000.00
HOTEL HILTON,SPRITE KALENG 250ML,4,IDR 32000.00
HOTEL HILTON,french fries 2000,1,IDR 7000.00
HOTEL HILTON,EGG ROLL STRAWBERRY,1,IDR 7000.00
HOTEL HILTON,POCARI SWEAT KALENG/CAN 330ML,4,IDR 40000.00
HOTEL HILTON,SUKRO OVEN 25 GRAM,4,IDR 24000.00
HOTEL HILTON,Astor Double Coklat Kecil 40 GRAM,2,IDR 20000.00
HOTEL HILTON,MILO ORIGINAL 220ML,21,IDR 309000.00
HOTEL HILTON,CIMORY COKLAT 250ML,20,IDR 201000.00
HOTEL HILTON,Le Mineral 600ML,26,IDR 171000.00
HOTEL HILTON,MILKU STRAWBERRY,5,IDR 29000.00
HOTEL HILTON,MILKU COKLAT 200ML,1,IDR 5000.00
HOTEL HILTON,WALLENS CHOCOSHOES,9,IDR 135000.00
HOTEL HILTON,YOU C1000 orange water 500ML,16,IDR 196000.00
HOTEL HILTON,MONDE SERENA SNACK 25 GRAM,6,IDR 36000.00
HOTEL HILTON,LARUTAN CAP KAKI TIGA LECI,8,IDR 70000.00
HOTEL HILTON,CIMORY MATCHA,4,IDR 32000.00
HOTEL HILTON,EGG ROLL CHEESE,6,IDR 44000.00
HOTEL HILTON,CIMORY STRAWBERY 250ML,4,IDR 32000.00
HOTEL HILTON,Teh Pucuk 350ML,23,IDR 152500.00
HOTEL HILTON,CIMORY MARIE REGAL,7,IDR 64000.00
HOTEL HILTON,LARUTAN CAP KAKI TIGA JAMBU BIJI,3,IDR 24000.00
HOTEL HILTON,AW 250ML,5,IDR 49000.00
HOTEL HILTON,FANTA KALENG 250ML,5,IDR 45000.00
HOTEL HILTON,sunkist water orange,3,IDR 27000.00
HOTEL HILTON,WALENS BLUEBERRY SOES,1,IDR 15000.00
HOTEL HILTON,POCARI SWEAT 350ML,15,IDR 134000.00
