Vending Machine Name,Product,Qty Sold,Sales
HOTEL KEMPINSKI 1,CIMORY MATCHA,5,IDR 46000.00
HOTEL KEMPINSKI 1,MILO ORIGINAL 220ML,7,IDR 105000.00
HOTEL KEMPINSKI 1,CIMORY COKLAT 250ML,9,IDR 83000.00
HOTEL KEMPINSKI 1,MONDE SERENA SNACK 25 GRAM,4,IDR 23000.00
HOTEL KEMPINSKI 1,Le Mineral 600ML,21,IDR 135000.00
HOTEL KEMPINSKI 1,Pulpy Orange 300ML,8,IDR 48000.00
HOTEL KEMPINSKI 1,Beng Beng Maxx,4,IDR 28000.00
HOTEL KEMPINSKI 1,AW 250ML,8,IDR 78000.00
HOTEL KEMPINSKI 1,Coca cola kaleng 250ml,6,IDR 48000.00
HOTEL KEMPINSKI 1,MILKU STRAWBERRY,6,IDR 34000.00
HOTEL KEMPINSKI 1,MIE SEDAP CUP RAWIT BINGIT,2,IDR 18000.00
HOTEL KEMPINSKI 1,YOU C1000 orange water 500ML,6,IDR 75000.00
HOTEL KEMPINSKI 1,KRIZZI COKLAT,10,IDR 80000.00
HOTEL KEMPINSKI 1,CHIKI twist ayam panggang,4,IDR 36000.00
HOTEL KEMPINSKI 1,Hydro Coco 250ML,6,IDR 60000.10
HOTEL KEMPINSKI 1,Mie Sedaap Soto,5,IDR 44000.00
HOTEL KEMPINSKI 1,POKKA LYCHEE TEA,5,IDR 45000.00
HOTEL KEMPINSKI 1,EGG ROLL STRAWBERRY,2,IDR 14000.00
HOTEL KEMPINSKI 1,POCARI SWEAT 350ML,15,IDR 144000.00
HOTEL KEMPINSKI 1,NESCAFE ICE BLACK,7,IDR 89000.00
HOTEL KEMPINSKI 1,potato q korean bbq,1,IDR 6000.00
HOTEL KEMPINSKI 1,MIE SEDAP CUP KARI AYAM SPESIAL,2,IDR 20000.00
HOTEL KEMPINSKI 1,TWISTKO,3,IDR 24000.00
HOTEL KEMPINSKI 1,SPRITE KALENG 250ML,2,IDR 16000.00
HOTEL KEMPINSKI 1,MILKU COKLAT 200ML,4,IDR 24000.00
HOTEL KEMPINSKI 1,Lasegar leci lemon,10,IDR 80000.00
HOTEL KEMPINSKI 1,INACO MINI PUDDING,2,IDR 10000.00
HOTEL KEMPINSKI 1,Nescafe Latte 240 ML,8,IDR 96000.00
HOTEL KEMPINSKI 1,Teh Pucuk 350ML,5,IDR 33000.00
HOTEL KEMPINSKI 1,bro tatoz rasa rumput laut,2,IDR 14000.00
HOTEL KEMPINSKI 1,POTATO CHIP  50G,1,IDR 20000.00
HOTEL KEMPINSKI 1,yoritos,1,IDR 6000.00
HOTEL KEMPINSKI 1,POKKA LEMON TEA,3,IDR 27000.00
HOTEL KEMPINSKI 1,CIMORY MARIE REGAL,1,IDR 10000.00
HOTEL KEMPINSKI 1,caffino,2,IDR 18000.00
HOTEL KEMPINSKI 1,TEH SEJUK,1,IDR 7000.00
