Vending Machine Name,Product,Qty Sold,Sales
HOTEL MERCURE,Teh Pucuk 350ML,83,IDR 546000.00
HOTEL MERCURE,Piattos 35GRAM,5,IDR 35000.00
HOTEL MERCURE,Kopiko Lucky Day 180 ML,42,IDR 420000.00
HOTEL MERCURE,MILO ORIGINAL 220ML,54,IDR 800000.00
HOTEL MERCURE,Beng Beng Maxx,27,IDR 176000.00
HOTEL MERCURE,Go potato cheese,8,IDR 72000.00
HOTEL MERCURE,Nextar,13,IDR 130000.00
HOTEL MERCURE,iyes mix,4,IDR 24000.00
HOTEL MERCURE,Pop Mie Gledek,35,IDR 345500.00
HOTEL MERCURE,POCARI SWEAT 350ML,59,IDR 550000.00
HOTEL MERCURE,YOU C1000 orange water 500ML,43,IDR 569000.00
HOTEL MERCURE,CIMORY MARIE REGAL,44,IDR 436000.00
HOTEL MERCURE,LARUTAN CAP KAKI TIGA LECI,30,IDR 289000.00
HOTEL MERCURE,CROISANT 60 GRAM,11,IDR 102000.00
HOTEL MERCURE,POKKA LYCHEE TEA,39,IDR 387000.00
HOTEL MERCURE,Hydro Coco 250ML,35,IDR 350000.00
HOTEL MERCURE,CIMORY COKLAT 250ML,51,IDR 537000.00
HOTEL MERCURE,POKKA LEMON TEA,15,IDR 149000.00
HOTEL MERCURE,KUSUKA AYAM MADU,17,IDR 100000.00
HOTEL MERCURE,KRIZZI COKLAT,21,IDR 184000.00
HOTEL MERCURE,Astor Double Coklat Kecil 40 GRAM,7,IDR 62000.00
HOTEL MERCURE,Nescafe CappuccIno 240 ML,11,IDR 132000.00
HOTEL MERCURE,pop mie tori miso,45,IDR 450000.00
HOTEL MERCURE,Nescafe Latte 240 ML,31,IDR 372000.00
HOTEL MERCURE,MONDE EGG ROLL CHOCOLATE,13,IDR 91000.00
HOTEL MERCURE,MONDE SERENA SNACK 25 GRAM,10,IDR 60000.00
HOTEL MERCURE,WALENS BLUEBERRY SOES,2,IDR 30000.00
HOTEL MERCURE,TWISTKO,11,IDR 99000.00
HOTEL MERCURE,NESCAFE ICE BLACK,13,IDR 166000.00
HOTEL MERCURE,WALLENS CHOCOSHOES,8,IDR 120000.00
HOTEL MERCURE,Pulpy Orange 300ML,23,IDR 161000.00
HOTEL MERCURE,FANTA KALENG 250ML,6,IDR 54000.00
HOTEL MERCURE,Spix mi goreng,12,IDR 75500.00
HOTEL MERCURE,TEH SEJUK,11,IDR 72000.00
HOTEL MERCURE,MIE SEDAP CUP KARI AYAM SPESIAL,13,IDR 130000.00
HOTEL MERCURE,PANDA CINCAU JELLY,7,IDR 70000.00
HOTEL MERCURE,black thunder,3,IDR 18000.00
HOTEL MERCURE,silverqueen bites 30 g,4,IDR 80000.00
HOTEL MERCURE,kinder bueno 43 g,2,IDR 40000.00
HOTEL MERCURE,caffino,5,IDR 45000.00
HOTEL MERCURE,milo nuggets 25 g,1,IDR 20000.00
HOTEL MERCURE,CIMORY STRAWBERY 250ML,7,IDR 77000.00
HOTEL MERCURE,pringles original 42g,2,IDR 40000.00
