Vending Machine Name,Product,Qty Sold,Sales
HOTEL PARK HYATT,CIMORY ALMOND,6,IDR 60000.00
HOTEL PARK HYATT,Nescafe CappuccIno 240 ML,9,IDR 135000.00
HOTEL PARK HYATT,POKKA LYCHEE TEA,13,IDR 126000.00
HOTEL PARK HYATT,potato q rasa sosis meksiko,2,IDR 10000.00
HOTEL PARK HYATT,yoritos,13,IDR 79000.00
HOTEL PARK HYATT,Piattos 35GRAM,5,IDR 35000.00
HOTEL PARK HYATT,POTAKREZ sapi panggang,8,IDR 40000.00
HOTEL PARK HYATT,YOU C1000 orange water 500ML,43,IDR 539000.00
HOTEL PARK HYATT,POKKA LEMON TEA,4,IDR 38000.00
HOTEL PARK HYATT,SUKRO OVEN 25 GRAM,35,IDR 195000.00
HOTEL PARK HYATT,CIMORY MARIE REGAL,19,IDR 190000.00
HOTEL PARK HYATT,Beng Beng Maxx,91,IDR 625000.00
HOTEL PARK HYATT,Coca cola kaleng 250ml,17,IDR 119000.00
HOTEL PARK HYATT,Teh Pucuk 350ML,35,IDR 232500.00
HOTEL PARK HYATT,MIE SEDAP CUP RAWIT BINGIT,21,IDR 210000.00
HOTEL PARK HYATT,CIMORY COKLAT 250ML,35,IDR 369000.00
HOTEL PARK HYATT,Mie Sedaap Soto,18,IDR 180000.00
HOTEL PARK HYATT,Tik Tak Sapi Panggang 90 GRAM,3,IDR 30000.00
HOTEL PARK HYATT,Groovy coffee beer,11,IDR 121000.00
HOTEL PARK HYATT,Nescafe Latte 240 ML,24,IDR 326000.00
HOTEL PARK HYATT,Kopiko Lucky Day 180 ML,48,IDR 415000.00
HOTEL PARK HYATT,mayasi paw,8,IDR 48000.00
HOTEL PARK HYATT,french fries 2000,13,IDR 78500.00
HOTEL PARK HYATT,MIE SEDAP CUP GORENG,21,IDR 210000.00
HOTEL PARK HYATT,MIE SEDAP CUP KARI AYAM SPESIAL,21,IDR 210000.00
HOTEL PARK HYATT,POCARI SWEAT 350ML,13,IDR 122000.00
HOTEL PARK HYATT,Go potato cheese,32,IDR 312000.00
HOTEL PARK HYATT,Tik Tak Original 90 GRAM,6,IDR 60000.00
HOTEL PARK HYATT,bro tatoz rasa rumput laut,3,IDR 21000.00
HOTEL PARK HYATT,Kacang Mayasi,7,IDR 41000.00
HOTEL PARK HYATT,LARUTAN CAP KAKI TIGA LECI,11,IDR 110000.00
HOTEL PARK HYATT,AW 250ML,8,IDR 80000.00
HOTEL PARK HYATT,TWISTKO,5,IDR 50000.00
HOTEL PARK HYATT,Spix mi goreng,30,IDR 184000.00
HOTEL PARK HYATT,Tic tic rasa bawang asli,4,IDR 32000.00
HOTEL PARK HYATT,MONDE SERENA SNACK 25 GRAM,31,IDR 186000.00
HOTEL PARK HYATT,FANTA KALENG 250ML,8,IDR 66000.00
HOTEL PARK HYATT,TEH SEJUK,18,IDR 113000.00
HOTEL PARK HYATT,KUSUKA AYAM MADU,19,IDR 121000.00
HOTEL PARK HYATT,EGG ROLL STRAWBERRY,14,IDR 98000.00
HOTEL PARK HYATT,WALENS BLUEBERRY SOES,9,IDR 135000.00
HOTEL PARK HYATT,CIMORY STRAWBERY 250ML,4,IDR 44000.00
HOTEL PARK HYATT,NESCAFE ICE BLACK,8,IDR 104000.00
HOTEL PARK HYATT,Hydro Coco 250ML,3,IDR 36000.00
HOTEL PARK HYATT,CROISANT 60 GRAM,7,IDR 70000.00
HOTEL PARK HYATT,KRIZZI COKLAT,12,IDR 108000.00
HOTEL PARK HYATT,MAXTEA MILKTEA,1,IDR 8500.00
HOTEL PARK HYATT,Pejoy stik coklat,2,IDR 22000.00
HOTEL PARK HYATT,black thunder,5,IDR 30000.00
HOTEL PARK HYATT,Astor Double Coklat Kecil 40 GRAM,9,IDR 90000.00
HOTEL PARK HYATT,POTABEE BARBEQUE 35gr,5,IDR 40000.00
HOTEL PARK HYATT,pringles original 42g,5,IDR 100000.00
HOTEL PARK HYATT,silverqueen bites 30 g,1,IDR 20000.00
HOTEL PARK HYATT,kinder bueno 43 g,7,IDR 140000.00
HOTEL PARK HYATT,milo nuggets 25 g,3,IDR 60000.00
HOTEL PARK HYATT,PANDA CINCAU JELLY,1,IDR 10000.00
HOTEL PARK HYATT,caffino,3,IDR 24000.00
HOTEL PARK HYATT,WALLENS CHOCOSHOES,7,IDR 105000.00
