Vending Machine Name,Product,Qty Sold,Sales
HOTEL WYNDHAM,Mie Sedaap Soto,6,IDR 56000.00
HOTEL WYNDHAM,WALLENS CHOCOSHOES,10,IDR 138000.00
HOTEL WYNDHAM,WALENS BLUEBERRY SOES,5,IDR 75000.00
HOTEL WYNDHAM,NESCAFE ICE BLACK,8,IDR 98600.00
HOTEL WYNDHAM,TEH SEJUK,7,IDR 42000.00
HOTEL WYNDHAM,YOU C1000 orange water 500ML,5,IDR 55200.00
HOTEL WYNDHAM,POTABEE AYAM BAKAR,5,IDR 40000.00
HOTEL WYNDHAM,MIE SEDAP CUP GORENG,6,IDR 56000.00
HOTEL WYNDHAM,Nescafe CappuccIno 240 ML,13,IDR 162200.00
HOTEL WYNDHAM,Tik Tak Sapi Panggang 90 GRAM,3,IDR 24000.00
HOTEL WYNDHAM,MONDE EGG ROLL CHOCOLATE,3,IDR 21000.00
HOTEL WYNDHAM,french fries 2000,6,IDR 34000.00
HOTEL WYNDHAM,fire crackers sambal mangga,4,IDR 20000.00
HOTEL WYNDHAM,CHIKI twist ayam panggang,2,IDR 18000.00
HOTEL WYNDHAM,CIMORY MATCHA,6,IDR 58000.00
HOTEL WYNDHAM,Spix mi goreng,14,IDR 97000.00
HOTEL WYNDHAM,KUSUKA AYAM MADU,2,IDR 11000.00
HOTEL WYNDHAM,AW 250ML,5,IDR 49000.00
HOTEL WYNDHAM,TWISTKO,6,IDR 48000.00
HOTEL WYNDHAM,POCARI SWEAT 350ML,5,IDR 47000.00
HOTEL WYNDHAM,yoritos,2,IDR 12000.00
HOTEL WYNDHAM,Kopiko Lucky Day 180 ML,7,IDR 56000.00
HOTEL WYNDHAM,CIMORY ALMOND,3,IDR 30000.00
HOTEL WYNDHAM,MILKU STRAWBERRY,2,IDR 11000.00
HOTEL WYNDHAM,Kacang Mayasi,3,IDR 15000.00
HOTEL WYNDHAM,SUKRO OVEN 25 GRAM,4,IDR 21000.00
HOTEL WYNDHAM,CIMORY COKLAT 250ML,4,IDR 43000.00
HOTEL WYNDHAM,EGG ROLL STRAWBERRY,1,IDR 7000.00
HOTEL WYNDHAM,Hydro Coco 250ML,4,IDR 40000.00
HOTEL WYNDHAM,MIE SEDAP CUP RAWIT BINGIT,7,IDR 70000.00
HOTEL WYNDHAM,SPRITE KALENG 250ML,3,IDR 24000.00
HOTEL WYNDHAM,MIE SEDAAP SELECTION KOREAN SPICY,6,IDR 60000.00
HOTEL WYNDHAM,Tic tic rasa bawang asli,4,IDR 32000.00
HOTEL WYNDHAM,MILKU COKLAT 200ML,5,IDR 25000.00
HOTEL WYNDHAM,CROISANT 60 GRAM,6,IDR 54000.00
HOTEL WYNDHAM,YOUVIT KAFE G,1,IDR 15000.00
HOTEL WYNDHAM,bro tatoz bbq korea,1,IDR 7000.00
HOTEL WYNDHAM,Tik Tak Original 90 GRAM,1,IDR 8000.00
HOTEL WYNDHAM,LE MINERALE 2,1,IDR 7000.00
HOTEL WYNDHAM,MILO ORIGINAL 220ML,6,IDR 90000.00
HOTEL WYNDHAM,Teh Pucuk 350ML,3,IDR 21000.00
HOTEL WYNDHAM,Astor Double Coklat Kecil 40 GRAM,3,IDR 28000.00
HOTEL WYNDHAM,MONDE SERENA SNACK 25 GRAM,1,IDR 6000.00
HOTEL WYNDHAM,bro tatoz rendang sapi,1,IDR 7000.00
