Vending Machine Name,Product,Qty Sold,Sales
INDOCEMENT 5,TWISTKO,3,IDR 27000.00
INDOCEMENT 5,EGG ROLL CHEESE,4,IDR 28000.00
INDOCEMENT 5,CIMORY COKLAT 250ML,5,IDR 35000.00
INDOCEMENT 5,sunkist water orange,6,IDR 51000.00
INDOCEMENT 5,SUNKIST LEMON C,4,IDR 32000.00
INDOCEMENT 5,LARUTAN CAP KAKI TIGA LECI,4,IDR 32000.00
INDOCEMENT 5,CIMORY MARIE REGAL,5,IDR 35000.00
INDOCEMENT 5,Mie Sedaap Soto,2,IDR 16000.00
INDOCEMENT 5,YOU C1000 orange water 500ML,5,IDR 54000.00
INDOCEMENT 5,CIMORY STRAWBERY 250ML,1,IDR 7000.00
INDOCEMENT 5,CIMORY MATCHA,1,IDR 7000.00
INDOCEMENT 5,MONDE PIE MINI,3,IDR 30000.00
INDOCEMENT 5,Teh Pucuk 350ML,8,IDR 48000.00
INDOCEMENT 5,POKKA LEMON TEA,3,IDR 24000.00
INDOCEMENT 5,Coca cola kaleng 250ml,3,IDR 24000.00
INDOCEMENT 5,yoritos,2,IDR 12000.00
INDOCEMENT 5,Spix mi goreng,5,IDR 30500.00
INDOCEMENT 5,potato q korean bbq,2,IDR 10000.00
INDOCEMENT 5,MIE SEDAP CUP RAWIT BINGIT,3,IDR 24000.00
INDOCEMENT 5,MIE SEDAAP SELECTION KOREAN SPICY,1,IDR 7000.00
INDOCEMENT 5,POTABEE BARBEQUE 35gr,1,IDR 8000.00
INDOCEMENT 5,EGG ROLL STRAWBERRY,2,IDR 10000.00
INDOCEMENT 5,MIE SEDAP CUP GORENG,1,IDR 7000.00
INDOCEMENT 5,AW 250ML,3,IDR 24000.00
INDOCEMENT 5,JAPOTA SEAWEED,1,IDR 7000.00
INDOCEMENT 5,Kacang Mayasi,3,IDR 18000.00
INDOCEMENT 5,Kopiko Lucky Day 180 ML,2,IDR 14000.00
INDOCEMENT 5,Beng Beng Maxx,2,IDR 14000.00
INDOCEMENT 5,Hydro Coco 250ML,2,IDR 20000.00
INDOCEMENT 5,WALLENS CHOCOSHOES,4,IDR 60000.00
INDOCEMENT 5,WALENS BLUEBERRY SOES,1,IDR 15000.00
INDOCEMENT 5,CROISANT 60 GRAM,1,IDR 9000.00
INDOCEMENT 5,MONDE EGG ROLL CHOCOLATE,1,IDR 7000.00
INDOCEMENT 5,SUKRO OVEN 25 GRAM,1,IDR 6000.00
