Vending Machine Name,Product,Qty Sold,Sales
INDOCEMENT,POCARI SWEAT 350ML,18,IDR 153000.00
INDOCEMENT,KUSUKA AYAM MADU,6,IDR 28000.00
INDOCEMENT,LARUTAN CAP KAKI TIGA LECI,2,IDR 16000.00
INDOCEMENT,Beng Beng Maxx,12,IDR 63000.00
INDOCEMENT,YOU C1000 orange water 500ML,15,IDR 168000.00
INDOCEMENT,POKKA LEMON TEA,5,IDR 45000.00
INDOCEMENT,Tik Tak Sapi Panggang 90 GRAM,4,IDR 32000.00
INDOCEMENT,Nescafe CappuccIno 240 ML,4,IDR 36000.00
INDOCEMENT,CIMORY ALMOND,4,IDR 28000.00
INDOCEMENT,MONDE EGG ROLL CHOCOLATE,2,IDR 10000.00
INDOCEMENT,POTABEE AYAM BAKAR,2,IDR 16000.00
INDOCEMENT,MIE SEDAP CUP RAWIT BINGIT,3,IDR 22000.00
INDOCEMENT,POTABEE BARBEQUE 35gr,2,IDR 14000.00
INDOCEMENT,Nescafe Latte 240 ML,3,IDR 30000.00
INDOCEMENT,NESCAFE ICE BLACK,1,IDR 10000.00
INDOCEMENT,LARUTAN CAP KAKI TIGA JAMBU BIJI,5,IDR 40000.00
INDOCEMENT,Teh Pucuk 350ML,7,IDR 48000.00
INDOCEMENT,Kopiko Lucky Day 180 ML,2,IDR 20000.00
INDOCEMENT,Hydro Coco 250ML,5,IDR 50000.00
INDOCEMENT,Le Mineral 600ML,3,IDR 20000.00
INDOCEMENT,CIMORY COKLAT 250ML,2,IDR 16000.00
INDOCEMENT,Tik Tak Original 90 GRAM,1,IDR 8000.00
INDOCEMENT,AW 250ML,3,IDR 30000.00
INDOCEMENT,CIMORY MARIE REGAL,2,IDR 16000.00
INDOCEMENT,KRIZZI COKLAT,2,IDR 16000.00
INDOCEMENT,Astor Double Coklat Kecil 40 GRAM,1,IDR 10000.00
INDOCEMENT,MILO ORIGINAL 220ML,2,IDR 30000.00
