Vending Machine Name,Product,Qty Sold,Sales
JHL SOLITAIRE,CIMORY COKLAT 250ML,7,IDR 74000.00
JHL SOLITAIRE,SPRITE 250ML CAN,8,IDR 76000.00
JHL SOLITAIRE,CIMORY STRAWBERY 250ML,10,IDR 94000.00
JHL SOLITAIRE,Tik Tak Original 90 GRAM,1,IDR 8000.00
JHL SOLITAIRE,sunkist water orange,7,IDR 61500.00
JHL SOLITAIRE,AW 250ML,4,IDR 39000.00
JHL SOLITAIRE,Teh Pucuk 350ML,19,IDR 126500.00
JHL SOLITAIRE,YOU C1000 orange water 500ML,6,IDR 72000.00
JHL SOLITAIRE,AQUA 600ml,3,IDR 21000.00
JHL SOLITAIRE,KRIZZI COKLAT,1,IDR 8000.00
JHL SOLITAIRE,Coca cola kaleng 250ml,2,IDR 18000.00
JHL SOLITAIRE,Beng Beng Maxx,10,IDR 67000.00
JHL SOLITAIRE,MILKU COKLAT 200ML,1,IDR 5000.00
JHL SOLITAIRE,MIE SEDAP CUP RAWIT BINGIT,9,IDR 93000.00
JHL SOLITAIRE,SUNKIST LEMON C,4,IDR 32000.00
JHL SOLITAIRE,mayasi paw,5,IDR 30000.00
JHL SOLITAIRE,MIE SEDAAP SELECTION KOREAN SPICY,9,IDR 91000.00
JHL SOLITAIRE,MIE SEDAP CUP GORENG,8,IDR 82000.00
JHL SOLITAIRE,CIMORY ALMOND,7,IDR 66000.00
JHL SOLITAIRE,Nescafe CappuccIno 240 ML,6,IDR 71000.00
JHL SOLITAIRE,CIMORY MATCHA,5,IDR 48000.00
JHL SOLITAIRE,Le Mineral 600ML,15,IDR 98500.00
JHL SOLITAIRE,MILKU STRAWBERRY,6,IDR 32000.00
JHL SOLITAIRE,MONDE SERENA SNACK 25 GRAM,9,IDR 54000.00
JHL SOLITAIRE,MILO ORIGINAL 220ML,10,IDR 145000.00
JHL SOLITAIRE,Pulpy Orange 300ML,3,IDR 24000.00
JHL SOLITAIRE,Mie Sedaap Soto,12,IDR 128000.00
JHL SOLITAIRE,NESCAFE ICE BLACK,15,IDR 189000.00
JHL SOLITAIRE,KUSUKA AYAM MADU,7,IDR 45000.00
JHL SOLITAIRE,TEH SEJUK,2,IDR 12000.00
JHL SOLITAIRE,Lasegar leci lemon,1,IDR 10000.00
JHL SOLITAIRE,POCARI SWEAT 350ML,11,IDR 108000.00
JHL SOLITAIRE,Hydro Coco 250ML,6,IDR 70000.00
JHL SOLITAIRE,Tik Tak Sapi Panggang 90 GRAM,8,IDR 78000.00
JHL SOLITAIRE,INACO MINI JELLY AND PUDDING,4,IDR 36000.00
JHL SOLITAIRE,Spix mi goreng,5,IDR 30500.00
JHL SOLITAIRE,CIMORY MARIE REGAL,14,IDR 140000.00
JHL SOLITAIRE,LASEGAR LEMON,1,IDR 10000.00
JHL SOLITAIRE,FANTA KALENG 250ML,7,IDR 70000.00
JHL SOLITAIRE,EGG ROLL STRAWBERRY,3,IDR 21000.00
JHL SOLITAIRE,yoritos,2,IDR 12000.00
JHL SOLITAIRE,Nescafe Latte 240 ML,20,IDR 240000.00
JHL SOLITAIRE,POKKA LYCHEE TEA,7,IDR 58000.00
JHL SOLITAIRE,caffino,9,IDR 72000.00
JHL SOLITAIRE,CROISANT 60 GRAM,3,IDR 24000.00
JHL SOLITAIRE,INACO MINI PUDDING,1,IDR 6500.00
JHL SOLITAIRE,TWISTKO,1,IDR 10000.00
JHL SOLITAIRE,PANDA CINCAU JELLY,3,IDR 30000.00
JHL SOLITAIRE,POKKA LEMON TEA,2,IDR 18000.00
JHL SOLITAIRE,french fries 2000,1,IDR 7000.00
JHL SOLITAIRE,PRINGLES ORIGINAL,2,IDR 40000.00
JHL SOLITAIRE,milo nuggets 25 g,1,IDR 20000.00
