Vending Machine Name,Product,Qty Sold,Sales
KENGSINGTON OFFICE TOWER,CIMORY MARIE REGAL,7,IDR 70000.00
KENGSINGTON OFFICE TOWER,WALENS BLUEBERRY SOES,8,IDR 120000.00
KENGSINGTON OFFICE TOWER,INACO MINI JELLY AND PUDDING,2,IDR 16000.00
KENGSINGTON OFFICE TOWER,Beng Beng Maxx,9,IDR 64000.00
KENGSINGTON OFFICE TOWER,SUNKIST LEMON C,5,IDR 35000.00
KENGSINGTON OFFICE TOWER,MIE SEDAAP SELECTION KOREAN SPICY,8,IDR 74000.00
KENGSINGTON OFFICE TOWER,CIMORY MATCHA,7,IDR 70000.00
KENGSINGTON OFFICE TOWER,yeos minuman sari kedelai,8,IDR 88000.00
KENGSINGTON OFFICE TOWER,Hydro Coco 250ML,23,IDR 260000.00
KENGSINGTON OFFICE TOWER,CIMORY COKLAT 250ML,17,IDR 181000.00
KENGSINGTON OFFICE TOWER,Teh Pucuk 350ML,9,IDR 60000.00
KENGSINGTON OFFICE TOWER,Pulpy Orange 300ML,10,IDR 72000.00
KENGSINGTON OFFICE TOWER,CIMORY STRAWBERY 250ML,13,IDR 130000.00
KENGSINGTON OFFICE TOWER,KUSUKA AYAM MADU,8,IDR 50000.00
KENGSINGTON OFFICE TOWER,NESCAFE ICE BLACK,10,IDR 125000.00
KENGSINGTON OFFICE TOWER,french fries 2000,5,IDR 30500.00
KENGSINGTON OFFICE TOWER,POTATO CHIP  50G,7,IDR 132000.00
KENGSINGTON OFFICE TOWER,AW 250ML,7,IDR 65000.00
KENGSINGTON OFFICE TOWER,Nescafe CappuccIno 240 ML,6,IDR 84000.00
KENGSINGTON OFFICE TOWER,Le Mineral 600ML,37,IDR 239000.00
KENGSINGTON OFFICE TOWER,MIE SEDAP CUP KARI AYAM SPESIAL,8,IDR 72000.00
KENGSINGTON OFFICE TOWER,MIE SEDAP CUP GORENG,8,IDR 74000.00
KENGSINGTON OFFICE TOWER,fire crackers,2,IDR 12000.00
KENGSINGTON OFFICE TOWER,CROISANT 60 GRAM,7,IDR 61000.00
KENGSINGTON OFFICE TOWER,TEH SEJUK,24,IDR 144000.00
KENGSINGTON OFFICE TOWER,Tik Tak Sapi Panggang 90 GRAM,5,IDR 44000.00
KENGSINGTON OFFICE TOWER,potato q rasa sosis meksiko,5,IDR 25000.00
KENGSINGTON OFFICE TOWER,POTAKREZ sapi panggang,4,IDR 23000.00
KENGSINGTON OFFICE TOWER,MILO ORIGINAL 220ML,12,IDR 168000.00
KENGSINGTON OFFICE TOWER,SUKRO OVEN 25 GRAM,11,IDR 62000.00
KENGSINGTON OFFICE TOWER,MONDE PIE MINI,4,IDR 42000.00
KENGSINGTON OFFICE TOWER,YOU C1000 orange water 500ML,15,IDR 184000.00
KENGSINGTON OFFICE TOWER,FANTA KALENG 250ML,6,IDR 56000.00
KENGSINGTON OFFICE TOWER,Tik Tak Original 90 GRAM,3,IDR 24000.00
KENGSINGTON OFFICE TOWER,GO POTATO,8,IDR 71000.00
KENGSINGTON OFFICE TOWER,Kacang Mayasi,8,IDR 47000.00
KENGSINGTON OFFICE TOWER,fire crackers sambal mangga,4,IDR 23000.00
KENGSINGTON OFFICE TOWER,yoritos,5,IDR 30000.00
KENGSINGTON OFFICE TOWER,Spix mi goreng,9,IDR 56000.00
KENGSINGTON OFFICE TOWER,MONDE SERENA SNACK 25 GRAM,9,IDR 54000.00
KENGSINGTON OFFICE TOWER,bro tatoz rasa rumput laut,7,IDR 49000.00
KENGSINGTON OFFICE TOWER,EGG ROLL STRAWBERRY,5,IDR 35000.00
KENGSINGTON OFFICE TOWER,iyes mix,3,IDR 18000.00
KENGSINGTON OFFICE TOWER,Tic tic rasa bawang asli,4,IDR 40000.00
KENGSINGTON OFFICE TOWER,Kopiko Lucky Day 180 ML,5,IDR 45000.00
KENGSINGTON OFFICE TOWER,POCARI SWEAT 350ML,7,IDR 70000.00
KENGSINGTON OFFICE TOWER,TWISTKO,4,IDR 40000.00
KENGSINGTON OFFICE TOWER,Astor Double Coklat Kecil 40 GRAM,1,IDR 10000.00
