Vending Machine Name,Product,Qty Sold,Sales
KLINIK LALITA BEKASI,Le Mineral 600ML,33,IDR 215500.00
KLINIK LALITA BEKASI,INACO MINI PUDDING,30,IDR 165500.00
KLINIK LALITA BEKASI,CIMORY COKLAT 250ML,27,IDR 281000.00
KLINIK LALITA BEKASI,Teh Pucuk 350ML,22,IDR 145000.00
KLINIK LALITA BEKASI,Beng Beng Maxx,23,IDR 153000.00
KLINIK LALITA BEKASI,POTAKREZ sapi panggang,7,IDR 35000.00
KLINIK LALITA BEKASI,MILKU COKLAT 200ML,15,IDR 90000.00
KLINIK LALITA BEKASI,POKKA LEMON TEA,10,IDR 95000.00
KLINIK LALITA BEKASI,POKKA LYCHEE TEA,10,IDR 97000.00
KLINIK LALITA BEKASI,yoritos,9,IDR 54000.00
KLINIK LALITA BEKASI,MILKU STRAWBERRY,15,IDR 90000.00
KLINIK LALITA BEKASI,CROISANT 60 GRAM,8,IDR 69000.00
KLINIK LALITA BEKASI,mayasi paw,6,IDR 36000.00
KLINIK LALITA BEKASI,Nextar,11,IDR 110000.00
KLINIK LALITA BEKASI,sunkist water orange,4,IDR 34500.00
KLINIK LALITA BEKASI,WALENS BLUEBERRY SOES,8,IDR 120000.00
KLINIK LALITA BEKASI,LARUTAN CAP KAKI TIGA LECI,19,IDR 185000.00
KLINIK LALITA BEKASI,CIMORY STRAWBERY 250ML,24,IDR 240000.00
KLINIK LALITA BEKASI,GO POTATO,4,IDR 32000.00
KLINIK LALITA BEKASI,Hydro Coco 250ML,18,IDR 202000.00
KLINIK LALITA BEKASI,POTATO CHIP  50G,17,IDR 313000.00
KLINIK LALITA BEKASI,POCARI SWEAT 350ML,9,IDR 86000.00
KLINIK LALITA BEKASI,INACO IM COCO LECI,9,IDR 113000.00
KLINIK LALITA BEKASI,Lasegar leci lemon,4,IDR 36000.00
KLINIK LALITA BEKASI,YOU C1000 orange water 500ML,8,IDR 99000.00
KLINIK LALITA BEKASI,Pulpy Orange 300ML,4,IDR 35000.00
KLINIK LALITA BEKASI,bro tatoz rendang sapi,1,IDR 7000.00
KLINIK LALITA BEKASI,yeos minuman sari kedelai,2,IDR 22000.00
KLINIK LALITA BEKASI,french fries 2000,10,IDR 67500.00
KLINIK LALITA BEKASI,WALLENS CHOCOSHOES,9,IDR 133000.00
KLINIK LALITA BEKASI,KUSUKA AYAM MADU,13,IDR 81000.00
KLINIK LALITA BEKASI,TWISTKO,4,IDR 36000.00
KLINIK LALITA BEKASI,Spix mi goreng,8,IDR 50500.00
KLINIK LALITA BEKASI,Kopiko Lucky Day 180 ML,2,IDR 18000.00
KLINIK LALITA BEKASI,TEH SEJUK,4,IDR 28000.00
KLINIK LALITA BEKASI,Astor Double Coklat Kecil 40 GRAM,5,IDR 50000.00
KLINIK LALITA BEKASI,kinder bueno 43 g,3,IDR 60000.00
KLINIK LALITA BEKASI,MONDE EGG ROLL CHOCOLATE,1,IDR 7000.00
KLINIK LALITA BEKASI,OATSIDE COKLAT,1,IDR 12000.00
KLINIK LALITA BEKASI,pringles original 42g,2,IDR 40000.00
KLINIK LALITA BEKASI,PANDA CINCAU JELLY,2,IDR 20000.00
