Vending Machine Name,Product,Qty Sold,Sales
LABSCHOOL 2,CIMORY STRAWBERY 250ML,12,IDR 120000.00
LABSCHOOL 2,CROISANT 60 GRAM,14,IDR 138000.00
LABSCHOOL 2,Nescafe Latte 240 ML,10,IDR 120000.00
LABSCHOOL 2,YOU C1000 orange water 500ML,8,IDR 103500.00
LABSCHOOL 2,Pulpy Orange 300ML,3,IDR 26000.00
LABSCHOOL 2,POCARI SWEAT KALENG/CAN 330ML,2,IDR 18000.00
LABSCHOOL 2,PANDA CINCAU JELLY,8,IDR 78000.00
LABSCHOOL 2,POKKA LEMON TEA,13,IDR 130000.00
LABSCHOOL 2,Panda Grass Jely dan Selasih 350ML,2,IDR 18000.00
LABSCHOOL 2,SUKRO OVEN 25 GRAM,3,IDR 18000.00
LABSCHOOL 2,POCARI SWEAT 350ML,21,IDR 209000.00
LABSCHOOL 2,AW 250ML,17,IDR 170000.00
LABSCHOOL 2,FANTA KALENG 250ML,4,IDR 28000.00
LABSCHOOL 2,CIMORY MATCHA,4,IDR 40000.00
LABSCHOOL 2,french fries 2000,6,IDR 41500.00
LABSCHOOL 2,Hydro Coco 250ML,17,IDR 204000.00
LABSCHOOL 2,CIMORY MARIE REGAL,1,IDR 10000.00
LABSCHOOL 2,CIMORY COKLAT 250ML,12,IDR 130000.00
LABSCHOOL 2,MILKU COKLAT 200ML,3,IDR 18000.00
LABSCHOOL 2,mayasi paw,2,IDR 14000.00
LABSCHOOL 2,KUSUKA AYAM MADU,3,IDR 17000.00
LABSCHOOL 2,INACO IM COCO LECI,3,IDR 39000.00
LABSCHOOL 2,CIMORY ALMOND,3,IDR 30000.00
LABSCHOOL 2,POTABEE BARBEQUE 35gr,3,IDR 27000.00
LABSCHOOL 2,MILKU STRAWBERRY,3,IDR 18000.00
LABSCHOOL 2,Beng Beng Maxx,10,IDR 70000.00
LABSCHOOL 2,KRIZZI COKLAT,6,IDR 60000.00
LABSCHOOL 2,EGG ROLL STRAWBERRY,3,IDR 21000.00
LABSCHOOL 2,MONDE SERENA SNACK 25 GRAM,7,IDR 42000.00
LABSCHOOL 2,Tic tic rasa bawang asli,6,IDR 48000.00
LABSCHOOL 2,Nescafe CappuccIno 240 ML,3,IDR 36000.00
LABSCHOOL 2,TWISTKO,3,IDR 30000.00
LABSCHOOL 2,Astor Double Coklat Kecil 40 GRAM,21,IDR 210000.00
LABSCHOOL 2,POTATO CHIP  50G,6,IDR 120000.00
LABSCHOOL 2,POTABEE AYAM BAKAR,2,IDR 18000.00
LABSCHOOL 2,EGG ROLL CHEESE,1,IDR 7000.00
LABSCHOOL 2,Teh Pucuk 350ML,17,IDR 114500.00
LABSCHOOL 2,SPRITE KALENG 250ML,7,IDR 63000.00
LABSCHOOL 2,LARUTAN CAP KAKI TIGA LECI,9,IDR 90000.00
LABSCHOOL 2,Le Mineral 600ML,47,IDR 314500.00
LABSCHOOL 2,Spix mi goreng,6,IDR 37000.00
LABSCHOOL 2,WALENS BLUEBERRY SOES,5,IDR 75000.00
LABSCHOOL 2,Coca cola kaleng 250ml,6,IDR 54000.00
LABSCHOOL 2,WALLENS CHOCOSHOES,3,IDR 39000.00
LABSCHOOL 2,TEH SEJUK,10,IDR 70000.00
LABSCHOOL 2,Delfi Big Thunder,5,IDR 30000.00
LABSCHOOL 2,Kopiko Lucky Day 180 ML,4,IDR 40000.00
LABSCHOOL 2,milo nuggets 25 g,1,IDR 20000.00
LABSCHOOL 2,MILO ORIGINAL 220ML,1,IDR 15000.00
LABSCHOOL 2,pringles original 42g,3,IDR 60000.00
