Vending Machine Name,Product,Qty Sold,Sales
LION VILLAGE 1,AQUA 600ml,17,IDR 119000.00
LION VILLAGE 1,Nescafe CappuccIno 240 ML,8,IDR 112000.00
LION VILLAGE 1,YOU C1000 orange water 500ML,8,IDR 111000.00
LION VILLAGE 1,POKKA LYCHEE TEA,4,IDR 36000.00
LION VILLAGE 1,CIMORY STRAWBERY 250ML,1,IDR 10000.00
LION VILLAGE 1,Lasegar leci lemon,4,IDR 40000.00
LION VILLAGE 1,TEH SEJUK,7,IDR 42000.00
LION VILLAGE 1,SPRITE BOTOL 390ML,3,IDR 24000.00
LION VILLAGE 1,POKKA LEMON TEA,4,IDR 36000.00
LION VILLAGE 1,AW 250ML,1,IDR 9000.00
LION VILLAGE 1,MILKU COKLAT 200ML,1,IDR 5000.00
LION VILLAGE 1,INACO IM COCO LECI,1,IDR 12000.00
LION VILLAGE 1,LASEGAR LEMON,2,IDR 20000.00
LION VILLAGE 1,NESCAFE ICE BLACK,10,IDR 123000.00
LION VILLAGE 1,Le Mineral 600ML,33,IDR 206500.00
LION VILLAGE 1,Beng Beng Maxx,18,IDR 124000.00
LION VILLAGE 1,CIMORY MATCHA,4,IDR 40000.00
LION VILLAGE 1,Tik Tak Original 90 GRAM,2,IDR 17800.00
LION VILLAGE 1,CIMORY HAZELNUT,1,IDR 10000.00
LION VILLAGE 1,Pulpy Orange 300ML,1,IDR 6000.00
LION VILLAGE 1,Spix mi goreng,7,IDR 42500.00
LION VILLAGE 1,Tic tic rasa bawang asli,1,IDR 8000.00
LION VILLAGE 1,EGG ROLL CHEESE,1,IDR 7000.00
LION VILLAGE 1,fire crackers sambal mangga,3,IDR 15000.00
LION VILLAGE 1,TWISTKO,4,IDR 36000.00
LION VILLAGE 1,Hydro Coco 250ML,12,IDR 132000.00
LION VILLAGE 1,POCARI SWEAT 350ML,8,IDR 80000.00
LION VILLAGE 1,Kacang Mayasi,1,IDR 5000.00
LION VILLAGE 1,GO POTATO,1,IDR 7000.00
LION VILLAGE 1,POTATO CHIP  50G,1,IDR 18000.00
LION VILLAGE 1,yoritos,1,IDR 6000.00
LION VILLAGE 1,CIMORY COKLAT 250ML,8,IDR 81000.00
LION VILLAGE 1,INACO MINI JELLY AND PUDDING,1,IDR 8000.00
LION VILLAGE 1,Kopiko Lucky Day 180 ML,4,IDR 36000.00
LION VILLAGE 1,french fries 2000,2,IDR 14000.00
LION VILLAGE 1,Nescafe Latte 240 ML,6,IDR 78000.00
LION VILLAGE 1,Teh Pucuk 350ML,4,IDR 26500.00
LION VILLAGE 1,CIMORY MARIE REGAL,2,IDR 20000.00
LION VILLAGE 1,CROISANT 60 GRAM,9,IDR 81000.00
LION VILLAGE 1,PANDA CINCAU JELLY,4,IDR 40000.00
LION VILLAGE 1,Panda Grass Jely dan Selasih 350ML,4,IDR 36000.00
