Vending Machine Name,Product,Qty Sold,Sales
LIPPO TOWER HOLLAND 2,MIE SEDAP CUP KARI AYAM SPESIAL,10,IDR 96000.00
LIPPO TOWER HOLLAND 2,Kopiko Lucky Day 180 ML,6,IDR 52000.00
LIPPO TOWER HOLLAND 2,Tik Tak Original 90 GRAM,3,IDR 24000.00
LIPPO TOWER HOLLAND 2,Lasegar leci lemon,5,IDR 50000.00
LIPPO TOWER HOLLAND 2,Go potato cheese,3,IDR 27000.00
LIPPO TOWER HOLLAND 2,WALENS BLUEBERRY SOES,7,IDR 95000.00
LIPPO TOWER HOLLAND 2,SPRITE KALENG 250ML,4,IDR 36000.00
LIPPO TOWER HOLLAND 2,WALLENS CHOCOSHOES,28,IDR 373800.00
LIPPO TOWER HOLLAND 2,CIMORY COKLAT 250ML,9,IDR 96000.00
LIPPO TOWER HOLLAND 2,SUKRO OVEN 25 GRAM,5,IDR 21000.00
LIPPO TOWER HOLLAND 2,POCARI SWEAT 350ML,16,IDR 154000.00
LIPPO TOWER HOLLAND 2,AQUA 600ml,8,IDR 56000.00
LIPPO TOWER HOLLAND 2,CIMORY ALMOND,18,IDR 166000.00
LIPPO TOWER HOLLAND 2,MONDE PIE MINI,9,IDR 82000.00
LIPPO TOWER HOLLAND 2,Nescafe CappuccIno 240 ML,6,IDR 70400.00
LIPPO TOWER HOLLAND 2,Pulpy Orange 300ML,5,IDR 37000.00
LIPPO TOWER HOLLAND 2,Beng Beng Maxx,22,IDR 142000.00
LIPPO TOWER HOLLAND 2,MIE SEDAP CUP GORENG,9,IDR 90000.00
LIPPO TOWER HOLLAND 2,POTATO CHIP  50G,10,IDR 194000.00
LIPPO TOWER HOLLAND 2,Teh Pucuk 350ML,4,IDR 26000.00
LIPPO TOWER HOLLAND 2,LASEGAR LEMON,4,IDR 39000.00
LIPPO TOWER HOLLAND 2,MILKU COKLAT 200ML,2,IDR 10000.00
LIPPO TOWER HOLLAND 2,POKKA LEMON TEA,2,IDR 19000.00
LIPPO TOWER HOLLAND 2,fire crackers sambal mangga,7,IDR 35000.00
LIPPO TOWER HOLLAND 2,ITO EN OLONG,2,IDR 23400.00
LIPPO TOWER HOLLAND 2,Hydro Coco 250ML,4,IDR 46400.00
LIPPO TOWER HOLLAND 2,MILKU STRAWBERRY,1,IDR 5000.00
LIPPO TOWER HOLLAND 2,INACO IM COCO LECI,2,IDR 21800.00
LIPPO TOWER HOLLAND 2,TEH SEJUK,4,IDR 26000.00
LIPPO TOWER HOLLAND 2,Mie Sedaap Soto,5,IDR 50000.00
LIPPO TOWER HOLLAND 2,MONDE EGG ROLL CHOCOLATE,9,IDR 63000.00
LIPPO TOWER HOLLAND 2,french fries 2000,12,IDR 84000.00
LIPPO TOWER HOLLAND 2,YOU C1000 orange water 500ML,2,IDR 27000.00
LIPPO TOWER HOLLAND 2,LE MINERALE 2,23,IDR 152000.00
LIPPO TOWER HOLLAND 2,EGG ROLL STRAWBERRY,9,IDR 63000.00
LIPPO TOWER HOLLAND 2,Oi Ocha Green Tea 300 ml,2,IDR 24000.00
LIPPO TOWER HOLLAND 2,Nescafe Latte 240 ML,3,IDR 36000.00
LIPPO TOWER HOLLAND 2,CROISANT 60 GRAM,8,IDR 72000.00
LIPPO TOWER HOLLAND 2,MONDE SERENA SNACK 25 GRAM,4,IDR 24000.00
