Vending Machine Name,Product,Qty Sold,Sales
LIPPO TOWER HOLLAND,MILKU STRAWBERRY,4,IDR 20000.00
LIPPO TOWER HOLLAND,Hydro Coco 250ML,10,IDR 113600.00
LIPPO TOWER HOLLAND,MIE SEDAP CUP GORENG,9,IDR 88000.00
LIPPO TOWER HOLLAND,WALENS BLUEBERRY SOES,5,IDR 66000.00
LIPPO TOWER HOLLAND,potato q rasa sosis meksiko,6,IDR 36000.00
LIPPO TOWER HOLLAND,AQUA 600ml,9,IDR 63000.00
LIPPO TOWER HOLLAND,Teh Pucuk 350ML,11,IDR 73000.00
LIPPO TOWER HOLLAND,Pulpy Orange 300ML,7,IDR 60000.00
LIPPO TOWER HOLLAND,POCARI SWEAT 350ML,1,IDR 8000.00
LIPPO TOWER HOLLAND,MILKU COKLAT 200ML,3,IDR 15000.00
LIPPO TOWER HOLLAND,MONDE PIE MINI,6,IDR 52000.00
LIPPO TOWER HOLLAND,KUSUKA AYAM MADU,9,IDR 47000.00
LIPPO TOWER HOLLAND,POTAKREZ sapi panggang,5,IDR 30000.00
LIPPO TOWER HOLLAND,TEH SEJUK,6,IDR 37000.00
LIPPO TOWER HOLLAND,Mie Sedaap Soto,3,IDR 27000.00
LIPPO TOWER HOLLAND,WALLENS CHOCOSHOES,21,IDR 299000.00
LIPPO TOWER HOLLAND,MIE SEDAP CUP RAWIT BINGIT,12,IDR 112000.00
LIPPO TOWER HOLLAND,FANTA KALENG 250ML,4,IDR 32000.00
LIPPO TOWER HOLLAND,AW 250ML,5,IDR 48000.00
LIPPO TOWER HOLLAND,CIMORY COKLAT 250ML,6,IDR 62000.00
LIPPO TOWER HOLLAND,INACO MINI JELLY AND PUDDING,1,IDR 8000.00
LIPPO TOWER HOLLAND,EGG ROLL STRAWBERRY,10,IDR 70000.00
LIPPO TOWER HOLLAND,MIE SEDAP CUP KARI AYAM SPESIAL,5,IDR 43000.00
LIPPO TOWER HOLLAND,Nescafe Latte 240 ML,2,IDR 22400.00
LIPPO TOWER HOLLAND,Beng Beng Maxx,13,IDR 96000.00
LIPPO TOWER HOLLAND,Lasegar leci lemon,1,IDR 10000.00
LIPPO TOWER HOLLAND,SPRITE KALENG 250ML,1,IDR 8000.00
LIPPO TOWER HOLLAND,Nescafe CappuccIno 240 ML,5,IDR 58400.00
LIPPO TOWER HOLLAND,LASEGAR LEMON,2,IDR 18000.00
LIPPO TOWER HOLLAND,NESCAFE ICE BLACK,2,IDR 22600.00
LIPPO TOWER HOLLAND,SUKRO OVEN 25 GRAM,16,IDR 96000.00
LIPPO TOWER HOLLAND,Kopiko Lucky Day 180 ML,8,IDR 72000.00
LIPPO TOWER HOLLAND,MONDE SERENA SNACK 25 GRAM,13,IDR 78000.00
LIPPO TOWER HOLLAND,LE MINERALE 2,11,IDR 72500.00
LIPPO TOWER HOLLAND,INACO MINI PUDDING,1,IDR 5000.00
LIPPO TOWER HOLLAND,MONDE EGG ROLL CHOCOLATE,3,IDR 21000.00
LIPPO TOWER HOLLAND,YOU C1000 orange water 500ML,2,IDR 24000.00
LIPPO TOWER HOLLAND,Astor Double Coklat Kecil 40 GRAM,8,IDR 80000.00
LIPPO TOWER HOLLAND,POCARI SWEAT KALENG/CAN 330ML,1,IDR 10000.00
LIPPO TOWER HOLLAND,Oi Ocha Green Tea 300 ml,1,IDR 10000.00
LIPPO TOWER HOLLAND,LARUTAN CAP KAKI TIGA LECI,1,IDR 8000.00
