Vending Machine Name,Product,Qty Sold,Sales
MANULIFE KUNINGAN 1,TEH SEJUK,7,IDR 46000.00
MANULIFE KUNINGAN 1,LARUTAN CAP KAKI TIGA LECI,6,IDR 54000.00
MANULIFE KUNINGAN 1,CROISANT 60 GRAM,5,IDR 43000.00
MANULIFE KUNINGAN 1,Lasegar leci lemon,4,IDR 32000.00
MANULIFE KUNINGAN 1,Pulpy Orange 300ML,4,IDR 24000.00
MANULIFE KUNINGAN 1,KUSUKA AYAM MADU,4,IDR 23000.00
MANULIFE KUNINGAN 1,Coca cola kaleng 250ml,3,IDR 21000.00
MANULIFE KUNINGAN 1,LARUTAN CAP KAKI TIGA JAMBU BIJI,3,IDR 27000.00
MANULIFE KUNINGAN 1,SUKRO OVEN 25 GRAM,3,IDR 15000.00
MANULIFE KUNINGAN 1,Nescafe Latte 240 ML,3,IDR 36000.00
MANULIFE KUNINGAN 1,yoritos,3,IDR 18000.00
MANULIFE KUNINGAN 1,WALLENS CHOCOSHOES,3,IDR 39000.00
MANULIFE KUNINGAN 1,mayasi paw,3,IDR 18000.00
MANULIFE KUNINGAN 1,MONDE SERENA SNACK 25 GRAM,3,IDR 18000.00
MANULIFE KUNINGAN 1,MIE SEDAP CUP RAWIT BINGIT,3,IDR 30000.00
MANULIFE KUNINGAN 1,POCARI SWEAT 350ML,3,IDR 30000.00
MANULIFE KUNINGAN 1,Teh Pucuk 350ML,3,IDR 20500.00
MANULIFE KUNINGAN 1,fire crackers sambal mangga,3,IDR 15000.00
MANULIFE KUNINGAN 1,Tik Tak Sapi Panggang 90 GRAM,2,IDR 16000.00
MANULIFE KUNINGAN 1,fire crackers,2,IDR 12000.00
MANULIFE KUNINGAN 1,potato q rasa rumput laut,2,IDR 10000.00
MANULIFE KUNINGAN 1,MIE SEDAP CUP GORENG,2,IDR 20000.00
MANULIFE KUNINGAN 1,WALENS BLUEBERRY SOES,2,IDR 30000.00
MANULIFE KUNINGAN 1,GO POTATO,2,IDR 16000.00
MANULIFE KUNINGAN 1,CIMORY COKLAT 250ML,2,IDR 22000.00
MANULIFE KUNINGAN 1,TWISTKO,1,IDR 9000.00
MANULIFE KUNINGAN 1,Beng Beng Maxx,1,IDR 6000.00
MANULIFE KUNINGAN 1,TARO potato barbecue,1,IDR 9000.00
MANULIFE KUNINGAN 1,MILKU COKLAT 200ML,1,IDR 5000.00
MANULIFE KUNINGAN 1,INACO MINI PUDDING,1,IDR 5000.00
MANULIFE KUNINGAN 1,MILKU STRAWBERRY,1,IDR 5000.00
MANULIFE KUNINGAN 1,MONDE EGG ROLL CHOCOLATE,1,IDR 7000.00
MANULIFE KUNINGAN 1,Tik Tak Original 90 GRAM,1,IDR 9000.00
MANULIFE KUNINGAN 1,NESCAFE ICE BLACK,1,IDR 13000.00
MANULIFE KUNINGAN 1,Nescafe CappuccIno 240 ML,1,IDR 12000.00
MANULIFE KUNINGAN 1,Kacang Mayasi,1,IDR 5000.00
MANULIFE KUNINGAN 1,YOU C1000 orange water 500ML,1,IDR 12000.00
