Vending Machine Name,Product,Qty Sold,Sales
MASJID AL AZHAR BEKASI 1,yoritos,2,IDR 12000.00
MASJID AL AZHAR BEKASI 1,Astor Double Coklat Kecil 40 GRAM,3,IDR 30000.00
MASJID AL AZHAR BEKASI 1,POTABEE AYAM BAKAR,1,IDR 8000.00
MASJID AL AZHAR BEKASI 1,JAPOTA SEAWEED,4,IDR 32000.00
MASJID AL AZHAR BEKASI 1,Pulpy Orange 300ML,7,IDR 56000.00
MASJID AL AZHAR BEKASI 1,CIMORY MATCHA,10,IDR 100000.00
MASJID AL AZHAR BEKASI 1,CIMORY COKLAT 250ML,6,IDR 61000.00
MASJID AL AZHAR BEKASI 1,Spix mi goreng,5,IDR 30500.00
MASJID AL AZHAR BEKASI 1,YOU C1000 orange water 500ML,10,IDR 126000.00
MASJID AL AZHAR BEKASI 1,POKKA LYCHEE TEA,6,IDR 53000.00
MASJID AL AZHAR BEKASI 1,WALLENS CHOCOSHOES,3,IDR 39000.00
MASJID AL AZHAR BEKASI 1,Tik Tak Sapi Panggang 90 GRAM,2,IDR 20000.00
MASJID AL AZHAR BEKASI 1,MILO ORIGINAL 220ML,1,IDR 15000.00
MASJID AL AZHAR BEKASI 1,KRIZZI COKLAT,1,IDR 8000.00
MASJID AL AZHAR BEKASI 1,LE MINERALE 2,31,IDR 195000.00
MASJID AL AZHAR BEKASI 1,LARUTAN CAP KAKI TIGA LECI,7,IDR 70000.00
MASJID AL AZHAR BEKASI 1,POCARI SWEAT 350ML,6,IDR 60000.00
MASJID AL AZHAR BEKASI 1,TEH SEJUK,3,IDR 21000.00
MASJID AL AZHAR BEKASI 1,INACO IM COCO LECI,4,IDR 44000.00
MASJID AL AZHAR BEKASI 1,Go potato cheese,5,IDR 45000.00
MASJID AL AZHAR BEKASI 1,KUSUKA AYAM MADU,3,IDR 18000.00
MASJID AL AZHAR BEKASI 1,Teh Pucuk 350ML,12,IDR 81000.00
MASJID AL AZHAR BEKASI 1,CIMORY MARIE REGAL,3,IDR 30000.00
MASJID AL AZHAR BEKASI 1,INACO MINI JELLY AND PUDDING,2,IDR 14000.00
MASJID AL AZHAR BEKASI 1,MONDE SERENA SNACK 25 GRAM,3,IDR 18000.00
MASJID AL AZHAR BEKASI 1,potato q rasa rumput laut,2,IDR 10000.00
MASJID AL AZHAR BEKASI 1,Tik Tak Original 90 GRAM,1,IDR 10000.00
MASJID AL AZHAR BEKASI 1,CIMORY STRAWBERY 250ML,4,IDR 40000.00
MASJID AL AZHAR BEKASI 1,Kopiko Lucky Day 180 ML,3,IDR 30000.00
MASJID AL AZHAR BEKASI 1,TWISTKO,1,IDR 10000.00
MASJID AL AZHAR BEKASI 1,Tic tic rasa bawang asli,2,IDR 20000.00
MASJID AL AZHAR BEKASI 1,CROISANT 60 GRAM,3,IDR 30000.00
MASJID AL AZHAR BEKASI 1,Hydro Coco 250ML,3,IDR 30000.00
MASJID AL AZHAR BEKASI 1,french fries 2000,3,IDR 21000.00
MASJID AL AZHAR BEKASI 1,SUKRO OVEN 25 GRAM,1,IDR 6000.00
