Vending Machine Name,Product,Qty Sold,Sales
MASJID AT TAIBIN,POTABEE BARBEQUE 35gr,2,IDR 18000.00
MASJID AT TAIBIN,MONDE EGG ROLL CHOCOLATE,3,IDR 18000.00
MASJID AT TAIBIN,Teh Pucuk 350ML,2,IDR 13000.00
MASJID AT TAIBIN,Tic tic rasa bawang asli,2,IDR 18000.00
MASJID AT TAIBIN,CIMORY MATCHA,4,IDR 39000.00
MASJID AT TAIBIN,INACO MINI PUDDING,5,IDR 25000.00
MASJID AT TAIBIN,potato q rasa rumput laut,5,IDR 29000.00
MASJID AT TAIBIN,Hydro Coco 250ML,3,IDR 27000.00
MASJID AT TAIBIN,Kopiko Lucky Day 180 ML,3,IDR 27000.00
MASJID AT TAIBIN,TWISTKO,1,IDR 9000.00
MASJID AT TAIBIN,GEMEZ CHILY SPICY 30GRAM,2,IDR 10000.00
MASJID AT TAIBIN,KUSUKA AYAM MADU,2,IDR 13000.00
MASJID AT TAIBIN,POCARI SWEAT 350ML,1,IDR 10000.00
MASJID AT TAIBIN,SUKRO OVEN 25 GRAM,2,IDR 12000.00
MASJID AT TAIBIN,Nescafe Latte 240 ML,3,IDR 36000.00
MASJID AT TAIBIN,MILKU STRAWBERRY,2,IDR 12000.00
MASJID AT TAIBIN,Pulpy Orange 300ML,1,IDR 8000.00
MASJID AT TAIBIN,MONDE SERENA SNACK 25 GRAM,1,IDR 6000.00
MASJID AT TAIBIN,yoritos,2,IDR 12000.00
MASJID AT TAIBIN,MILKU COKLAT 200ML,3,IDR 15000.00
MASJID AT TAIBIN,EGG ROLL STRAWBERRY,1,IDR 6000.00
MASJID AT TAIBIN,CIMORY ALMOND,1,IDR 10000.00
MASJID AT TAIBIN,LASEGAR LEMON,1,IDR 10000.00
MASJID AT TAIBIN,CROISANT 60 GRAM,2,IDR 16000.00
MASJID AT TAIBIN,LARUTAN CAP KAKI TIGA LECI,1,IDR 9000.00
MASJID AT TAIBIN,Lasegar leci lemon,5,IDR 50000.00
MASJID AT TAIBIN,CIMORY COKLAT 250ML,1,IDR 11000.00
