Vending Machine Name,Product,Qty Sold,Sales
MENARA THAMRIN,POCARI SWEAT 350ML,1,IDR 9000.00
MENARA THAMRIN,Hydro Coco 250ML,1,IDR 10000.00
MENARA THAMRIN,POKKA LYCHEE TEA,2,IDR 18000.00
MENARA THAMRIN,AW 330ML,1,IDR 8000.00
MENARA THAMRIN,Nescafe CappuccIno 240 ML,2,IDR 24000.00
MENARA THAMRIN,Nescafe Latte 240 ML,1,IDR 12000.00
MENARA THAMRIN,KUSUKA AYAM MADU,3,IDR 15000.00
MENARA THAMRIN,cimory banana,1,IDR 8000.00
MENARA THAMRIN,WALENS BLUEBERRY SOES,1,IDR 15000.00
MENARA THAMRIN,KRIZZI COKLAT,1,IDR 8000.00
MENARA THAMRIN,YOU C1000 orange water 500ML,2,IDR 20000.00
MENARA THAMRIN,PANDA CINCAU JELLY,1,IDR 10000.00
MENARA THAMRIN,SUKRO OVEN 25 GRAM,1,IDR 6000.00
MENARA THAMRIN,Teh Pucuk 350ML,1,IDR 7000.00
MENARA THAMRIN,LARUTAN CAP KAKI TIGA LECI,2,IDR 20000.00
MENARA THAMRIN,INACO IM COCO LECI,1,IDR 10000.00
MENARA THAMRIN,MIE SEDAP CUP RAWIT BINGIT,1,IDR 10000.00
