Vending Machine Name,Product,Qty Sold,Sales
NEO SOHO,SUKRO OVEN 25 GRAM,15,IDR 87000.00
NEO SOHO,YOU C1000 orange water 500ML,23,IDR 312000.00
NEO SOHO,KRIZZI COKLAT,4,IDR 32000.00
NEO SOHO,KUSUKA AYAM MADU,18,IDR 108000.00
NEO SOHO,yoritos,8,IDR 48000.00
NEO SOHO,POTAKREZ sapi panggang,8,IDR 46000.00
NEO SOHO,POKKA LYCHEE TEA,14,IDR 126000.00
NEO SOHO,mayasi paw,5,IDR 30000.00
NEO SOHO,Beng Beng Maxx,28,IDR 192500.00
NEO SOHO,Go potato cheese,4,IDR 36000.00
NEO SOHO,Le Mineral 600ML,36,IDR 252000.00
NEO SOHO,Spix mi goreng,6,IDR 46000.00
NEO SOHO,TEH SEJUK,12,IDR 80000.00
NEO SOHO,Teh Pucuk 350ML,15,IDR 101000.00
NEO SOHO,MIE SEDAAP SELECTION KOREAN SPICY,2,IDR 20000.00
NEO SOHO,POCARI SWEAT 350ML,17,IDR 154000.00
NEO SOHO,AW 250ML,6,IDR 60000.00
NEO SOHO,Kopiko Lucky Day 180 ML,9,IDR 90000.00
NEO SOHO,FANTA KALENG 330ML,2,IDR 20000.00
NEO SOHO,CIMORY MATCHA,6,IDR 60000.00
NEO SOHO,NESCAFE ICE BLACK,12,IDR 149000.00
NEO SOHO,MILO ORIGINAL 220ML,7,IDR 105000.00
NEO SOHO,CIMORY MARIE REGAL,7,IDR 70000.00
NEO SOHO,MONDE PIE MINI,2,IDR 24000.00
NEO SOHO,indocafe latte goya,4,IDR 40000.00
NEO SOHO,CIMORY STRAWBERY 250ML,8,IDR 80000.00
NEO SOHO,MIE SEDAP CUP KARI AYAM SPESIAL,8,IDR 90000.00
NEO SOHO,Mie Sedaap Soto,6,IDR 64000.00
NEO SOHO,Hydro Coco 250ML,13,IDR 146000.00
NEO SOHO,Nescafe Latte 240 ML,9,IDR 135000.00
NEO SOHO,MIE SEDAP CUP GORENG,11,IDR 111000.00
NEO SOHO,Coca cola kaleng 250ml,1,IDR 12000.00
NEO SOHO,MONDE SERENA SNACK 25 GRAM,17,IDR 102000.00
NEO SOHO,Nescafe CappuccIno 240 ML,5,IDR 75000.00
NEO SOHO,EGG ROLL STRAWBERRY,1,IDR 7000.00
NEO SOHO,Tik Tak Sapi Panggang 90 GRAM,4,IDR 36000.00
NEO SOHO,POKKA LEMON TEA,2,IDR 18000.00
NEO SOHO,CROISANT 60 GRAM,3,IDR 30000.00
NEO SOHO,Delfi Big Thunder,2,IDR 12000.00
