Vending Machine Name,Product,Qty Sold,Sales
NINE RESIDENCE,Le Mineral 600ML,139,IDR 957000.00
NINE RESIDENCE,sunkist water orange,2,IDR 16500.00
NINE RESIDENCE,MIE SEDAP CUP KARI AYAM SPESIAL,7,IDR 69000.00
NINE RESIDENCE,YOU C1000 orange water 500ML,30,IDR 440000.00
NINE RESIDENCE,Hydro Coco 250ML,25,IDR 250000.00
NINE RESIDENCE,CIMORY COKLAT 250ML,12,IDR 125000.00
NINE RESIDENCE,Nescafe CappuccIno 240 ML,14,IDR 168000.00
NINE RESIDENCE,Coca cola kaleng 250ml,28,IDR 252000.00
NINE RESIDENCE,Pulpy Orange 300ML,5,IDR 30000.00
NINE RESIDENCE,POCARI SWEAT 350ML,14,IDR 140000.00
NINE RESIDENCE,Beng Beng Maxx,27,IDR 187000.00
NINE RESIDENCE,MONDE PIE MINI,5,IDR 55000.00
NINE RESIDENCE,LARUTAN CAP KAKI TIGA LECI,24,IDR 240000.00
NINE RESIDENCE,Nextar,4,IDR 40000.00
NINE RESIDENCE,MIE SEDAAP SELECTION KOREAN SPICY,11,IDR 115000.00
NINE RESIDENCE,KUSUKA AYAM MADU,12,IDR 69000.00
NINE RESIDENCE,SUKRO OVEN 25 GRAM,16,IDR 92000.00
NINE RESIDENCE,iyes mix,2,IDR 12000.00
NINE RESIDENCE,MILO ORIGINAL 220ML,31,IDR 457000.00
NINE RESIDENCE,INACO MINI PUDDING,9,IDR 45500.00
NINE RESIDENCE,SPRITE KALENG 250ML,14,IDR 112000.00
NINE RESIDENCE,INACO MINI JELLY AND PUDDING,2,IDR 16000.00
NINE RESIDENCE,MILKU STRAWBERRY,2,IDR 12000.00
NINE RESIDENCE,TEH SEJUK,2,IDR 12000.00
NINE RESIDENCE,Kopiko Lucky Day 180 ML,6,IDR 60000.00
NINE RESIDENCE,POKKA LYCHEE TEA,1,IDR 10000.00
NINE RESIDENCE,Teh Pucuk 350ML,40,IDR 267000.00
NINE RESIDENCE,MONDE SERENA SNACK 25 GRAM,14,IDR 84000.00
NINE RESIDENCE,MIE SEDAP CUP GORENG,11,IDR 118000.00
NINE RESIDENCE,Mie Sedaap Soto,10,IDR 100000.00
NINE RESIDENCE,CIMORY MATCHA,12,IDR 120000.00
NINE RESIDENCE,KRIZZI COKLAT,8,IDR 64000.00
NINE RESIDENCE,Nescafe Latte 240 ML,14,IDR 180000.00
NINE RESIDENCE,NESCAFE ICE BLACK,4,IDR 52000.00
NINE RESIDENCE,FANTA KALENG 250ML,3,IDR 27000.00
