Vending Machine Name,Product,Qty Sold,Sales
PADINA SOHO,Le Mineral 600ML,13,IDR 69500.00
PADINA SOHO,Mie Sedaap Soto,8,IDR 64000.00
PADINA SOHO,MIE SEDAP CUP GORENG,8,IDR 68000.00
PADINA SOHO,Tik Tak Original 90 GRAM,5,IDR 40000.00
PADINA SOHO,sunkist water orange,2,IDR 17000.00
PADINA SOHO,Pulpy Orange 300ML,12,IDR 72000.00
PADINA SOHO,SUKRO OVEN 25 GRAM,10,IDR 56000.00
PADINA SOHO,MIE SEDAP CUP RAWIT BINGIT,6,IDR 48000.00
PADINA SOHO,MIE SEDAAP SELECTION KOREAN SPICY,6,IDR 51000.00
PADINA SOHO,NESCAFE ICE BLACK,5,IDR 63000.00
PADINA SOHO,Lasegar leci lemon,4,IDR 36000.00
PADINA SOHO,MONDE EGG ROLL CHOCOLATE,5,IDR 30000.00
PADINA SOHO,CIMORY COKLAT 250ML,6,IDR 51000.00
PADINA SOHO,LASEGAR LEMON,3,IDR 27000.00
PADINA SOHO,Tik Tak Sapi Panggang 90 GRAM,2,IDR 16000.00
PADINA SOHO,YOU C1000 orange water 500ML,5,IDR 60000.00
PADINA SOHO,KUSUKA AYAM MADU,3,IDR 17000.00
PADINA SOHO,yoritos,2,IDR 12000.00
PADINA SOHO,SPRITE BOTOL 390ML,4,IDR 32000.00
PADINA SOHO,Teh Pucuk 350ML,4,IDR 26000.00
PADINA SOHO,POTAKREZ sapi panggang,2,IDR 10000.00
PADINA SOHO,fire crackers sambal mangga,1,IDR 5000.00
PADINA SOHO,potato q rasa rumput laut,6,IDR 30000.00
PADINA SOHO,CIMORY MATCHA,1,IDR 8000.00
PADINA SOHO,MILO ORIGINAL 220ML,5,IDR 65000.00
PADINA SOHO,CIMORY MARIE REGAL,4,IDR 32000.00
PADINA SOHO,POCARI SWEAT 350ML,3,IDR 29000.00
PADINA SOHO,Beng Beng Maxx,4,IDR 28000.00
PADINA SOHO,TEH SEJUK,2,IDR 12000.00
PADINA SOHO,MILKU COKLAT 200ML,2,IDR 10000.00
PADINA SOHO,Coca Cola Botol 390ML,1,IDR 8000.00
PADINA SOHO,Hydro Coco 250ML,6,IDR 60000.00
PADINA SOHO,Nescafe CappuccIno 240 ML,2,IDR 24000.00
PADINA SOHO,FANTA KALENG 330ML,1,IDR 10000.00
PADINA SOHO,Kopiko Lucky Day 180 ML,2,IDR 20000.00
PADINA SOHO,AW 250ML,3,IDR 30000.00
PADINA SOHO,Nescafe Latte 240 ML,4,IDR 48000.00
PADINA SOHO,EGG ROLL CHEESE,1,IDR 7000.00
PADINA SOHO,POCARI SWEAT KALENG/CAN 330ML,1,IDR 10000.00
PADINA SOHO,LARUTAN CAP KAKI TIGA LECI,1,IDR 9000.00
PADINA SOHO,Coca cola kaleng 250ml,1,IDR 8000.00
