Vending Machine Name,Product,Qty Sold,Sales
PT BAKER&HUGHES,KUSUKA AYAM MADU,2,IDR 8000.00
PT BAKER&HUGHES,YOU C1000 orange water 500ML,6,IDR 75000.00
PT BAKER&HUGHES,POKKA LYCHEE TEA,3,IDR 27000.00
PT BAKER&HUGHES,MILKU STRAWBERRY,2,IDR 10000.00
PT BAKER&HUGHES,NESCAFE ICE BLACK,4,IDR 51000.00
PT BAKER&HUGHES,MILKU COKLAT 200ML,3,IDR 17000.00
PT BAKER&HUGHES,Beng Beng Maxx,3,IDR 20000.00
PT BAKER&HUGHES,Spix mi goreng,2,IDR 12000.00
PT BAKER&HUGHES,SPRITE BOTOL 390ML,1,IDR 7000.00
PT BAKER&HUGHES,WALLENS CHOCOSHOES,3,IDR 43000.00
PT BAKER&HUGHES,LASEGAR LEMON,1,IDR 9000.00
PT BAKER&HUGHES,Tik Tak Original 90 GRAM,2,IDR 20000.00
PT BAKER&HUGHES,POCARI SWEAT 350ML,4,IDR 40000.00
PT BAKER&HUGHES,Tik Tak Sapi Panggang 90 GRAM,1,IDR 10000.00
PT BAKER&HUGHES,INACO IM COCO LECI,3,IDR 30000.00
PT BAKER&HUGHES,Nescafe CappuccIno 240 ML,5,IDR 60000.00
PT BAKER&HUGHES,Le Mineral 600ML,13,IDR 87000.00
PT BAKER&HUGHES,POTABEE RUMPUT LAUT,4,IDR 32000.00
PT BAKER&HUGHES,CIMORY ALMOND,1,IDR 10000.00
PT BAKER&HUGHES,WALENS BLUEBERRY SOES,3,IDR 45000.00
PT BAKER&HUGHES,CIMORY STRAWBERY 250ML,2,IDR 20000.00
PT BAKER&HUGHES,CIMORY MARIE REGAL,1,IDR 10000.00
PT BAKER&HUGHES,POTATO CHIP  50G,2,IDR 40000.00
PT BAKER&HUGHES,CIMORY COKLAT 250ML,1,IDR 11000.00
PT BAKER&HUGHES,MONDE SERENA SNACK 25 GRAM,1,IDR 6000.00
PT BAKER&HUGHES,Hydro Coco 250ML,1,IDR 10000.00
PT BAKER&HUGHES,CROISANT 60 GRAM,4,IDR 40000.00
PT BAKER&HUGHES,POKKA LEMON TEA,3,IDR 27000.00
PT BAKER&HUGHES,EGG ROLL STRAWBERRY,1,IDR 7000.00
PT BAKER&HUGHES,INACO MINI PUDDING,1,IDR 6500.00
PT BAKER&HUGHES,yoritos,1,IDR 6000.00
PT BAKER&HUGHES,Teh Pucuk 350ML,1,IDR 7000.00
PT BAKER&HUGHES,AW 250ML,2,IDR 20000.00
