Vending Machine Name,Product,Qty Sold,Sales
PT BASF,Le Mineral 600ML,12,IDR 68500.00
PT BASF,yoritos,5,IDR 30000.00
PT BASF,WALENS BLUEBERRY SOES,9,IDR 120000.00
PT BASF,YOU C1000 orange water 500ML,4,IDR 46000.00
PT BASF,AW 250ML,3,IDR 28000.00
PT BASF,KRIZZI COKLAT,3,IDR 27000.00
PT BASF,MIE SEDAP CUP GORENG,7,IDR 56000.00
PT BASF,Tik Tak Sapi Panggang 90 GRAM,6,IDR 48000.00
PT BASF,Tic tic rasa bawang asli,9,IDR 72000.00
PT BASF,Kacang Mayasi,5,IDR 25000.00
PT BASF,MILKU COKLAT 200ML,6,IDR 25000.00
PT BASF,POCARI SWEAT 350ML,5,IDR 48000.00
PT BASF,Mie Sedaap Soto,5,IDR 50000.00
PT BASF,Beng Beng Maxx,7,IDR 46000.00
PT BASF,Kopiko Lucky Day 180 ML,2,IDR 16000.00
PT BASF,CIMORY STRAWBERY 250ML,2,IDR 18000.00
PT BASF,MIE SEDAP CUP RAWIT BINGIT,5,IDR 47000.00
PT BASF,MIE SEDAAP SELECTION KOREAN SPICY,5,IDR 50000.00
PT BASF,bro tatoz bbq korea,3,IDR 21000.00
PT BASF,CIMORY MARIE REGAL,1,IDR 10000.00
PT BASF,potato q rasa sosis meksiko,1,IDR 5000.00
PT BASF,MONDE SERENA SNACK 25 GRAM,13,IDR 78000.00
PT BASF,KUSUKA AYAM MADU,4,IDR 24000.00
PT BASF,EGG ROLL STRAWBERRY,6,IDR 42000.00
PT BASF,WALLENS CHOCOSHOES,10,IDR 138000.00
PT BASF,POKKA LEMON TEA,3,IDR 27000.00
PT BASF,mayasi paw,2,IDR 14000.00
PT BASF,GO POTATO,13,IDR 91000.00
PT BASF,Spix mi goreng,7,IDR 44000.00
PT BASF,POKKA LYCHEE TEA,2,IDR 18000.00
PT BASF,french fries 2000,3,IDR 21000.00
PT BASF,TWISTKO,7,IDR 47000.00
PT BASF,iyes mix,1,IDR 6000.00
PT BASF,CIMORY MATCHA,3,IDR 30000.00
PT BASF,NESCAFE ICE BLACK,1,IDR 13000.00
PT BASF,Teh Pucuk 350ML,1,IDR 7000.00
PT BASF,Astor Double Coklat Kecil 40 GRAM,1,IDR 10000.00
PT BASF,SUKRO OVEN 25 GRAM,1,IDR 6000.00
