Vending Machine Name,Product,Qty Sold,Sales
PT CCIE (INDOCEMENT 11),CIMORY STRAWBERY 250ML,6,IDR 48000.00
PT CCIE (INDOCEMENT 11),EGG ROLL CHEESE,3,IDR 21000.00
PT CCIE (INDOCEMENT 11),NESCAFE ICE BLACK,2,IDR 26000.00
PT CCIE (INDOCEMENT 11),CROISANT 60 GRAM,2,IDR 18000.00
PT CCIE (INDOCEMENT 11),CIMORY MATCHA,2,IDR 16000.00
PT CCIE (INDOCEMENT 11),KUSUKA AYAM MADU,1,IDR 5000.00
PT CCIE (INDOCEMENT 11),CIMORY ALMOND,4,IDR 32000.00
PT CCIE (INDOCEMENT 11),EGG ROLL STRAWBERRY,1,IDR 5000.00
PT CCIE (INDOCEMENT 11),MONDE EGG ROLL CHOCOLATE,2,IDR 11000.00
PT CCIE (INDOCEMENT 11),Hydro Coco 250ML,1,IDR 10000.00
PT CCIE (INDOCEMENT 11),Kacang Mayasi,2,IDR 10000.00
PT CCIE (INDOCEMENT 11),fire crackers,1,IDR 6000.00
PT CCIE (INDOCEMENT 11),iyes mix,1,IDR 6000.00
PT CCIE (INDOCEMENT 11),Tik Tak Sapi Panggang 90 GRAM,1,IDR 10000.00
PT CCIE (INDOCEMENT 11),INACO MINI PUDDING,1,IDR 6500.00
PT CCIE (INDOCEMENT 11),AW 250ML,1,IDR 10000.00
PT CCIE (INDOCEMENT 11),MILO ORIGINAL 220ML,1,IDR 13000.00
