Vending Machine Name,Product,Qty Sold,Sales
PT INDOCEMENT 9 (GEDUNG GMO),MIE SEDAAP SELECTION KOREAN SPICY,2,IDR 18000.00
PT INDOCEMENT 9 (GEDUNG GMO),INACO IM COCO LECI,3,IDR 24000.00
PT INDOCEMENT 9 (GEDUNG GMO),MIE SEDAP CUP GORENG,1,IDR 7000.00
PT INDOCEMENT 9 (GEDUNG GMO),MIE SEDAP CUP KARI AYAM SPESIAL,1,IDR 7000.00
PT INDOCEMENT 9 (GEDUNG GMO),CIMORY STRAWBERY 250ML,2,IDR 18000.00
PT INDOCEMENT 9 (GEDUNG GMO),POCARI SWEAT 350ML,4,IDR 38000.00
PT INDOCEMENT 9 (GEDUNG GMO),JAPOTA SEAWEED,3,IDR 21000.00
PT INDOCEMENT 9 (GEDUNG GMO),Spix mi goreng,2,IDR 12000.00
PT INDOCEMENT 9 (GEDUNG GMO),Beng Beng Maxx,2,IDR 14000.00
PT INDOCEMENT 9 (GEDUNG GMO),NESCAFE ICE BLACK,2,IDR 23000.00
PT INDOCEMENT 9 (GEDUNG GMO),POKKA LYCHEE TEA,1,IDR 8000.00
PT INDOCEMENT 9 (GEDUNG GMO),EGG ROLL CHEESE,4,IDR 20000.00
PT INDOCEMENT 9 (GEDUNG GMO),Pulpy Orange 300ML,2,IDR 18000.00
PT INDOCEMENT 9 (GEDUNG GMO),KUSUKA AYAM MADU,4,IDR 26000.00
PT INDOCEMENT 9 (GEDUNG GMO),Teh Pucuk 350ML,1,IDR 6500.00
PT INDOCEMENT 9 (GEDUNG GMO),POTABEE BARBEQUE 35gr,2,IDR 14000.00
PT INDOCEMENT 9 (GEDUNG GMO),MILO ORIGINAL 220ML,3,IDR 45000.00
PT INDOCEMENT 9 (GEDUNG GMO),Hydro Coco 250ML,5,IDR 40000.00
PT INDOCEMENT 9 (GEDUNG GMO),Go potato cheese,5,IDR 45000.00
PT INDOCEMENT 9 (GEDUNG GMO),POCARI SWEAT KALENG/CAN 330ML,4,IDR 39000.00
PT INDOCEMENT 9 (GEDUNG GMO),YOU C1000 orange water 500ML,5,IDR 60000.00
PT INDOCEMENT 9 (GEDUNG GMO),Nescafe Latte 240 ML,4,IDR 40000.00
PT INDOCEMENT 9 (GEDUNG GMO),LASEGAR LEMON,4,IDR 36000.00
PT INDOCEMENT 9 (GEDUNG GMO),AW 250ML,4,IDR 34000.00
PT INDOCEMENT 9 (GEDUNG GMO),Kopiko Lucky Day 180 ML,5,IDR 45000.00
PT INDOCEMENT 9 (GEDUNG GMO),SUKRO OVEN 25 GRAM,2,IDR 12000.00
PT INDOCEMENT 9 (GEDUNG GMO),SPRITE BOTOL 390ML,5,IDR 35000.00
PT INDOCEMENT 9 (GEDUNG GMO),TWISTKO,2,IDR 24000.00
PT INDOCEMENT 9 (GEDUNG GMO),MILKU COKLAT 200ML,6,IDR 24000.00
PT INDOCEMENT 9 (GEDUNG GMO),LARUTAN CAP KAKI TIGA LECI,4,IDR 32000.00
PT INDOCEMENT 9 (GEDUNG GMO),POTABEE AYAM BAKAR,4,IDR 28000.00
PT INDOCEMENT 9 (GEDUNG GMO),LARUTAN CAP KAKI TIGA JAMBU BIJI,3,IDR 24000.00
PT INDOCEMENT 9 (GEDUNG GMO),MILKU STRAWBERRY,1,IDR 6000.00
PT INDOCEMENT 9 (GEDUNG GMO),sunkist water orange,2,IDR 18000.00
PT INDOCEMENT 9 (GEDUNG GMO),EGG ROLL STRAWBERRY,3,IDR 15000.00
PT INDOCEMENT 9 (GEDUNG GMO),SUNKIST LEMON C,2,IDR 14000.00
PT INDOCEMENT 9 (GEDUNG GMO),Coca Cola Botol 390ML,4,IDR 24000.00
