Vending Machine Name,Product,Qty Sold,Sales
PT MATRA RODA PIRANTI 2,MIE SEDAP CUP GORENG,3,IDR 27000.00
PT MATRA RODA PIRANTI 2,Mie Sedaap Soto,2,IDR 20000.00
PT MATRA RODA PIRANTI 2,Teh Pucuk 350ML,7,IDR 39700.00
PT MATRA RODA PIRANTI 2,iyes mix,1,IDR 6000.00
PT MATRA RODA PIRANTI 2,POKKA LYCHEE TEA,10,IDR 90000.00
PT MATRA RODA PIRANTI 2,CIMORY COKLAT 250ML,1,IDR 8000.00
PT MATRA RODA PIRANTI 2,CIMORY STRAWBERY 250ML,5,IDR 44000.00
PT MATRA RODA PIRANTI 2,MIE SEDAP CUP RAWIT BINGIT,2,IDR 20000.00
PT MATRA RODA PIRANTI 2,SUNKIST LEMON C,6,IDR 48000.00
PT MATRA RODA PIRANTI 2,YOU C1000 orange water 500ML,4,IDR 51000.00
PT MATRA RODA PIRANTI 2,LASEGAR LEMON,2,IDR 18000.00
PT MATRA RODA PIRANTI 2,NESCAFE ICE BLACK,12,IDR 15600.00
PT MATRA RODA PIRANTI 2,Coca cola kaleng 250ml,7,IDR 56000.00
PT MATRA RODA PIRANTI 2,Le Mineral 600ML,15,IDR 93500.00
PT MATRA RODA PIRANTI 2,SPRITE BOTOL 390ML,2,IDR 16000.00
PT MATRA RODA PIRANTI 2,POCARI SWEAT 350ML,4,IDR 38000.00
PT MATRA RODA PIRANTI 2,french fries 2000,3,IDR 16680.00
PT MATRA RODA PIRANTI 2,TEH SEJUK,3,IDR 18000.00
PT MATRA RODA PIRANTI 2,POTABEE BARBEQUE 35gr,2,IDR 18000.00
PT MATRA RODA PIRANTI 2,Nescafe Latte 240 ML,2,IDR 26000.00
PT MATRA RODA PIRANTI 2,potato q rasa rumput laut,4,IDR 20000.00
PT MATRA RODA PIRANTI 2,MILKU COKLAT 200ML,2,IDR 10000.00
PT MATRA RODA PIRANTI 2,CROISANT 60 GRAM,4,IDR 40000.00
PT MATRA RODA PIRANTI 2,AW 250ML,2,IDR 20000.00
PT MATRA RODA PIRANTI 2,LARUTAN CAP KAKI TIGA LECI,1,IDR 10000.00
PT MATRA RODA PIRANTI 2,mayasi paw,6,IDR 36000.00
PT MATRA RODA PIRANTI 2,Nescafe CappuccIno 240 ML,2,IDR 26000.00
PT MATRA RODA PIRANTI 2,yoritos,1,IDR 6000.00
PT MATRA RODA PIRANTI 2,sunkist water orange,4,IDR 35000.00
PT MATRA RODA PIRANTI 2,Hydro Coco 250ML,8,IDR 80000.00
PT MATRA RODA PIRANTI 2,MILO ORIGINAL 220ML,1,IDR 13000.00
PT MATRA RODA PIRANTI 2,Beng Beng Maxx,1,IDR 7000.00
PT MATRA RODA PIRANTI 2,potato q rasa sosis meksiko,2,IDR 10000.00
PT MATRA RODA PIRANTI 2,Spix mi goreng,1,IDR 6500.00
PT MATRA RODA PIRANTI 2,SPRITE KALENG 250ML,4,IDR 32000.00
PT MATRA RODA PIRANTI 2,SUKRO OVEN 25 GRAM,1,IDR 6000.00
PT MATRA RODA PIRANTI 2,Kopiko Lucky Day 180 ML,1,IDR 10000.00
