Vending Machine Name,Product,Qty Sold,Sales
PT SINERGI,Mie Sedaap Soto,20,IDR 196000.00
PT SINERGI,MIE SEDAP CUP RAWIT BINGIT,3,IDR 27000.00
PT SINERGI,MIE SEDAP CUP GORENG,12,IDR 104000.00
PT SINERGI,Groovy coffee beer,5,IDR 55000.00
PT SINERGI,MIE SEDAAP SELECTION KOREAN SPICY,7,IDR 64000.00
PT SINERGI,SUKRO OVEN 25 GRAM,16,IDR 86000.00
PT SINERGI,yoritos,9,IDR 54000.00
PT SINERGI,NESCAFE ICE BLACK,11,IDR 140000.00
PT SINERGI,potato q rasa sosis meksiko,4,IDR 20000.00
PT SINERGI,Nescafe CappuccIno 240 ML,4,IDR 52000.00
PT SINERGI,Teh Pucuk 350ML,32,IDR 208500.80
PT SINERGI,LARUTAN CAP KAKI TIGA LECI,7,IDR 57400.00
PT SINERGI,TEH SEJUK,7,IDR 44000.00
PT SINERGI,POCARI SWEAT 350ML,22,IDR 200000.00
PT SINERGI,SPRITE KALENG 250ML,17,IDR 136000.00
PT SINERGI,Tik Tak Original 90 GRAM,5,IDR 40000.00
PT SINERGI,CIMORY MARIE REGAL,11,IDR 107000.00
PT SINERGI,INACO MINI JELLY AND PUDDING,1,IDR 8000.00
PT SINERGI,MILKU COKLAT 200ML,2,IDR 10000.00
PT SINERGI,CIMORY COKLAT 250ML,11,IDR 118000.00
PT SINERGI,MILKU STRAWBERRY,3,IDR 15000.00
PT SINERGI,YOU C1000 orange water 500ML,18,IDR 212000.00
PT SINERGI,POKKA LYCHEE TEA,10,IDR 90000.00
PT SINERGI,Beng Beng Maxx,5,IDR 34000.00
PT SINERGI,MILO ORIGINAL 220ML,10,IDR 130000.00
PT SINERGI,FANTA KALENG 330ML,8,IDR 80000.00
PT SINERGI,POTAKREZ sapi panggang,2,IDR 10000.00
PT SINERGI,Coca cola kaleng 250ml,13,IDR 104000.00
PT SINERGI,CIMORY MATCHA,6,IDR 60000.00
PT SINERGI,Pulpy Orange 300ML,13,IDR 78000.00
PT SINERGI,GO POTATO,3,IDR 21000.00
PT SINERGI,CIMORY ALMOND,1,IDR 9000.00
PT SINERGI,EGG ROLL STRAWBERRY,2,IDR 14000.00
PT SINERGI,french fries 2000,7,IDR 49000.00
PT SINERGI,Nescafe Latte 240 ML,9,IDR 108000.00
PT SINERGI,KUSUKA AYAM MADU,7,IDR 48000.00
PT SINERGI,Go potato cheese,2,IDR 18000.00
PT SINERGI,Spix mi goreng,4,IDR 25500.00
PT SINERGI,MONDE PIE MINI,1,IDR 12000.00
PT SINERGI,MONDE SERENA SNACK 25 GRAM,7,IDR 42000.00
PT SINERGI,Hydro Coco 250ML,4,IDR 40000.00
PT SINERGI,CROISANT 60 GRAM,3,IDR 27000.00
PT SINERGI,POTATO CHIP  50G,5,IDR 100000.00
PT SINERGI,PANDA CINCAU JELLY,2,IDR 20000.00
PT SINERGI,Astor Double Coklat Kecil 40 GRAM,3,IDR 30000.00
PT SINERGI,TWISTKO,1,IDR 10000.00
