Vending Machine Name,Product,Qty Sold,Sales
PT TIMERINDO,potato q rasa sosis meksiko,5,IDR 25000.00
PT TIMERINDO,CIMORY MARIE REGAL,14,IDR 140000.00
PT TIMERINDO,Beng Beng Maxx,28,IDR 190000.00
PT TIMERINDO,SUKRO OVEN 25 GRAM,12,IDR 70000.00
PT TIMERINDO,Le Mineral 600ML,52,IDR 354500.00
PT TIMERINDO,sunkist water orange,2,IDR 17000.00
PT TIMERINDO,CIMORY COKLAT 250ML,4,IDR 40000.00
PT TIMERINDO,KUSUKA AYAM MADU,23,IDR 126000.00
PT TIMERINDO,Hydro Coco 250ML,10,IDR 120000.00
PT TIMERINDO,MIE SEDAP CUP KARI AYAM SPESIAL,11,IDR 107000.00
PT TIMERINDO,mayasi paw,8,IDR 48000.00
PT TIMERINDO,POTAKREZ sapi panggang,2,IDR 11000.00
PT TIMERINDO,CIMORY ALMOND,11,IDR 110000.00
PT TIMERINDO,MIE SEDAP CUP RAWIT BINGIT,9,IDR 87000.00
PT TIMERINDO,Pulpy Orange 300ML,8,IDR 64000.00
PT TIMERINDO,Tik Tak Sapi Panggang 90 GRAM,5,IDR 50000.00
PT TIMERINDO,INACO MINI PUDDING,7,IDR 39500.00
PT TIMERINDO,yoritos,3,IDR 18000.00
PT TIMERINDO,MONDE PIE MINI,5,IDR 60000.00
PT TIMERINDO,bro tatoz rasa rumput laut,5,IDR 35000.00
PT TIMERINDO,Tik Tak Original 90 GRAM,5,IDR 45000.00
PT TIMERINDO,MIE SEDAP CUP GORENG,12,IDR 120000.00
PT TIMERINDO,Mie Sedaap Soto,3,IDR 30000.00
PT TIMERINDO,INACO IM COCO LECI,1,IDR 11000.00
PT TIMERINDO,TEH SEJUK,3,IDR 18000.00
PT TIMERINDO,POCARI SWEAT 350ML,3,IDR 30000.00
PT TIMERINDO,PANDA CINCAU JELLY,3,IDR 28000.00
PT TIMERINDO,Kopiko Lucky Day 180 ML,3,IDR 27000.00
PT TIMERINDO,CIMORY STRAWBERY 250ML,3,IDR 30000.00
PT TIMERINDO,french fries 2000,5,IDR 26500.00
PT TIMERINDO,Go potato cheese,5,IDR 45000.00
PT TIMERINDO,Teh Pucuk 350ML,11,IDR 71000.00
PT TIMERINDO,CIMORY MATCHA,5,IDR 50000.00
PT TIMERINDO,MONDE SERENA SNACK 25 GRAM,12,IDR 72000.00
PT TIMERINDO,LARUTAN CAP KAKI TIGA LECI,3,IDR 27000.00
PT TIMERINDO,Coca Cola Botol 390ML,2,IDR 14000.00
PT TIMERINDO,SPRITE KALENG 250ML,2,IDR 18000.00
PT TIMERINDO,Astor Double Coklat Kecil 40 GRAM,10,IDR 100000.00
PT TIMERINDO,EGG ROLL STRAWBERRY,12,IDR 84000.00
PT TIMERINDO,CROISANT 60 GRAM,10,IDR 90000.00
PT TIMERINDO,Nescafe Latte 240 ML,1,IDR 13000.00
PT TIMERINDO,MILO ORIGINAL 220ML,3,IDR 45000.00
PT TIMERINDO,Oi Ocha Green Tea 300 ml,2,IDR 20000.00
