Vending Machine Name,Product,Qty Sold,Sales
PT TOA COATING 1,AW 250ML,1,IDR 8000.00
PT TOA COATING 1,Nescafe CappuccIno 240 ML,4,IDR 48000.00
PT TOA COATING 1,MILKU COKLAT 200ML,6,IDR 24000.00
PT TOA COATING 1,Teh Pucuk 350ML,5,IDR 28000.00
PT TOA COATING 1,KRIZZI COKLAT,2,IDR 16000.00
PT TOA COATING 1,Panda Grass Jely dan Selasih 350ML,4,IDR 33000.00
PT TOA COATING 1,Hydro Coco 250ML,9,IDR 88500.00
PT TOA COATING 1,NESCAFE ICE BLACK,4,IDR 48000.00
PT TOA COATING 1,Spix mi goreng,8,IDR 48500.00
PT TOA COATING 1,MIE SEDAP CUP RAWIT BINGIT,6,IDR 46000.00
PT TOA COATING 1,Coca cola kaleng 250ml,3,IDR 21000.00
PT TOA COATING 1,CIMORY COKLAT 250ML,9,IDR 79500.00
PT TOA COATING 1,Kopiko Lucky Day 180 ML,8,IDR 67000.00
PT TOA COATING 1,POKKA LYCHEE TEA,1,IDR 8000.00
PT TOA COATING 1,CIMORY MATCHA,6,IDR 50000.00
PT TOA COATING 1,CIMORY MARIE REGAL,3,IDR 28000.00
PT TOA COATING 1,TWISTKO,4,IDR 38000.00
PT TOA COATING 1,Nescafe Latte 240 ML,4,IDR 48000.00
PT TOA COATING 1,YOU C1000 orange water 500ML,4,IDR 46000.00
PT TOA COATING 1,SPRITE BOTOL 390ML,1,IDR 8000.00
PT TOA COATING 1,mayasi paw,1,IDR 6000.00
PT TOA COATING 1,POTAKREZ sapi panggang,4,IDR 20000.00
PT TOA COATING 1,yoritos,3,IDR 18000.00
PT TOA COATING 1,Beng Beng Maxx,6,IDR 36000.00
PT TOA COATING 1,MILO CALSIUM KALENG 240 ML,2,IDR 22000.00
PT TOA COATING 1,MILKU STRAWBERRY,3,IDR 12000.00
PT TOA COATING 1,MONDE EGG ROLL CHOCOLATE,6,IDR 34000.00
PT TOA COATING 1,Mie Sedaap Soto,3,IDR 30000.00
PT TOA COATING 1,french fries 2000,5,IDR 26500.00
PT TOA COATING 1,indocafe latte goya,1,IDR 10000.00
PT TOA COATING 1,LARUTAN CAP KAKI TIGA JAMBU BIJI,2,IDR 18000.00
PT TOA COATING 1,MONDE SERENA SNACK 25 GRAM,5,IDR 30000.00
PT TOA COATING 1,MIE SEDAAP SELECTION KOREAN SPICY,2,IDR 18000.00
PT TOA COATING 1,PANDA CINCAU JELLY,2,IDR 16000.00
PT TOA COATING 1,POCARI SWEAT 350ML,1,IDR 8000.00
PT TOA COATING 1,MIE SEDAP CUP GORENG,3,IDR 24000.00
PT TOA COATING 1,iyes mix,1,IDR 5000.00
PT TOA COATING 1,LARUTAN CAP KAKI TIGA LECI,1,IDR 9000.00
PT TOA COATING 1,LE MINERALE 2,1,IDR 7000.00
