Vending Machine Name,Product,Qty Sold,Sales
PULOMAS 1,EGG ROLL CHEESE,3,IDR 24000.00
PULOMAS 1,KRIZZI COKLAT,5,IDR 45000.00
PULOMAS 1,CIMORY MARIE REGAL,5,IDR 50000.00
PULOMAS 1,FANTA KALENG 330ML,6,IDR 60000.00
PULOMAS 1,MONDE SERENA SNACK 25 GRAM,6,IDR 36000.00
PULOMAS 1,KUSUKA AYAM MADU,2,IDR 8000.00
PULOMAS 1,INACO IM COCO LECI,3,IDR 30000.00
PULOMAS 1,WALENS BLUEBERRY SOES,2,IDR 28000.00
PULOMAS 1,TEH SEJUK,11,IDR 77000.00
PULOMAS 1,mayasi paw,2,IDR 12000.00
PULOMAS 1,Beng Beng Maxx,7,IDR 48000.00
PULOMAS 1,CIMORY MATCHA,6,IDR 60000.00
PULOMAS 1,POCARI SWEAT 350ML,5,IDR 46000.00
PULOMAS 1,Lasegar leci lemon,1,IDR 10000.00
PULOMAS 1,AQUA 600ml,4,IDR 28000.00
PULOMAS 1,Kopiko Lucky Day 180 ML,5,IDR 50000.00
PULOMAS 1,Mie Sedaap Soto,3,IDR 30000.00
PULOMAS 1,SPRITE KALENG 250ML,7,IDR 56000.00
PULOMAS 1,POKKA LYCHEE TEA,4,IDR 36000.00
PULOMAS 1,LASEGAR LEMON,2,IDR 18000.00
PULOMAS 1,MIE SEDAP CUP GORENG,6,IDR 60000.00
PULOMAS 1,Sedap selection cup,6,IDR 60000.00
PULOMAS 1,Tik Tak Original 90 GRAM,4,IDR 28000.00
PULOMAS 1,NESCAFE ICE BLACK,9,IDR 115000.00
PULOMAS 1,Le Mineral 600ML,14,IDR 89000.00
PULOMAS 1,Nescafe CappuccIno 240 ML,5,IDR 60000.00
PULOMAS 1,potato q rasa sosis meksiko,4,IDR 24000.00
PULOMAS 1,indocafe latte mandehling,2,IDR 16000.00
PULOMAS 1,CROISANT 60 GRAM,14,IDR 126000.00
PULOMAS 1,MONDE PIE MINI,5,IDR 53400.00
PULOMAS 1,Coca cola kaleng 250ml,5,IDR 35000.00
PULOMAS 1,AW 250ML,1,IDR 10000.00
PULOMAS 1,MIE SEDAP CUP RAWIT BINGIT,3,IDR 30000.00
PULOMAS 1,SUKRO OVEN 25 GRAM,4,IDR 22000.00
PULOMAS 1,INACO MINI PUDDING,5,IDR 25000.00
PULOMAS 1,MILKU COKLAT 200ML,4,IDR 20000.00
PULOMAS 1,MILO ORIGINAL 220ML,5,IDR 65000.00
PULOMAS 1,Nescafe Latte 240 ML,6,IDR 72000.00
PULOMAS 1,CIMORY COKLAT 250ML,6,IDR 60000.00
PULOMAS 1,Hydro Coco 250ML,2,IDR 20000.00
PULOMAS 1,INACO MINI JELLY AND PUDDING,1,IDR 9000.00
PULOMAS 1,yoritos,3,IDR 18000.00
PULOMAS 1,fire crackers,1,IDR 5000.00
