Vending Machine Name,Product,Qty Sold,Sales
REGAL STUDIO,INACO IM COCO LECI,3,IDR 27000.00
REGAL STUDIO,SUKRO OVEN 25 GRAM,8,IDR 47000.00
REGAL STUDIO,POKKA LYCHEE TEA,5,IDR 45000.00
REGAL STUDIO,POCARI SWEAT 350ML,11,IDR 96000.00
REGAL STUDIO,Piattos rasa sapi panggang,2,IDR 18000.00
REGAL STUDIO,CIMORY COKLAT 250ML,6,IDR 60000.00
REGAL STUDIO,CIMORY MARIE REGAL,4,IDR 36000.00
REGAL STUDIO,Hydro Coco 250ML,3,IDR 27000.00
REGAL STUDIO,POKKA LEMON TEA,2,IDR 18000.00
REGAL STUDIO,INACO COCO MELON,2,IDR 24000.00
REGAL STUDIO,LARUTAN CAP KAKI TIGA LECI,6,IDR 60000.00
REGAL STUDIO,Nescafe CappuccIno 240 ML,1,IDR 14000.00
REGAL STUDIO,NESCAFE ICE BLACK,3,IDR 33000.00
REGAL STUDIO,CROISANT 60 GRAM,6,IDR 53000.00
REGAL STUDIO,Coca cola kaleng 250ml,3,IDR 27000.00
REGAL STUDIO,Tik Tak Original 90 GRAM,3,IDR 24000.00
REGAL STUDIO,Tik Tak Sapi Panggang 90 GRAM,3,IDR 24000.00
REGAL STUDIO,CIMORY MATCHA,2,IDR 20000.00
REGAL STUDIO,Beng Beng Maxx,4,IDR 23000.00
REGAL STUDIO,Lasegar leci lemon,3,IDR 24000.00
REGAL STUDIO,french fries 2000,5,IDR 29000.00
REGAL STUDIO,SPRITE KALENG 250ML,6,IDR 48000.00
REGAL STUDIO,MILKU STRAWBERRY,3,IDR 15000.00
REGAL STUDIO,MIE SEDAAP SELECTION KOREAN SPICY,3,IDR 30000.00
REGAL STUDIO,LASEGAR LEMON,4,IDR 36000.00
REGAL STUDIO,AW 250ML,1,IDR 10000.00
REGAL STUDIO,sunkist water orange,2,IDR 17000.00
REGAL STUDIO,MILO CALSIUM KALENG 240 ML,4,IDR 56000.00
REGAL STUDIO,TEH SEJUK,5,IDR 31000.00
REGAL STUDIO,Go potato cheese,2,IDR 18000.00
REGAL STUDIO,WALENS BLUEBERRY SOES,3,IDR 45000.00
REGAL STUDIO,MILKU COKLAT 200ML,2,IDR 12000.00
REGAL STUDIO,SUNKIST LEMON C,2,IDR 16000.00
REGAL STUDIO,mayasi paw,4,IDR 24000.00
REGAL STUDIO,YOU C1000 orange water 500ML,9,IDR 108000.00
REGAL STUDIO,Teh Pucuk 350ML,4,IDR 26500.00
REGAL STUDIO,EGG ROLL STRAWBERRY,2,IDR 14000.00
REGAL STUDIO,Kopiko Lucky Day 180 ML,1,IDR 8000.00
REGAL STUDIO,MONDE PIE MINI,1,IDR 10000.00
REGAL STUDIO,Kacang Mayasi,3,IDR 15000.00
REGAL STUDIO,MIE SEDAP CUP KARI AYAM SPESIAL,1,IDR 10000.00
REGAL STUDIO,MONDE SERENA SNACK 25 GRAM,5,IDR 30000.00
REGAL STUDIO,FANTA KALENG 250ML,5,IDR 45000.00
REGAL STUDIO,Pulpy Orange 300ML,2,IDR 12000.00
REGAL STUDIO,Nescafe Latte 240 ML,2,IDR 26000.00
REGAL STUDIO,MONDE EGG ROLL CHOCOLATE,2,IDR 14000.00
