Vending Machine Name,Product,Qty Sold,Sales
ROYAL ENFIELD ANTASARI,KRIZZI COKLAT,6,IDR 48000.00
ROYAL ENFIELD ANTASARI,FANTA KALENG 250ML,4,IDR 36000.00
ROYAL ENFIELD ANTASARI,Spix mi goreng,5,IDR 30000.00
ROYAL ENFIELD ANTASARI,Mie Sedaap Soto,4,IDR 38000.00
ROYAL ENFIELD ANTASARI,MIE SEDAP CUP GORENG,6,IDR 58000.00
ROYAL ENFIELD ANTASARI,Beng Beng Maxx,11,IDR 73000.00
ROYAL ENFIELD ANTASARI,TWISTKO,1,IDR 9000.00
ROYAL ENFIELD ANTASARI,Nescafe Latte 240 ML,10,IDR 112800.00
ROYAL ENFIELD ANTASARI,LARUTAN CAP KAKI TIGA LECI,9,IDR 72000.00
ROYAL ENFIELD ANTASARI,AQUA 600ml,1,IDR 7000.00
ROYAL ENFIELD ANTASARI,CIMORY MATCHA,5,IDR 44000.00
ROYAL ENFIELD ANTASARI,YOU C1000 orange water 500ML,7,IDR 96000.00
ROYAL ENFIELD ANTASARI,POCARI SWEAT 350ML,7,IDR 62000.00
ROYAL ENFIELD ANTASARI,Coca cola kaleng 250ml,7,IDR 63000.00
ROYAL ENFIELD ANTASARI,CIMORY MARIE REGAL,3,IDR 26000.00
ROYAL ENFIELD ANTASARI,POTATO CHIP  50G,6,IDR 112000.00
ROYAL ENFIELD ANTASARI,Le Mineral 600ML,28,IDR 178000.00
ROYAL ENFIELD ANTASARI,yoritos,5,IDR 30000.00
ROYAL ENFIELD ANTASARI,SUKRO OVEN 25 GRAM,9,IDR 49000.00
ROYAL ENFIELD ANTASARI,MONDE SERENA SNACK 25 GRAM,8,IDR 48000.00
ROYAL ENFIELD ANTASARI,SPRITE KALENG 250ML,1,IDR 9000.00
ROYAL ENFIELD ANTASARI,MILKU COKLAT 200ML,4,IDR 20000.00
ROYAL ENFIELD ANTASARI,CIMORY STRAWBERY 250ML,4,IDR 36000.00
ROYAL ENFIELD ANTASARI,POCARI SWEAT KALENG/CAN 330ML,3,IDR 28000.00
ROYAL ENFIELD ANTASARI,LARUTAN CAP KAKI TIGA JAMBU BIJI,3,IDR 24000.00
ROYAL ENFIELD ANTASARI,MILKU STRAWBERRY,4,IDR 21000.00
ROYAL ENFIELD ANTASARI,mayasi paw,4,IDR 24000.00
ROYAL ENFIELD ANTASARI,KUSUKA AYAM MADU,4,IDR 23000.00
ROYAL ENFIELD ANTASARI,Hydro Coco 250ML,10,IDR 100000.00
ROYAL ENFIELD ANTASARI,french fries 2000,3,IDR 17000.00
ROYAL ENFIELD ANTASARI,POTAKREZ sapi panggang,3,IDR 18000.00
ROYAL ENFIELD ANTASARI,CIMORY COKLAT 250ML,2,IDR 21000.00
ROYAL ENFIELD ANTASARI,INACO MINI JELLY AND PUDDING,1,IDR 9000.00
ROYAL ENFIELD ANTASARI,Teh Pucuk 350ML,12,IDR 74000.00
ROYAL ENFIELD ANTASARI,MONDE EGG ROLL CHOCOLATE,2,IDR 14000.00
ROYAL ENFIELD ANTASARI,MIE SEDAP CUP KARI AYAM SPESIAL,3,IDR 30000.00
ROYAL ENFIELD ANTASARI,WALENS BLUEBERRY SOES,6,IDR 90000.00
ROYAL ENFIELD ANTASARI,Nescafe CappuccIno 240 ML,3,IDR 36000.00
ROYAL ENFIELD ANTASARI,SPRITE BOTOL 390ML,4,IDR 32000.00
ROYAL ENFIELD ANTASARI,INACO IM COCO LECI,2,IDR 22000.00
ROYAL ENFIELD ANTASARI,Kopiko Lucky Day 180 ML,3,IDR 27000.00
ROYAL ENFIELD ANTASARI,LASEGAR LEMON,2,IDR 18000.00
ROYAL ENFIELD ANTASARI,NESCAFE ICE BLACK,2,IDR 26000.00
ROYAL ENFIELD ANTASARI,CROISANT 60 GRAM,5,IDR 45000.00
ROYAL ENFIELD ANTASARI,MIE SEDAAP SELECTION KOREAN SPICY,1,IDR 10000.00
ROYAL ENFIELD ANTASARI,MILO ORIGINAL 220ML,3,IDR 45000.00
