Vending Machine Name,Product,Qty Sold,Sales
RSCM 3,Beng Beng Maxx,19,IDR 138000.00
RSCM 3,potato q rasa rumput laut,2,IDR 10000.00
RSCM 3,INACO IM COCO LECI,9,IDR 99000.00
RSCM 3,LE MINERALE 2,2,IDR 12000.00
RSCM 3,Mie Sedaap Soto,5,IDR 52000.00
RSCM 3,MILKU STRAWBERRY,5,IDR 26000.00
RSCM 3,FANTA KALENG 250ML,5,IDR 40000.00
RSCM 3,potato q rasa sosis meksiko,2,IDR 10000.00
RSCM 3,Tik Tak Sapi Panggang 90 GRAM,4,IDR 32000.00
RSCM 3,POCARI SWEAT 350ML,25,IDR 242000.00
RSCM 3,Hydro Coco 250ML,18,IDR 214000.00
RSCM 3,MILO ORIGINAL 220ML,8,IDR 120000.00
RSCM 3,CIMORY MATCHA,10,IDR 107000.00
RSCM 3,GO POTATO,6,IDR 48000.00
RSCM 3,NESCAFE ICE BLACK,6,IDR 78000.00
RSCM 3,LARUTAN CAP KAKI TIGA LECI,8,IDR 72000.00
RSCM 3,YOU C1000 orange water 500ML,23,IDR 285000.00
RSCM 3,POTAKREZ sapi panggang,9,IDR 45000.00
RSCM 3,iyes mix,3,IDR 15000.00
RSCM 3,TEH SEJUK,3,IDR 18000.00
RSCM 3,Piattos 35GRAM,2,IDR 14000.00
RSCM 3,mayasi paw,3,IDR 24000.00
RSCM 3,MIE SEDAAP AYAM JERIT,4,IDR 43000.00
RSCM 3,bro tatoz rasa rumput laut,4,IDR 28000.00
RSCM 3,AW 250ML,5,IDR 48000.00
RSCM 3,POKKA LEMON TEA,9,IDR 90000.00
RSCM 3,Spix mi goreng,10,IDR 70000.00
RSCM 3,MONDE SERENA SNACK 25 GRAM,7,IDR 44000.00
RSCM 3,Teh Pucuk 350ML,3,IDR 19500.00
RSCM 3,POKKA LYCHEE TEA,15,IDR 150000.00
RSCM 3,french fries 2000,6,IDR 42000.00
RSCM 3,CIMORY MARIE REGAL,1,IDR 11000.00
RSCM 3,Tic tic rasa bawang asli,2,IDR 16000.00
RSCM 3,MIE SEDAP CUP GORENG,4,IDR 43000.00
RSCM 3,Kacang Mayasi,2,IDR 30000.00
RSCM 3,KUSUKA AYAM MADU,4,IDR 26000.00
RSCM 3,CIMORY ALMOND,6,IDR 66000.00
RSCM 3,ena`o,2,IDR 26000.00
RSCM 3,INACO COCO MELON,5,IDR 60000.00
RSCM 3,Nescafe Latte 240 ML,9,IDR 108000.00
RSCM 3,CROISANT 60 GRAM,5,IDR 45000.00
RSCM 3,Lasegar leci lemon,8,IDR 72000.00
RSCM 3,Coca cola kaleng 250ml,5,IDR 45000.00
RSCM 3,LASEGAR LEMON,1,IDR 9000.00
RSCM 3,Kopiko Lucky Day 180 ML,6,IDR 60000.00
RSCM 3,CIMORY COKLAT 250ML,9,IDR 99000.00
RSCM 3,MONDE EGG ROLL CHOCOLATE,2,IDR 14000.00
RSCM 3,TWISTKO,1,IDR 9000.00
RSCM 3,kinder bueno 43 g,5,IDR 100000.00
RSCM 3,SUKRO OVEN 25 GRAM,5,IDR 30000.00
RSCM 3,PANDA CINCAU JELLY,5,IDR 50000.00
RSCM 3,POCARI SWEAT KALENG/CAN 330ML,4,IDR 40000.00
RSCM 3,Astor Double Coklat Kecil 40 GRAM,4,IDR 40000.00
