Vending Machine Name,Product,Qty Sold,Sales
RS DINDA,MIE SEDAP CUP GORENG,3,IDR 26000.00
RS DINDA,CIMORY ALMOND,13,IDR 125000.00
RS DINDA,KRIZZI COKLAT,4,IDR 30000.00
RS DINDA,MONDE EGG ROLL CHOCOLATE,9,IDR 54000.00
RS DINDA,MILKU STRAWBERRY,10,IDR 50000.00
RS DINDA,POCARI SWEAT KALENG 330ML,1,IDR 0.00
RS DINDA,POCARI SWEAT 350ML,21,IDR 190000.00
RS DINDA,Teh Pucuk 350ML,20,IDR 119000.00
RS DINDA,Le Mineral 600ML,47,IDR 296000.00
RS DINDA,Kopiko Lucky Day 180 ML,14,IDR 112000.00
RS DINDA,KUSUKA AYAM MADU,16,IDR 96000.00
RS DINDA,CIMORY MARIE REGAL,10,IDR 100000.00
RS DINDA,CIMORY COKLAT 250ML,18,IDR 180000.00
RS DINDA,potato q rasa sosis meksiko,4,IDR 20000.00
RS DINDA,Oi Ocha Green Tea 300 ml,12,IDR 120000.00
RS DINDA,Tik Tak Original 90 GRAM,2,IDR 16000.00
RS DINDA,CIMORY MATCHA,23,IDR 218000.00
RS DINDA,yoritos,8,IDR 48000.00
RS DINDA,Beng Beng Maxx,24,IDR 164000.00
RS DINDA,POTATO CHIP  50G,4,IDR 65000.00
RS DINDA,INACO COCO MELON,4,IDR 48000.00
RS DINDA,MILKU COKLAT 200ML,10,IDR 50000.00
RS DINDA,SUKRO OVEN 25 GRAM,5,IDR 20000.00
RS DINDA,TEH SEJUK,14,IDR 87000.00
RS DINDA,LARUTAN CAP KAKI TIGA LECI,5,IDR 40000.00
RS DINDA,MIE SEDAP CUP KARI AYAM SPESIAL,5,IDR 45000.00
RS DINDA,Kacang Mayasi,7,IDR 39000.00
RS DINDA,fire crackers sambal mangga,5,IDR 25000.00
RS DINDA,SUNKIST LEMON C,9,IDR 63000.00
RS DINDA,INACO MINI PUDDING,19,IDR 110500.00
RS DINDA,MONDE PIE MINI,4,IDR 40000.00
RS DINDA,iyes mix,4,IDR 24000.00
RS DINDA,POTAKREZ sapi panggang,4,IDR 21000.00
RS DINDA,Lasegar leci lemon,5,IDR 50000.00
RS DINDA,mayasi paw,6,IDR 36000.00
RS DINDA,MONDE SERENA SNACK 25 GRAM,12,IDR 71000.00
RS DINDA,CIMORY STRAWBERY 250ML,18,IDR 180000.00
RS DINDA,Spix mi goreng,9,IDR 55000.00
RS DINDA,french fries 2000,11,IDR 75000.00
RS DINDA,TWISTKO,7,IDR 70000.00
RS DINDA,LASEGAR LEMON,5,IDR 50000.00
RS DINDA,ITO EN OLONG,4,IDR 48000.00
RS DINDA,Astor Double Coklat Kecil 40 GRAM,7,IDR 70000.00
RS DINDA,OATSIDE COKLAT,10,IDR 120000.00
RS DINDA,Hydro Coco 250ML,6,IDR 60000.00
RS DINDA,caffino,7,IDR 70000.00
RS DINDA,WALENS BLUEBERRY SOES,1,IDR 15000.00
RS DINDA,silverqueen bites 30 g,1,IDR 20000.00
RS DINDA,PRINGLES ORIGINAL,1,IDR 20000.00
RS DINDA,POKKA LYCHEE TEA,3,IDR 27000.00
