Vending Machine Name,Product,Qty Sold,Sales
RSIA PRATIWI,MIE SEDAAP SELECTION KOREAN SPICY,2,IDR 18000.00
RSIA PRATIWI,CIMORY COKLAT 250ML,18,IDR 184000.00
RSIA PRATIWI,POCARI SWEAT 350ML,4,IDR 40000.00
RSIA PRATIWI,AQUA 600ml,19,IDR 133000.00
RSIA PRATIWI,mayasi paw,3,IDR 18000.00
RSIA PRATIWI,Tik Tak Sapi Panggang 90 GRAM,3,IDR 27000.00
RSIA PRATIWI,CROISANT 60 GRAM,5,IDR 40000.00
RSIA PRATIWI,Teh Pucuk 350ML,13,IDR 86000.00
RSIA PRATIWI,Beng Beng Maxx,10,IDR 64000.00
RSIA PRATIWI,MILKU COKLAT 200ML,5,IDR 25000.00
RSIA PRATIWI,INACO IM COCO LECI,4,IDR 37600.00
RSIA PRATIWI,EGG ROLL CHEESE,4,IDR 24000.00
RSIA PRATIWI,KUSUKA AYAM MADU,7,IDR 40000.00
RSIA PRATIWI,MIE SEDAP CUP RAWIT BINGIT,2,IDR 16000.00
RSIA PRATIWI,Hydro Coco 250ML,6,IDR 60000.00
RSIA PRATIWI,CIMORY MATCHA,9,IDR 86000.00
RSIA PRATIWI,CIMORY MARIE REGAL,5,IDR 44000.00
RSIA PRATIWI,AW 250ML,5,IDR 46000.00
RSIA PRATIWI,Nescafe CappuccIno 240 ML,3,IDR 33200.00
RSIA PRATIWI,GEMEZ CHILY SPICY 30GRAM,1,IDR 4500.00
RSIA PRATIWI,TWISTKO,7,IDR 63000.00
RSIA PRATIWI,MILKU STRAWBERRY,5,IDR 25000.00
RSIA PRATIWI,YOU C1000 orange water 500ML,8,IDR 91200.00
RSIA PRATIWI,Kopiko Lucky Day 180 ML,2,IDR 18000.00
RSIA PRATIWI,bro tatoz rasa rumput laut,3,IDR 21000.00
RSIA PRATIWI,MILO ORIGINAL 220ML,4,IDR 50400.00
RSIA PRATIWI,SUKRO OVEN 25 GRAM,3,IDR 17000.00
RSIA PRATIWI,Mie Sedaap Soto,1,IDR 8000.00
RSIA PRATIWI,POCARI SWEAT KALENG/CAN 330ML,2,IDR 19000.00
RSIA PRATIWI,LARUTAN CAP KAKI TIGA JAMBU BIJI,1,IDR 9000.00
RSIA PRATIWI,Lasegar leci lemon,2,IDR 16000.00
RSIA PRATIWI,LARUTAN CAP KAKI TIGA LECI,5,IDR 40000.00
RSIA PRATIWI,MONDE SERENA SNACK 25 GRAM,9,IDR 52000.00
RSIA PRATIWI,CIMORY STRAWBERY 250ML,3,IDR 30000.00
RSIA PRATIWI,french fries 2000,5,IDR 25000.00
RSIA PRATIWI,NESCAFE ICE BLACK,2,IDR 25000.00
RSIA PRATIWI,Nescafe Latte 240 ML,4,IDR 48000.00
RSIA PRATIWI,Kacang Mayasi,1,IDR 6000.00
RSIA PRATIWI,LASEGAR LEMON,1,IDR 9000.00
RSIA PRATIWI,SUNKIST LEMON C,2,IDR 14000.00
RSIA PRATIWI,WALLENS CHOCOSHOES,3,IDR 45000.00
RSIA PRATIWI,Spix mi goreng,5,IDR 31000.00
RSIA PRATIWI,TEH SEJUK,2,IDR 13500.00
RSIA PRATIWI,SPRITE BOTOL 390ML,1,IDR 8000.00
RSIA PRATIWI,Le Mineral 600ML,8,IDR 58000.00
RSIA PRATIWI,POTATO CHIP  50G,1,IDR 20000.00
RSIA PRATIWI,Nextar,2,IDR 20000.00
RSIA PRATIWI,Astor Double Coklat Kecil 40 GRAM,3,IDR 30000.00
RSIA PRATIWI,Tic tic rasa bawang asli,1,IDR 8000.00
