Vending Machine Name,Product,Qty Sold,Sales
RS JAKARTA 2,AQUA 600ml,76,IDR 516000.00
RS JAKARTA 2,mayasi paw,3,IDR 21000.00
RS JAKARTA 2,SUKRO OVEN 25 GRAM,35,IDR 187000.00
RS JAKARTA 2,Nescafe Latte 240 ML,11,IDR 132000.00
RS JAKARTA 2,potato q rasa sosis meksiko,5,IDR 25000.00
RS JAKARTA 2,Nescafe CappuccIno 240 ML,3,IDR 36000.00
RS JAKARTA 2,POCARI SWEAT 350ML,15,IDR 144000.00
RS JAKARTA 2,KRIZZI COKLAT,3,IDR 27000.00
RS JAKARTA 2,Beng Beng Maxx,26,IDR 172000.00
RS JAKARTA 2,MIE SEDAAP SELECTION KOREAN SPICY,3,IDR 27000.00
RS JAKARTA 2,CIMORY COKLAT 250ML,22,IDR 228000.00
RS JAKARTA 2,Kacang Mayasi,4,IDR 20000.00
RS JAKARTA 2,WALENS BLUEBERRY SOES,3,IDR 39000.00
RS JAKARTA 2,Hydro Coco 250ML,16,IDR 182000.00
RS JAKARTA 2,CIMORY MARIE REGAL,4,IDR 36000.00
RS JAKARTA 2,INACO MINI JELLY AND PUDDING,17,IDR 136000.00
RS JAKARTA 2,Le Mineral 600ML,13,IDR 78000.00
RS JAKARTA 2,Tik Tak Original 90 GRAM,2,IDR 18000.00
RS JAKARTA 2,CROISANT 60 GRAM,15,IDR 140000.00
RS JAKARTA 2,MONDE SERENA SNACK 25 GRAM,21,IDR 122000.00
RS JAKARTA 2,YOU C1000 orange water 500ML,17,IDR 234000.00
RS JAKARTA 2,POTAKREZ sapi panggang,3,IDR 15000.00
RS JAKARTA 2,INACO IM COCO LECI,2,IDR 22000.00
RS JAKARTA 2,bro tatoz rendang sapi,2,IDR 14000.00
RS JAKARTA 2,bro tatoz bbq korea,2,IDR 14000.00
RS JAKARTA 2,YOUVIT KAFE G,2,IDR 20000.00
RS JAKARTA 2,Teh Pucuk 350ML,22,IDR 132500.00
RS JAKARTA 2,MIE SEDAP CUP GORENG,10,IDR 98000.00
RS JAKARTA 2,Tik Tak Sapi Panggang 90 GRAM,1,IDR 7000.00
RS JAKARTA 2,TEH SEJUK,2,IDR 12000.00
RS JAKARTA 2,Pulpy Orange 300ML,9,IDR 78000.00
RS JAKARTA 2,AW 250ML,7,IDR 70000.00
RS JAKARTA 2,MIE SEDAP CUP RAWIT BINGIT,2,IDR 20000.00
RS JAKARTA 2,MILO CALSIUM KALENG 240 ML,11,IDR 165000.00
RS JAKARTA 2,INACO COCO MELON,2,IDR 24000.00
RS JAKARTA 2,Mie Sedaap Soto,3,IDR 30000.00
RS JAKARTA 2,MIE SEDAP CUP KARI AYAM SPESIAL,1,IDR 10000.00
RS JAKARTA 2,french fries 2000,8,IDR 56000.00
RS JAKARTA 2,Astor Double Coklat Kecil 40 GRAM,7,IDR 66000.00
RS JAKARTA 2,MONDE EGG ROLL CHOCOLATE,2,IDR 14000.00
RS JAKARTA 2,TWISTKO,8,IDR 80000.00
RS JAKARTA 2,Spix mi goreng,4,IDR 26000.00
RS JAKARTA 2,CIMORY MATCHA,3,IDR 30000.00
RS JAKARTA 2,black thunder,2,IDR 12000.00
RS JAKARTA 2,WALLENS CHOCOSHOES,3,IDR 45000.00
