Vending Machine Name,Product,Qty Sold,Sales
RS UI FARMASI,YOU C1000 orange water 500ML,5,IDR 69000.00
RS UI FARMASI,KUSUKA AYAM MADU,7,IDR 40000.00
RS UI FARMASI,MIE SEDAP CUP KARI AYAM SPESIAL,13,IDR 139000.00
RS UI FARMASI,CIMORY MARIE REGAL,5,IDR 54000.00
RS UI FARMASI,POTATO CHIP  50G,1,IDR 20000.00
RS UI FARMASI,Teh Pucuk 350ML,20,IDR 131500.00
RS UI FARMASI,Mie Sedaap Soto,9,IDR 95000.00
RS UI FARMASI,french fries 2000,11,IDR 72000.00
RS UI FARMASI,CIMORY COKLAT 250ML,17,IDR 183000.00
RS UI FARMASI,Nescafe CappuccIno 240 ML,7,IDR 84000.00
RS UI FARMASI,AQUA 600ml,72,IDR 504000.00
RS UI FARMASI,Beng Beng Maxx,6,IDR 40000.00
RS UI FARMASI,CIMORY ALMOND,3,IDR 31000.00
RS UI FARMASI,Coca cola kaleng 250ml,6,IDR 54000.00
RS UI FARMASI,SPRITE BOTOL 390ML,3,IDR 27000.00
RS UI FARMASI,EGG ROLL CHEESE,3,IDR 21000.00
RS UI FARMASI,bro tatoz rasa rumput laut,4,IDR 28000.00
RS UI FARMASI,MIE SEDAAP SELECTION KOREAN SPICY,10,IDR 111000.00
RS UI FARMASI,Coca Cola Botol 390ML,1,IDR 9000.00
RS UI FARMASI,POKKA LYCHEE TEA,7,IDR 70000.00
RS UI FARMASI,Hydro Coco 250ML,16,IDR 192000.00
RS UI FARMASI,SUKRO OVEN 25 GRAM,16,IDR 89000.00
RS UI FARMASI,TEH SEJUK,7,IDR 43000.00
RS UI FARMASI,potato q rasa sosis meksiko,5,IDR 25000.00
RS UI FARMASI,WALLENS CHOCOSHOES,11,IDR 165000.00
RS UI FARMASI,FANTA KALENG 250ML,3,IDR 27000.00
RS UI FARMASI,Nescafe Latte 240 ML,13,IDR 156000.00
RS UI FARMASI,Tik Tak Original 90 GRAM,5,IDR 50000.00
RS UI FARMASI,INACO IM COCO LECI,6,IDR 72000.00
RS UI FARMASI,SUNKIST LEMON C,5,IDR 45000.00
RS UI FARMASI,Kopiko Lucky Day 180 ML,4,IDR 40000.00
RS UI FARMASI,NESCAFE ICE BLACK,2,IDR 26000.00
RS UI FARMASI,MIE SEDAP CUP GORENG,8,IDR 84000.00
RS UI FARMASI,potato q rasa rumput laut,9,IDR 49000.00
RS UI FARMASI,POCARI SWEAT 350ML,8,IDR 80000.00
RS UI FARMASI,Kacang Mayasi,5,IDR 25000.00
RS UI FARMASI,yoritos,2,IDR 12000.00
RS UI FARMASI,iyes mix,3,IDR 18000.00
RS UI FARMASI,MONDE EGG ROLL CHOCOLATE,5,IDR 35000.00
RS UI FARMASI,sunkist water orange,3,IDR 27000.00
RS UI FARMASI,Oi Ocha Green Tea 300 ml,1,IDR 10000.00
RS UI FARMASI,Astor Double Coklat Kecil 40 GRAM,1,IDR 10000.00
RS UI FARMASI,AW 250ML,2,IDR 24000.00
RS UI FARMASI,MILO ORIGINAL 220ML,5,IDR 75000.00
RS UI FARMASI,TWISTKO,2,IDR 20000.00
RS UI FARMASI,ITO EN OLONG,1,IDR 13000.00
RS UI FARMASI,fire crackers sambal mangga,1,IDR 5000.00
RS UI FARMASI,POKKA LEMON TEA,1,IDR 10000.00
