Vending Machine Name,Product,Qty Sold,Sales
RS UI IGD,SUNKIST LEMON C,1,IDR 9000.00
RS UI IGD,CIMORY MARIE REGAL,18,IDR 193000.00
RS UI IGD,Beng Beng Maxx,34,IDR 232000.00
RS UI IGD,INACO IM COCO LECI,5,IDR 59000.00
RS UI IGD,ITO EN OLONG,9,IDR 117000.00
RS UI IGD,fire crackers sambal mangga,4,IDR 20000.00
RS UI IGD,AQUA 600ml,99,IDR 693000.00
RS UI IGD,french fries 2000,22,IDR 151500.00
RS UI IGD,YOU C1000 orange water 500ML,24,IDR 360000.00
RS UI IGD,Nescafe CappuccIno 240 ML,15,IDR 225000.00
RS UI IGD,KUSUKA AYAM MADU,15,IDR 91000.00
RS UI IGD,POTATO CHIP  50G,6,IDR 108000.00
RS UI IGD,Kacang Mayasi,5,IDR 27000.00
RS UI IGD,OISHI  RASA UDANG,2,IDR 20000.00
RS UI IGD,potato q rasa sosis meksiko,1,IDR 5000.00
RS UI IGD,POTAKREZ sapi panggang,10,IDR 51000.00
RS UI IGD,NESCAFE ICE BLACK,4,IDR 48000.00
RS UI IGD,LARUTAN CAP KAKI TIGA LECI,4,IDR 40000.00
RS UI IGD,TEH SEJUK,2,IDR 12000.00
RS UI IGD,MILKU STRAWBERRY,3,IDR 18000.00
RS UI IGD,Teh Pucuk 350ML,35,IDR 245000.00
RS UI IGD,yoritos,9,IDR 59000.00
RS UI IGD,sunkist water orange,3,IDR 25500.00
RS UI IGD,Hydro Coco 250ML,33,IDR 396000.00
RS UI IGD,CIMORY MATCHA,18,IDR 193000.00
RS UI IGD,mayasi paw,9,IDR 59000.00
RS UI IGD,CIMORY COKLAT 250ML,36,IDR 385000.00
RS UI IGD,GO POTATO,4,IDR 28000.00
RS UI IGD,MILKU COKLAT 200ML,1,IDR 6000.00
RS UI IGD,CIMORY STRAWBERY 250ML,21,IDR 230000.00
RS UI IGD,Tik Tak Original 90 GRAM,1,IDR 10000.00
RS UI IGD,AW 250ML,1,IDR 9000.00
RS UI IGD,yeos minuman sari kedelai,1,IDR 11000.00
RS UI IGD,MILO ORIGINAL 220ML,24,IDR 360000.00
RS UI IGD,Pulpy Orange 300ML,20,IDR 177000.00
RS UI IGD,WALENS BLUEBERRY SOES,8,IDR 120000.00
RS UI IGD,Tic tic rasa bawang asli,7,IDR 56000.00
RS UI IGD,Oi Ocha Green Tea 300 ml,14,IDR 140000.00
RS UI IGD,Nescafe Latte 240 ML,15,IDR 225000.00
RS UI IGD,WALLENS CHOCOSHOES,11,IDR 165000.00
RS UI IGD,Spix mi goreng,17,IDR 115000.00
RS UI IGD,INACO COCO MELON,4,IDR 48000.00
RS UI IGD,EGG ROLL STRAWBERRY,9,IDR 72000.00
RS UI IGD,CROISANT 60 GRAM,5,IDR 50000.00
RS UI IGD,SUKRO OVEN 25 GRAM,12,IDR 72000.00
RS UI IGD,caffino,7,IDR 63000.00
RS UI IGD,AW 330ML,7,IDR 70000.00
RS UI IGD,POKKA LEMON TEA,12,IDR 120000.00
RS UI IGD,POCARI SWEAT 350ML,6,IDR 60000.00
RS UI IGD,Astor Double Coklat Kecil 40 GRAM,6,IDR 60000.00
RS UI IGD,MONDE SERENA SNACK 25 GRAM,10,IDR 68000.00
RS UI IGD,pringles original 42g,1,IDR 20000.00
