Vending Machine Name,Product,Qty Sold,Sales
RS UI LOBBY,MILKU COKLAT 200ML,6,IDR 30000.00
RS UI LOBBY,AQUA 600ml,113,IDR 791000.00
RS UI LOBBY,Lasegar leci lemon,15,IDR 150000.00
RS UI LOBBY,KUSUKA AYAM MADU,9,IDR 54000.00
RS UI LOBBY,TEH SEJUK,5,IDR 32000.00
RS UI LOBBY,potato q rasa sosis meksiko,2,IDR 10000.00
RS UI LOBBY,AW 250ML,26,IDR 260000.00
RS UI LOBBY,Coca cola kaleng 250ml,1,IDR 8000.00
RS UI LOBBY,Go potato cheese,18,IDR 162000.00
RS UI LOBBY,SUKRO OVEN 25 GRAM,14,IDR 80000.00
RS UI LOBBY,mayasi paw,3,IDR 18000.00
RS UI LOBBY,Beng Beng Maxx,30,IDR 226000.00
RS UI LOBBY,CIMORY COKLAT 250ML,46,IDR 485000.00
RS UI LOBBY,Tik Tak Sapi Panggang 90 GRAM,5,IDR 50000.00
RS UI LOBBY,Teh Pucuk 350ML,36,IDR 240000.00
RS UI LOBBY,CIMORY MARIE REGAL,28,IDR 306000.00
RS UI LOBBY,YOU C1000 orange water 500ML,26,IDR 333000.00
RS UI LOBBY,Nescafe CappuccIno 240 ML,1,IDR 15000.00
RS UI LOBBY,bro tatoz rendang sapi,4,IDR 28000.00
RS UI LOBBY,Kopiko Lucky Day 180 ML,21,IDR 196000.00
RS UI LOBBY,Hydro Coco 250ML,25,IDR 294000.00
RS UI LOBBY,EGG ROLL CHEESE,2,IDR 16000.00
RS UI LOBBY,Nextar,16,IDR 152000.00
RS UI LOBBY,CIMORY MATCHA,16,IDR 172000.00
RS UI LOBBY,yoritos,4,IDR 24000.00
RS UI LOBBY,WALENS BLUEBERRY SOES,11,IDR 165000.00
RS UI LOBBY,POTATO CHIP  50G,7,IDR 105000.00
RS UI LOBBY,LARUTAN CAP KAKI TIGA LECI,15,IDR 150000.00
RS UI LOBBY,POTAKREZ sapi panggang,6,IDR 31000.00
RS UI LOBBY,LASEGAR LEMON,1,IDR 9000.00
RS UI LOBBY,Spix mi goreng,22,IDR 134000.00
RS UI LOBBY,french fries 2000,8,IDR 47500.00
RS UI LOBBY,TWISTKO,26,IDR 260000.00
RS UI LOBBY,MONDE SERENA SNACK 25 GRAM,22,IDR 141000.00
RS UI LOBBY,POKKA LYCHEE TEA,17,IDR 170000.00
RS UI LOBBY,MONDE EGG ROLL CHOCOLATE,15,IDR 105000.00
RS UI LOBBY,WALLENS CHOCOSHOES,12,IDR 172000.00
RS UI LOBBY,EGG ROLL STRAWBERRY,17,IDR 119000.00
RS UI LOBBY,potato q rasa rumput laut,10,IDR 50000.00
RS UI LOBBY,Kacang Mayasi,5,IDR 25000.00
RS UI LOBBY,MILO ORIGINAL 220ML,19,IDR 285000.00
RS UI LOBBY,Nescafe Latte 240 ML,9,IDR 135000.00
RS UI LOBBY,POCARI SWEAT 350ML,9,IDR 90000.00
RS UI LOBBY,Tic tic rasa bawang asli,9,IDR 72000.00
RS UI LOBBY,POKKA LEMON TEA,5,IDR 50000.00
RS UI LOBBY,Astor Double Coklat Kecil 40 GRAM,6,IDR 60000.00
RS UI LOBBY,pringles original 42g,2,IDR 40000.00
RS UI LOBBY,silverqueen bites 30 g,1,IDR 20000.00
RS UI LOBBY,milo nuggets 25 g,2,IDR 40000.00
RS UI LOBBY,caffino,3,IDR 30000.00
RS UI LOBBY,PANDA CINCAU JELLY,1,IDR 10000.00
