Vending Machine Name,Product,Qty Sold,Sales
RS UI LT 5,AQUA 600ml,74,IDR 518000.00
RS UI LT 5,CIMORY COKLAT 250ML,24,IDR 252000.00
RS UI LT 5,MILKU COKLAT 200ML,4,IDR 24000.00
RS UI LT 5,MONDE EGG ROLL CHOCOLATE,4,IDR 28000.00
RS UI LT 5,CIMORY MARIE REGAL,20,IDR 208000.00
RS UI LT 5,Teh Pucuk 350ML,33,IDR 228500.00
RS UI LT 5,french fries 2000,25,IDR 166000.00
RS UI LT 5,MILKU STRAWBERRY,6,IDR 30000.00
RS UI LT 5,AW 250ML,10,IDR 94000.00
RS UI LT 5,NESCAFE ICE BLACK,10,IDR 123000.00
RS UI LT 5,Mie Sedaap Soto,9,IDR 96000.00
RS UI LT 5,YOU C1000 orange water 500ML,16,IDR 204000.00
RS UI LT 5,Kacang Mayasi,2,IDR 10000.00
RS UI LT 5,Kopiko Lucky Day 180 ML,2,IDR 18000.00
RS UI LT 5,Tik Tak Sapi Panggang 90 GRAM,5,IDR 45000.00
RS UI LT 5,Nescafe CappuccIno 240 ML,8,IDR 79200.00
RS UI LT 5,JAPOTA SEAWEED,4,IDR 32000.00
RS UI LT 5,SUKRO OVEN 25 GRAM,21,IDR 120000.00
RS UI LT 5,mayasi paw,4,IDR 24000.00
RS UI LT 5,Lasegar leci lemon,6,IDR 60000.00
RS UI LT 5,Spix mi goreng,11,IDR 88000.00
RS UI LT 5,Hydro Coco 250ML,16,IDR 177200.00
RS UI LT 5,INACO IM COCO LECI,2,IDR 20000.00
RS UI LT 5,yoritos,3,IDR 18000.00
RS UI LT 5,POTAKREZ sapi panggang,1,IDR 5000.00
RS UI LT 5,Piattos rasa sapi panggang,4,IDR 36000.00
RS UI LT 5,MIE SEDAP CUP KARI AYAM SPESIAL,7,IDR 70000.00
RS UI LT 5,LARUTAN CAP KAKI TIGA LECI,13,IDR 117000.00
RS UI LT 5,KUSUKA AYAM MADU,18,IDR 108000.00
RS UI LT 5,MIE SEDAP CUP GORENG,9,IDR 86000.00
RS UI LT 5,LASEGAR LEMON,3,IDR 28000.00
RS UI LT 5,MIE SEDAAP SELECTION KOREAN SPICY,1,IDR 8000.00
RS UI LT 5,potato q rasa sosis meksiko,1,IDR 6000.00
RS UI LT 5,Tik Tak Original 90 GRAM,1,IDR 9000.00
RS UI LT 5,sunkist water orange,1,IDR 8500.00
RS UI LT 5,TWISTKO,19,IDR 182000.00
RS UI LT 5,MONDE SERENA SNACK 25 GRAM,15,IDR 96000.00
RS UI LT 5,EGG ROLL STRAWBERRY,8,IDR 48000.00
RS UI LT 5,INACO COCO MELON,6,IDR 77000.00
RS UI LT 5,Coca cola kaleng 250ml,2,IDR 20000.00
RS UI LT 5,CROISANT 60 GRAM,10,IDR 100000.00
RS UI LT 5,POCARI SWEAT 350ML,11,IDR 110000.00
RS UI LT 5,Nescafe Latte 240 ML,6,IDR 78000.00
RS UI LT 5,POKKA LYCHEE TEA,6,IDR 54000.00
RS UI LT 5,ITO EN OLONG,2,IDR 26000.00
RS UI LT 5,Astor Double Coklat Kecil 40 GRAM,6,IDR 59000.00
RS UI LT 5,TEH SEJUK,1,IDR 7000.00
RS UI LT 5,kinder bueno 43 g,2,IDR 40000.00
