Machines,Qty Sold,Sales
AKULAKU,310,2813500.0
ALL SEDAYU,25,204000.0
ARGAPURA 2,164,1356400.0
ARWANA CITRA,240,1924200.0
ASURANSI JIWA AL AMIN,177,1420100.0
AXA 4,51,562000.0
AXA KUNINGAN 1,159,1275700.0
AXA KUNINGAN 2,273,2158500.0
AXA KUNINGAN 3,59,508000.0
BAKRIE AND BROTHER LT 27,191,1653500.0
BNI RAWAMANGUN,193,1725000.1
CBC GALLERY,38,316500.0
CLUSTER ATHALIA 1,123,1114000.0
CLUSTER ATHALIA 2,68,597000.0
CLUSTER BLUERIVER 2,67,573000.0
CV JAYA ABADI 3,209,1747500.0
DIGNITAS ACADEMY,165,1267000.0
GRAHA ELNUSA,262,2144500.0
GRIYA PATRIA GUEST HOUSE,308,2655500.0
HALIM,351,2551000.0
HONDA MT HARYONO,166,1282400.0
HOTEL 101,281,2391500.0
Hotel Hermitage,222,2048000.0
HOTEL HILTON,312,2881500.0
HOTEL KEMPINSKI 1,188,1644000.1
HOTEL MERCURE,883,8666000.0
HOTEL PARK HYATT,824,7363500.0
HOTEL WYNDHAM,200,1839000.0
INDOCEMENT,118,975000.0
INDOCEMENT 10,76,675500.0
INDOCEMENT 2,57,407000.0
INDOCEMENT 3,89,675500.0
INDOCEMENT 4,39,312500.0
INDOCEMENT 5,95,752500.0
INDOCEMENT 6,36,255500.0
INDOCEMENT 7,193,1612500.0
INDOCEMENT 8,107,802000.0
JHL SOLITAIRE,323,3021500.0
KENGSINGTON OFFICE TOWER,399,3544500.0
KLINIK LALITA BEKASI,421,3763500.0
LABSCHOOL 1,354,3079017.0
LABSCHOOL 2,369,3449000.0
LION VILLAGE 1,214,1880300.0
LION VILLAGE 2,286,2388500.0
LIPPO TOWER HOLLAND,249,2121500.0
LIPPO TOWER HOLLAND 2,292,2708800.0
LIPPO TOWER HOLLAND 3,129,1011400.0
MANULIFE KUNINGAN 1,92,732500.0
MANULIFE KUNINGAN 2,113,963500.0
MASJID AL AZHAR BEKASI 1,163,1393500.0
MASJID AT TAIBIN,61,469000.0
MONSTERMART,9,85500.0
NEO SOHO,360,3206500.0
NINE RESIDENCE,560,4994000.0
PADINA SOHO,166,1318500.0
PT BAKER&HUGHES,87,823500.0
PT BASF,183,1472500.0
PT CCIE (INDOCEMENT 11),32,253500.0
PT INDOCEMENT 9 (GEDUNG GMO),113,914500.0
PT MATRA RODA PIRANTI 1,167,1470000.0
PT MATRA RODA PIRANTI 2,138,1036980.0
PT MATRA RODA PIRANTI 3,162,1372700.2
PT SINERGI,355,3113400.8
PT TIMERINDO,343,2726500.0
PT TOA COATING 1,144,1131000.0
PULOMAS 1,204,1774400.0
PULOMAS 2,163,1448999.7
PULOMAS 4,294,2601000.0
REGAL STUDIO,163,1405500.0
ROYAL ENFIELD ANTASARI,236,2010800.0
RS DINDA,471,3678500.0
RS JAKARTA 2,432,3580500.0
RS JAKARTA 3,232,1959500.0
RS UI FARMASI,360,3209500.0
RS UI IGD,650,6197000.0
RS UI LOBBY,732,6647500.0
RS UI LT 5,472,4041400.0
RSCM 1,71,608500.0
RSCM 2,468,4387000.0
RSCM 3,335,3234500.0
RSCM 4,410,3625000.0
RSIA PRATIWI,224,1846400.0
SAMSUNG KUNINGAN 1,60,521000.0
SAMSUNG KUNINGAN 2,129,1153000.0
SEKOLAH AL AZHAR GRAND WISATA BEKASI,24,203000.0
SEKOLAH BSP,27,236000.0
SEKOLAH FAJAR,133,1211000.0
SENTRA TIMUR 1,94,2601900.0
SENTRA TIMUR 2,23,210000.0
SMART HAPPY KIDS,292,2646000.0
SMK TELKOM,455,3664000.0
ST REGIST 1,597,5487500.0
ST REGIST 2,665,6198500.0
UNIPREP BSD 1,86,733000.0
UNIPREP BSD 2,37,311000.0
UNIPREP KELAPA GADING,97,841600.0
UNIPREP PONDOK INDAH,344,2957500.0
UNIV BAKRIE 1,96,667500.0
UNIV BAKRIE 2,35,263700.0
UNIV BAKRIE 3,67,508000.0
UNIVERSAL LUGAGE 1,12,126000.0
UNIVERSAL LUGAGE 2,69,585500.0
UNIVERSITAS PANCASILA,191,1576000.0
