Vending Machine Name,Product,Qty Sold,Sales
SAMSUNG KUNINGAN 1,TEH SEJUK,8,IDR 48000.00
SAMSUNG KUNINGAN 1,MILO ORIGINAL 220ML,4,IDR 52000.00
SAMSUNG KUNINGAN 1,POCARI SWEAT 350ML,4,IDR 38000.00
SAMSUNG KUNINGAN 1,Mie Sedaap Soto,4,IDR 38000.00
SAMSUNG KUNINGAN 1,Beng Beng Maxx,6,IDR 39000.00
SAMSUNG KUNINGAN 1,EGG ROLL STRAWBERRY,1,IDR 7000.00
SAMSUNG KUNINGAN 1,LASEGAR LEMON,5,IDR 45000.00
SAMSUNG KUNINGAN 1,MIE SEDAAP SELECTION KOREAN SPICY,2,IDR 18000.00
SAMSUNG KUNINGAN 1,KRIZZI,2,IDR 16000.00
SAMSUNG KUNINGAN 1,CROISANT 60 GRAM,1,IDR 9000.00
SAMSUNG KUNINGAN 1,CIMORY MATCHA,3,IDR 30000.00
SAMSUNG KUNINGAN 1,CIMORY MARIE REGAL,1,IDR 10000.00
SAMSUNG KUNINGAN 1,yoritos,1,IDR 6000.00
SAMSUNG KUNINGAN 1,AW 250ML,3,IDR 30000.00
SAMSUNG KUNINGAN 1,LARUTAN CAP KAKI TIGA LECI,3,IDR 27000.00
SAMSUNG KUNINGAN 1,INACO IM COCO LECI,3,IDR 36000.00
SAMSUNG KUNINGAN 1,MIE SEDAP CUP GORENG,2,IDR 20000.00
SAMSUNG KUNINGAN 1,KUSUKA AYAM MADU,1,IDR 6000.00
SAMSUNG KUNINGAN 1,french fries 2000,1,IDR 7000.00
SAMSUNG KUNINGAN 1,INACO MINI PUDDING,1,IDR 5000.00
SAMSUNG KUNINGAN 1,CHIKI twist ayam panggang,2,IDR 18000.00
SAMSUNG KUNINGAN 1,MONDE EGG ROLL CHOCOLATE,1,IDR 8000.00
SAMSUNG KUNINGAN 1,Tik Tak Sapi Panggang 90 GRAM,1,IDR 8000.00
