Product,Qty Sold,Sales
POCARI SWEAT 350ML,1,IDR 10000.00
Teh Pucuk 350ML,2,IDR 13000.00
Beng Beng Maxx,4,IDR 26000.00
POTATO CHIP  50G,1,IDR 18000.00
YOU C1000 orange water 500ML,1,IDR 15000.00
KUSUKA AYAM MADU,1,IDR 4000.00
LARUTAN CAP KAKI TIGA LECI,1,IDR 10000.00
POKKA LEMON TEA,2,IDR 18000.00
TEH SEJUK,2,IDR 14000.00
french fries 2000,1,IDR 7000.00
Hydro Coco 250ML,1,IDR 10000.00
TWISTKO,1,IDR 9000.00
Le Mineral 600ML,4,IDR 28000.00
MILKU COKLAT 200ML,1,IDR 6000.00
WALLENS CHOCOSHOES,1,IDR 15000.00
